<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SGP,20160425,13.9000,16.0000,12.3000,15.9000,148100
SGP,20160426,16.1000,16.4000,16.0000,16.4000,169000
SGP,20160427,18.8000,18.8000,17.0000,18.7000,363000
SGP,20160428,20.5000,20.5000,17.0000,17.7000,83700
SGP,20160429,17.1000,17.4000,15.7000,17.0000,139700
SGP,20160504,16.0000,17.0000,15.0000,15.7000,72300
SGP,20160505,14.8000,15.9000,13.7000,13.7000,238700
SGP,20160506,13.0000,14.0000,13.0000,13.5000,73400
SGP,20160509,13.5000,14.0000,13.3000,13.3000,28700
SGP,20160510,12.4000,13.5000,12.4000,13.3000,20200
SGP,20160511,13.3000,13.3000,12.0000,12.7000,24700
SGP,20160512,12.7000,14.1000,12.7000,13.8000,45820
SGP,20160513,13.5000,13.6000,13.3000,13.6000,15500
SGP,20160516,13.0000,13.5000,13.0000,13.4000,18900
SGP,20160517,13.2000,13.5000,12.9000,13.2000,52500
SGP,20160518,13.2000,13.5000,13.0000,13.4000,47100
SGP,20160519,13.0000,13.2000,13.0000,13.0000,30500
SGP,20160520,12.9000,13.0000,12.9000,13.0000,5000
SGP,20160523,13.0000,13.1000,12.9000,13.0000,25800
SGP,20160524,12.9000,13.0000,12.9000,12.9000,33700
SGP,20160525,12.9000,12.9000,12.9000,12.9000,20100
SGP,20160526,12.7000,12.9000,12.1000,12.7000,11510
SGP,20160527,12.5000,12.9000,12.5000,12.5000,6100
SGP,20160530,12.6000,12.6000,12.5000,12.6000,47100
SGP,20160531,12.6000,12.7000,12.2000,12.6000,50900
SGP,20160601,12.6000,12.6000,12.5000,12.6000,2300
SGP,20160602,12.6000,12.6000,12.0000,12.5000,25700
SGP,20160603,12.1000,12.5000,12.0000,12.3000,27300
SGP,20160606,12.1000,12.1000,11.8000,12.0000,41900
SGP,20160607,12.4000,12.4000,11.8000,11.8000,6100
SGP,20160608,11.8000,12.0000,11.7000,12.0000,19800
SGP,20160609,11.8000,11.9000,11.8000,11.9000,52300
SGP,20160610,11.8000,11.8000,11.7000,11.7000,15800
SGP,20160613,11.8000,11.8000,11.1000,11.7000,8600
SGP,20160614,11.5000,11.6000,11.0000,11.5000,15200
SGP,20160615,10.7000,11.0000,10.6000,10.6000,17900
SGP,20160616,10.5000,11.2000,10.5000,11.2000,8700
SGP,20160617,10.5000,10.9000,10.5000,10.9000,3100
SGP,20160620,10.9000,10.9000,10.7000,10.7000,5700
SGP,20160621,11.4000,11.4000,11.0000,11.0000,15400
SGP,20160622,11.4000,11.4000,11.0000,11.0000,9600
SGP,20160623,11.1000,11.1000,10.5000,10.9000,6700
SGP,20160624,11.1000,11.1000,9.8000,10.4000,39600
SGP,20160627,10.0000,10.9000,9.8000,9.8000,12300
SGP,20160628,10.3000,10.3000,9.7000,10.3000,8800
SGP,20160629,10.2000,10.3000,9.7000,10.1000,25300
SGP,20160630,9.7000,9.8000,9.0000,9.8000,30000
SGP,20160701,9.8000,10.0000,9.5000,9.7000,8100
SGP,20160704,9.5000,10.7000,9.5000,9.7000,8900
SGP,20160705,9.7000,9.7000,9.6000,9.6000,8800
SGP,20160706,9.8000,9.9000,9.5000,9.8000,25700
SGP,20160707,9.8000,9.9000,9.7000,9.7000,6000
SGP,20160708,9.8000,9.8000,9.5000,9.5000,26200
SGP,20160711,9.6000,9.6000,9.3000,9.3000,12200
SGP,20160712,9.3000,9.3000,8.8000,9.0000,13600
SGP,20160713,8.6000,9.1000,8.6000,9.1000,13700
SGP,20160714,9.1000,9.2000,9.0000,9.0000,15700
SGP,20160715,9.1000,9.1000,8.6000,8.6000,4500
SGP,20160718,8.5000,10.0000,8.2000,10.0000,30500
SGP,20160719,9.9000,10.5000,9.9000,10.3000,30600
