<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SGR,20150511,14.0000,14.0000,14.0000,14.0000,0
SGR,20150512,14.0000,14.0000,14.0000,14.0000,0
SGR,20150513,14.0000,14.0000,14.0000,14.0000,0
SGR,20150514,14.0000,14.0000,14.0000,14.0000,0
SGR,20150515,14.0000,14.0000,14.0000,14.0000,0
SGR,20150518,14.0000,14.0000,14.0000,14.0000,0
SGR,20150519,14.0000,14.0000,14.0000,14.0000,0
SGR,20150520,14.0000,14.0000,14.0000,14.0000,0
SGR,20150521,14.0000,14.0000,14.0000,14.0000,0
SGR,20150522,13.5000,13.5000,13.5000,13.5000,500
SGR,20150525,13.5000,13.5000,13.5000,13.5000,0
SGR,20150526,13.7000,13.7000,13.7000,13.7000,325
SGR,20150527,13.6000,13.6000,13.6000,13.6000,500
SGR,20150528,13.5000,13.6000,13.5000,13.5000,600
SGR,20150529,13.6000,13.6000,13.6000,13.6000,200
SGR,20150601,13.6000,13.7000,13.6000,13.7000,400
SGR,20150602,13.6000,13.7000,13.6000,13.7000,200
SGR,20150603,13.8000,13.8000,13.6000,13.6000,300
SGR,20150604,13.6000,13.6000,13.6000,13.6000,200
SGR,20150605,13.6000,13.6000,13.6000,13.6000,200
SGR,20150608,13.6000,13.6000,13.6000,13.6000,100
SGR,20150609,14.8000,14.8000,14.8000,14.8000,100
SGR,20150610,13.7000,13.7000,13.7000,13.7000,100
SGR,20150611,13.7000,13.7000,13.7000,13.7000,0
SGR,20150612,13.7000,13.7000,13.7000,13.7000,100
SGR,20150615,13.7000,13.7000,13.7000,13.7000,100
SGR,20150616,13.6000,13.6000,13.6000,13.6000,100
SGR,20150617,13.6000,13.6000,13.6000,13.6000,100
SGR,20150618,13.6000,13.6000,13.6000,13.6000,100
SGR,20150619,13.6000,13.6000,13.6000,13.6000,0
SGR,20150622,13.6000,13.6000,13.6000,13.6000,0
SGR,20150623,13.6000,13.6000,13.6000,13.6000,100
SGR,20150624,13.6000,13.6000,13.6000,13.6000,0
SGR,20150625,13.6000,13.6000,13.6000,13.6000,100
SGR,20150626,13.6000,13.6000,13.6000,13.6000,100
SGR,20150629,13.7000,13.7000,13.7000,13.7000,100
SGR,20150630,13.6000,13.6000,13.6000,13.6000,200
SGR,20150701,13.6000,13.6000,13.6000,13.6000,0
SGR,20150702,13.6000,13.6000,13.6000,13.6000,0
SGR,20150703,13.6000,13.6000,13.6000,13.6000,0
SGR,20150706,13.6000,13.6000,13.6000,13.6000,200
SGR,20150707,13.6000,13.6000,13.6000,13.6000,0
SGR,20150708,13.6000,13.6000,13.6000,13.6000,0
SGR,20150709,13.6000,13.6000,13.6000,13.6000,0
