<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SHE,20190125,20.0000,22.0000,16.1000,16.8000,57300
SHE,20190128,16.9000,17.0000,16.7000,17.0000,9800
SHE,20190129,17.0000,17.2000,17.0000,17.0000,7400
SHE,20190130,16.8000,16.8000,15.9000,16.2000,6700
SHE,20190131,16.0000,16.9000,16.0000,16.9000,6400
SHE,20190201,15.6000,17.0000,15.6000,16.4000,500
SHE,20190211,16.4000,16.4000,16.4000,16.4000,0
SHE,20190212,15.6000,15.6000,15.6000,15.6000,500
SHE,20190213,15.8000,16.9000,15.7000,16.8000,6400
SHE,20190214,16.1000,16.7000,16.1000,16.2000,5000
SHE,20190215,17.0000,17.0000,16.6000,16.9000,4400
SHE,20190218,17.3000,17.5000,17.0000,17.5000,10000
SHE,20190219,18.0000,18.0000,17.5000,17.9000,17900
SHE,20190220,17.5000,17.9000,17.5000,17.8000,3000
SHE,20190221,17.0000,17.4000,16.6000,16.6000,8200
SHE,20190222,16.6000,16.7000,16.1000,16.2000,5900
SHE,20190225,8.4412,8.4412,8.4412,8.4412,300
SHE,20190226,8.4412,8.4412,8.4412,8.4412,500
SHE,20190227,8.4412,8.4412,8.1361,8.4412,1200
SHE,20190228,8.3904,8.3904,8.0853,8.0853,7800
SHE,20190301,8.0853,8.2378,8.0853,8.0853,5400
SHE,20190304,8.0853,8.0853,8.0853,8.0853,400
SHE,20190305,8.0853,8.0853,8.0344,8.0344,2700
SHE,20190306,7.8310,7.8310,7.6276,7.8310,12600
SHE,20190307,7.6276,7.8819,7.5259,7.8819,4200
SHE,20190308,7.3734,8.0344,7.3734,8.0344,200
SHE,20190311,8.0853,8.0853,8.0853,8.0853,2000
SHE,20190312,8.1361,8.1361,8.0344,8.0344,14800
SHE,20190313,8.0344,8.0344,7.6276,7.9327,8850
SHE,20190314,7.9327,7.9836,7.7802,7.9836,3900
SHE,20190315,7.3225,7.9327,7.3225,7.4751,7100
SHE,20190318,8.1870,8.1870,7.3734,7.9327,5000
SHE,20190319,7.4242,7.8819,7.4242,7.6276,2300
SHE,20190320,7.7293,7.7293,6.9157,7.3225,2700
SHE,20190321,7.2717,7.2717,7.1191,7.1700,4900
SHE,20190322,7.1191,7.3225,7.0683,7.3225,2000
SHE,20190325,7.1191,7.1191,6.6614,6.7631,6900
SHE,20190326,7.0683,7.1191,7.0683,7.1191,1800
SHE,20190327,7.1191,7.2208,7.1191,7.2208,1100
SHE,20190328,7.1700,7.2208,7.0683,7.1191,2600
SHE,20190329,7.2717,7.6276,7.2717,7.5768,2000
SHE,20190401,7.6276,7.6276,7.2208,7.3225,6000
SHE,20190402,7.5259,7.5259,7.1191,7.1191,900
SHE,20190403,7.1700,7.1700,7.1191,7.1191,2900
SHE,20190404,7.0683,7.1191,7.0683,7.1191,1900
SHE,20190405,7.0683,7.0683,7.0683,7.0683,1100
SHE,20190408,7.0683,7.1191,6.8648,7.1191,5100
SHE,20190409,7.1191,7.1700,7.1191,7.1700,4000
SHE,20190410,7.1191,7.1700,7.1191,7.1700,1700
SHE,20190411,7.0683,7.1191,6.8140,7.1191,6200
SHE,20190412,7.1191,7.1191,6.8648,6.8648,6500
SHE,20190416,6.8648,6.8648,6.8140,6.8140,10700
SHE,20190417,6.8648,6.8648,6.8140,6.8140,5500
SHE,20190418,6.8648,6.8648,6.8648,6.8648,300
SHE,20190419,7.0174,7.1191,7.0174,7.0683,2100
SHE,20190422,7.0174,7.0174,6.8140,6.8140,4100
SHE,20190423,6.8140,6.8648,6.8140,6.8140,3700
SHE,20190424,6.8140,6.8140,6.4072,6.8140,8800
SHE,20190425,6.8140,6.8140,6.6614,6.6614,500
SHE,20190426,6.7123,6.9157,6.7123,6.9157,7300
SHE,20190502,6.9157,6.9666,6.8648,6.9157,3300
SHE,20190503,6.9666,7.0174,6.9157,7.0174,19400
SHE,20190506,7.0174,7.1700,6.9666,6.9666,5500
SHE,20190507,6.9666,7.0174,6.9666,7.0174,400
SHE,20190508,7.0174,7.0683,7.0174,7.0683,7600
SHE,20190509,7.0683,7.1700,7.0683,7.1700,2400
SHE,20190510,7.1191,7.1191,7.0683,7.0683,500
SHE,20190513,7.0683,7.0683,6.8648,6.8648,7900
SHE,20190514,7.0683,7.0683,7.0683,7.0683,100
SHE,20190515,7.0174,7.0174,7.0174,7.0174,1000
SHE,20190516,6.8648,6.9157,6.8648,6.9157,2200
SHE,20190517,6.9157,6.9157,6.9157,6.9157,0
SHE,20190520,6.9157,6.9157,6.8140,6.8648,1100
SHE,20190521,6.7123,6.7123,6.7123,6.7123,2100
SHE,20190522,6.7123,6.7123,6.7123,6.7123,2300
SHE,20190523,6.7123,6.7123,6.7123,6.7123,1300
SHE,20190524,6.7631,6.7631,6.7123,6.7123,1300
SHE,20190527,6.7123,6.7631,6.7123,6.7631,200
SHE,20190528,6.7123,6.7631,6.6106,6.6614,13400
SHE,20190529,6.6614,6.7123,6.6614,6.6614,10200
SHE,20190530,6.6614,6.6614,6.6614,6.6614,0
SHE,20190531,6.6106,6.6106,6.6106,6.6106,5000
SHE,20190603,6.6106,6.6106,6.6106,6.6106,3500
SHE,20190604,6.6106,6.6614,6.6106,6.6614,2300
SHE,20190605,6.7123,6.7123,6.6614,6.6614,1700
SHE,20190606,6.6614,6.6614,6.6614,6.6614,1200
SHE,20190607,6.6614,6.7123,6.6106,6.7123,1530
SHE,20190610,6.8140,6.8648,6.8140,6.8648,1520
SHE,20190611,6.8648,6.8648,6.8140,6.8140,800
SHE,20190612,6.8140,6.8140,6.8140,6.8140,1600
SHE,20190613,6.8140,6.8140,6.8140,6.8140,1600
SHE,20190614,6.8140,6.8648,6.6614,6.8648,13020
SHE,20190617,6.7631,6.9157,6.6106,6.9157,13410
SHE,20190618,6.8648,6.8648,6.8648,6.8648,200
SHE,20190619,6.8648,7.0683,6.8648,7.0683,5700
SHE,20190620,7.1191,7.1191,7.0683,7.0683,1100
SHE,20190621,7.0683,7.0683,7.0174,7.0174,3600
SHE,20190624,7.0174,7.3734,7.0174,7.3734,9590
SHE,20190625,7.1191,7.3734,7.1191,7.3734,3900
SHE,20190626,7.3225,7.3734,7.3225,7.3225,3400
SHE,20190627,7.4318,7.4318,7.3225,7.3225,6200
SHE,20190628,7.3225,7.3225,7.3225,7.3225,5700
SHE,20190701,7.3225,7.4318,7.3225,7.3225,3700
SHE,20190702,7.3225,7.3772,7.3225,7.3772,4330
SHE,20190703,7.4318,7.5958,7.4318,7.5958,3100
SHE,20190704,7.7050,8.1422,7.6504,7.8143,2800
SHE,20190705,7.8143,7.9236,7.8143,7.8143,4300
SHE,20190708,7.8690,7.9236,7.8690,7.9236,4630
SHE,20190709,7.9783,7.9783,7.8690,7.8690,4000
SHE,20190710,7.9236,8.1969,7.8690,7.8690,3200
SHE,20190711,7.8690,7.9236,7.6504,7.6504,5520
SHE,20190712,7.8690,7.8690,7.6504,7.6504,200
SHE,20190715,7.7050,7.9783,7.6504,7.6504,4910
SHE,20190716,7.7597,7.8690,7.6504,7.8690,1900
SHE,20190717,7.8690,7.8690,7.7597,7.8690,3400
SHE,20190718,7.8690,8.1422,7.8690,8.0876,5900
SHE,20190719,8.0329,8.1422,7.9783,8.0876,2900
SHE,20190722,8.0876,8.0876,8.0329,8.0876,4600
SHE,20190723,8.0876,8.0876,8.0329,8.0329,3900
SHE,20190724,8.0329,8.0329,7.9783,7.9783,2300
SHE,20190725,8.0329,8.6340,8.0329,8.1969,9600
SHE,20190726,8.7433,9.0165,8.5794,9.0165,19500
SHE,20190729,9.1805,9.1805,8.6887,8.9619,10800
SHE,20190730,9.1258,9.1258,8.7980,8.9619,2400
SHE,20190731,8.7980,8.7980,8.7980,8.7980,1000
SHE,20190801,8.9619,8.9619,8.7433,8.7980,9600
SHE,20190802,8.7980,8.7980,8.7433,8.7433,8300
SHE,20190805,8.4701,8.4701,8.4701,8.4701,1300
SHE,20190806,8.5794,8.5794,8.1969,8.3061,9300
SHE,20190807,8.4154,8.4154,8.4154,8.4154,100
SHE,20190808,8.3608,8.3608,8.3608,8.3608,200
SHE,20190809,8.3608,8.3608,8.3608,8.3608,300
SHE,20190812,8.0329,8.3061,7.9783,8.0876,600
SHE,20190813,8.3061,8.3061,7.9783,7.9783,300
SHE,20190814,8.1969,8.1969,7.9783,7.9783,700
SHE,20190815,8.0876,8.0876,7.6504,7.6504,3940
SHE,20190816,7.6504,8.0329,7.1039,7.7597,3300
SHE,20190819,7.7597,7.8690,7.6504,7.8690,800
SHE,20190820,7.9236,8.0876,7.7597,7.7597,600
SHE,20190821,7.8690,8.0329,7.6504,7.8690,1200
SHE,20190822,7.6504,7.9236,7.1586,7.9236,10500
SHE,20190823,7.7050,7.7050,7.7050,7.7050,100
SHE,20190826,7.8143,7.8690,7.6504,7.8690,1700
SHE,20190827,7.8143,8.5794,7.6504,8.5794,4300
SHE,20190828,7.8690,8.1969,7.8143,8.1969,400
SHE,20190829,8.3608,8.3608,7.6504,8.0876,300
SHE,20190830,7.6504,8.0329,7.4318,7.9236,4200
SHE,20190903,7.6504,7.6504,7.1586,7.1586,22800
SHE,20190904,7.1586,7.1586,7.1586,7.1586,200
SHE,20190905,7.1586,7.3772,7.1586,7.3772,300
SHE,20190906,7.3772,7.4865,7.3772,7.4865,3000
SHE,20190909,7.4318,7.4318,7.1586,7.1586,630
SHE,20190910,7.1039,7.5958,7.1039,7.5958,3000
SHE,20190911,7.4865,7.4865,7.2679,7.2679,1200
SHE,20190912,7.4865,7.4865,7.4865,7.4865,500
SHE,20190913,7.4865,7.4865,7.4865,7.4865,400
SHE,20190916,7.3225,7.4865,7.3225,7.3772,2800
SHE,20190917,7.4865,7.5411,7.4865,7.5411,200
SHE,20190918,7.5411,7.5411,7.3225,7.3225,1700
SHE,20190919,7.4865,7.5411,7.4865,7.5411,1500
SHE,20190920,7.3772,7.3772,7.3772,7.3772,100
SHE,20190923,7.3772,7.3772,7.1586,7.1586,900
SHE,20190924,7.2679,7.3772,7.2132,7.3772,2000
SHE,20190925,7.3772,7.3772,7.3772,7.3772,0
SHE,20190926,7.2679,7.3772,7.2679,7.3772,500
SHE,20190927,7.3772,7.5411,7.3772,7.5411,2000
SHE,20190930,7.5958,7.7597,7.5958,7.7050,2900
SHE,20191001,7.8143,7.8143,7.4865,7.4865,2400
SHE,20191002,7.4865,7.4865,7.4865,7.4865,0
SHE,20191003,7.4865,7.4865,7.4865,7.4865,1000
SHE,20191004,7.4318,7.4865,7.4318,7.4865,300
SHE,20191007,7.4318,7.4865,7.4318,7.4865,600
SHE,20191008,7.4865,7.4865,7.4865,7.4865,0
SHE,20191009,7.4865,7.4865,7.4865,7.4865,0
SHE,20191010,7.4865,7.4865,7.4865,7.4865,0
SHE,20191011,7.4318,7.4318,7.1586,7.1586,2000
SHE,20191014,7.5958,7.5958,7.5411,7.5411,200
SHE,20191015,7.3225,7.3225,7.3225,7.3225,100
SHE,20191016,7.5411,7.5411,7.3225,7.3225,300
SHE,20191017,7.3772,7.3772,7.3772,7.3772,100
SHE,20191018,7.3772,7.3772,7.3772,7.3772,0
SHE,20191021,7.5411,7.5411,7.3772,7.3772,1100
SHE,20191022,7.3772,7.3772,7.3772,7.3772,0
SHE,20191023,7.5958,7.7050,7.5958,7.6504,8000
SHE,20191024,7.7050,7.7050,7.5958,7.6504,300
SHE,20191025,7.6504,7.7050,7.5958,7.7050,2400
SHE,20191028,7.6504,7.6504,7.6504,7.6504,4400
SHE,20191029,7.6504,7.6504,7.6504,7.6504,1000
SHE,20191030,7.5958,7.5958,7.5411,7.5958,3500
SHE,20191031,7.5958,7.5958,7.5958,7.5958,2400
SHE,20191101,7.5958,7.5958,7.5958,7.5958,4800
SHE,20191104,7.5958,7.5958,7.5958,7.5958,0
SHE,20191105,7.5411,7.5411,7.4865,7.5411,560
SHE,20191106,7.5411,7.5411,7.5411,7.5411,0
SHE,20191107,7.2132,7.6504,7.2132,7.6504,200
SHE,20191108,7.6504,7.6504,7.6504,7.6504,1500
SHE,20191111,7.6504,7.7050,7.6504,7.6504,2600
SHE,20191112,7.7050,8.4154,7.7050,7.9236,5200
SHE,20191113,8.0329,8.1969,7.9783,8.1969,6000
SHE,20191114,8.0329,8.1969,7.3772,8.1422,7700
SHE,20191115,8.1422,8.1422,8.1422,8.1422,0
SHE,20191118,8.1422,8.1422,8.1422,8.1422,0
SHE,20191119,8.1422,8.1422,8.1422,8.1422,530
SHE,20191120,7.9079,8.0836,7.9079,8.0836,1250
SHE,20191121,8.0836,8.0836,8.0250,8.0250,320
SHE,20191122,7.9079,7.9079,7.9079,7.9079,200
SHE,20191125,7.9079,7.9079,7.6736,7.7321,2700
SHE,20191126,8.2593,8.2593,8.2593,8.2593,100
SHE,20191127,8.1422,8.2593,8.1422,8.1422,300
SHE,20191128,7.9664,7.9664,7.9664,7.9664,100
SHE,20191129,8.1422,8.2593,8.1422,8.2593,300
SHE,20191202,8.2008,8.2008,7.9664,7.9664,310
SHE,20191203,7.9079,7.9079,7.6150,7.6150,3500
SHE,20191204,7.7907,7.9079,7.7907,7.9079,230
SHE,20191205,7.9079,7.9079,7.9079,7.9079,10
SHE,20191206,7.9079,7.9079,7.9079,7.9079,0
SHE,20191209,7.9079,8.0250,7.6736,7.9664,3250
SHE,20191210,7.9664,8.0836,7.9664,7.9664,500
SHE,20191211,8.0250,8.1422,8.0250,8.1422,1900
SHE,20191212,7.9664,7.9664,7.6736,7.9079,5200
SHE,20191213,7.9079,8.2008,7.9079,8.2008,4200
SHE,20191216,8.1422,8.1422,8.1422,8.1422,100
SHE,20191217,8.0836,8.2593,8.0836,8.2593,1100
SHE,20191218,8.1422,8.3765,8.1422,8.3765,1020
SHE,20191219,8.3765,8.3765,8.3765,8.3765,0
SHE,20191220,8.3179,8.9037,8.3179,8.8451,600
SHE,20191223,8.8451,8.8451,8.8451,8.8451,40
SHE,20191224,8.8451,8.8451,8.8451,8.8451,0
SHE,20191225,8.7279,8.7279,8.7279,8.7279,2700
SHE,20191226,8.7279,8.7279,8.2008,8.2008,600
SHE,20191227,8.2008,8.2008,8.2008,8.2008,0
SHE,20191230,8.4351,8.4351,8.4351,8.4351,100
SHE,20191231,8.2593,8.6694,8.2008,8.6694,1200
SHE,20200102,8.6694,8.6694,8.6694,8.6694,1500
SHE,20200103,8.6694,8.6694,8.4936,8.4936,200
SHE,20200106,8.4936,8.4936,8.4936,8.4936,100
SHE,20200107,8.4936,8.4936,8.4936,8.4936,100
SHE,20200108,8.4936,8.4936,7.9664,8.2008,1100
SHE,20200109,8.2593,8.2593,8.2008,8.2008,2120
