<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SHN,20091216,21.0000,24.0000,15.0000,15.5000,209800
SHN,20091217,16.0000,16.5000,15.5000,15.5000,118300
SHN,20091218,15.4000,15.8000,15.0000,15.0000,138900
SHN,20091221,16.0000,16.5000,15.6000,16.5000,78700
SHN,20091222,16.5000,16.6000,14.9000,14.9000,30600
SHN,20091223,15.7000,15.7000,14.4000,14.4000,52100
SHN,20091224,14.6000,15.6000,14.3000,15.4000,121600
SHN,20091225,16.0000,16.1000,15.9000,16.1000,67300
SHN,20091228,17.0000,17.0000,15.7000,16.5000,94200
SHN,20091229,16.3000,16.3000,15.4000,15.4000,74000
SHN,20091230,16.2000,16.9000,15.6000,16.9000,160300
SHN,20091231,17.7000,17.7000,17.7000,17.7000,5000
SHN,20100104,18.9000,18.9000,18.9000,18.9000,24000
SHN,20100105,20.2000,20.2000,20.2000,20.2000,58300
SHN,20100106,21.6000,21.6000,21.6000,21.6000,29500
SHN,20100107,23.1000,23.1000,22.0000,23.1000,1217700
SHN,20100108,24.7000,24.7000,23.5000,24.7000,910900
SHN,20100111,25.5000,25.5000,22.9000,22.9000,272100
SHN,20100112,23.3000,23.3000,21.7000,21.7000,239300
SHN,20100113,20.3000,23.0000,20.3000,21.5000,557700
SHN,20100114,21.7000,22.1000,21.0000,22.1000,247400
SHN,20100115,23.3000,23.3000,21.5000,21.7000,128400
SHN,20100118,21.8000,21.8000,20.6000,20.6000,141900
SHN,20100119,20.5000,21.2000,19.8000,20.2000,208400
SHN,20100120,21.5000,21.5000,19.2000,19.5000,128400
SHN,20100121,21.2000,21.2000,18.7000,18.9000,186300
SHN,20100122,18.2000,19.1000,18.0000,18.0000,130500
SHN,20100125,19.4000,19.5000,18.0000,19.5000,156900
SHN,20100126,20.4000,20.5000,20.4000,20.5000,73300
SHN,20100127,21.9000,21.9000,19.1000,20.5000,116200
SHN,20100128,21.0000,21.2000,18.8000,18.9000,124300
SHN,20100129,19.2000,19.4000,18.7000,18.8000,34400
SHN,20100201,19.5000,20.0000,18.6000,19.1000,87500
SHN,20100202,19.3000,19.8000,18.2000,18.6000,54700
SHN,20100203,18.7000,18.9000,18.0000,18.6000,22600
SHN,20100204,18.5000,19.2000,18.5000,19.0000,57900
SHN,20100205,18.0000,18.7000,17.9000,18.1000,65800
SHN,20100208,18.0000,19.3000,17.9000,19.3000,163000
SHN,20100209,18.5000,19.5000,18.2000,18.8000,56000
SHN,20100210,19.0000,19.1000,18.8000,18.8000,38400
SHN,20100211,18.8000,18.9000,18.2000,18.3000,59800
SHN,20100212,19.3000,19.3000,18.5000,18.8000,51700
SHN,20100222,18.8000,18.8000,18.7000,18.8000,25400
SHN,20100223,18.9000,18.9000,18.0000,18.3000,83100
SHN,20100224,18.4000,18.9000,18.0000,18.5000,65300
