<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SIV,20170523,29.3868,29.3868,29.3868,29.3868,100
SIV,20170524,33.7349,33.7349,33.7349,33.7349,6100
SIV,20170525,38.7577,38.7577,38.7577,38.7577,300
SIV,20170526,44.2302,44.5301,44.2302,44.5301,2100
SIV,20170529,50.6024,50.6024,50.6024,50.6024,1000
SIV,20170530,43.0307,43.0307,43.0307,43.0307,1900
SIV,20170531,43.0307,43.0307,42.7309,42.7309,1400
SIV,20170601,48.8781,48.8781,41.2315,48.8781,1100
SIV,20170602,49.1030,49.1030,49.1030,49.1030,100
SIV,20170605,41.7563,41.8313,41.7563,41.8313,800
SIV,20170606,41.2315,41.2315,41.2315,41.2315,1200
SIV,20170607,40.4819,40.4819,40.4819,40.4819,1300
SIV,20170608,39.7322,39.7322,38.2329,39.7322,9800
SIV,20170609,39.7322,39.7322,39.7322,39.7322,1000
SIV,20170612,39.7322,39.7322,39.7322,39.7322,1000
SIV,20170613,39.7322,39.7322,33.8099,39.5823,5100
SIV,20170614,38.2329,38.2329,38.2329,38.2329,300
SIV,20170615,38.9826,38.9826,33.8099,38.9826,24300
SIV,20170616,38.2329,38.2329,38.2329,38.2329,1000
SIV,20170619,38.9826,38.9826,38.2329,38.2329,400
SIV,20170620,38.9826,38.9826,38.9826,38.9826,100
SIV,20170621,38.3079,38.3079,38.2329,38.2329,3500
SIV,20170622,38.2329,38.2329,38.2329,38.2329,2300
SIV,20170623,38.2329,38.2329,38.2329,38.2329,3300
SIV,20170626,43.8554,43.8554,38.2329,38.9826,11100
SIV,20170627,38.2329,38.2329,38.2329,38.2329,4100
SIV,20170628,41.9812,41.9812,41.9812,41.9812,100
SIV,20170629,41.9812,41.9812,41.9812,41.9812,0
SIV,20170630,40.4069,40.4069,38.2329,38.9826,11300
SIV,20170703,38.3079,38.3079,38.2329,38.2329,1000
SIV,20170704,43.9303,43.9303,38.3828,38.3828,5300
SIV,20170705,38.3828,38.3828,38.3828,38.3828,700
SIV,20170706,38.3828,38.3828,38.3828,38.3828,300
SIV,20170707,38.2329,38.3828,38.2329,38.2329,1500
SIV,20170710,43.4805,43.4805,43.4805,43.4805,100
SIV,20170711,38.3079,49.1030,38.2329,38.2329,5000
SIV,20170712,48.4283,48.4283,38.5328,38.5328,1100
SIV,20170713,39.4324,39.4324,39.4324,39.4324,0
