<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SJE,20061214,3.8940,4.2014,3.8940,3.9760,13900
SJE,20061215,4.3654,4.3654,4.0990,4.2014,33800
SJE,20061218,4.5088,4.5908,4.4063,4.5089,4000
SJE,20061219,4.7651,4.9598,4.4064,4.4064,11900
SJE,20061220,4.5089,4.5089,4.4064,4.4064,700
SJE,20061221,4.3859,4.4064,4.3859,4.4064,900
SJE,20061222,4.3962,4.3962,4.3961,4.3961,0
SJE,20061225,3.9965,3.9965,3.9965,3.9965,100
SJE,20061226,3.6378,3.6378,3.5968,3.6173,200
SJE,20061227,3.5968,3.5968,3.5866,3.5866,1500
SJE,20061228,3.4841,3.4841,3.2279,3.4431,600
SJE,20061229,3.2894,3.2894,3.2791,3.2792,500
SJE,20070102,3.3304,3.3817,3.3304,3.3304,6000
SJE,20070103,3.3816,3.3816,3.3816,3.3816,4500
SJE,20070104,3.4021,3.5866,3.3816,3.5866,4500
SJE,20070105,3.4329,3.4841,3.3817,3.4329,12100
SJE,20070108,3.4636,3.4636,3.4636,3.4636,1900
SJE,20070109,3.5866,3.7915,3.5866,3.5866,3000
SJE,20070110,3.8940,3.8940,3.6891,3.8940,300
SJE,20070111,4.2014,4.2014,3.7915,3.7915,7300
SJE,20070112,3.6890,3.6891,3.6890,3.6891,1300
SJE,20070115,3.6891,3.6891,3.6891,3.6891,3000
SJE,20070116,3.6789,3.7403,3.6789,3.7403,800
SJE,20070117,3.7915,3.7915,3.5866,3.6378,9300
SJE,20070118,3.6890,3.6890,3.5866,3.6583,4200
SJE,20070119,3.6378,3.7403,3.6378,3.7403,7500
SJE,20070122,3.7915,3.8940,3.7915,3.8120,11900
SJE,20070123,3.8735,4.0477,3.8735,4.0477,4000
SJE,20070124,4.0989,4.1502,4.0477,4.0477,10700
SJE,20070125,4.1502,4.1502,3.6890,3.6891,9500
SJE,20070126,4.0990,4.2527,3.8940,3.8940,17300
SJE,20070129,3.9452,4.0990,3.9452,4.0990,4300
SJE,20070130,4.2015,4.3040,4.0477,4.0477,16000
SJE,20070131,4.3141,4.4064,4.3141,4.4064,7100
SJE,20070201,4.4064,4.8061,4.4064,4.7650,16000
SJE,20070202,4.7957,5.1135,4.7138,5.1135,47300
SJE,20070205,5.4414,5.4414,5.3287,5.4414,29900
