<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SKH,20171025,35.0000,36.9000,31.0000,33.0000,858200
SKH,20171026,33.9000,34.0000,32.0000,32.0000,113900
SKH,20171027,32.5000,33.1000,31.5000,32.0000,150000
SKH,20171030,31.5000,32.3000,29.5000,29.5000,192400
SKH,20171031,30.0000,30.0000,29.0000,29.0000,106600
SKH,20171101,29.0000,29.0000,27.9000,28.0000,169300
SKH,20171102,27.9000,31.0000,27.5000,29.3000,234400
SKH,20171103,29.6000,29.7000,28.0000,28.2000,110300
SKH,20171106,28.5000,30.2000,28.0000,30.1000,135900
SKH,20171107,30.3000,30.4000,29.2000,30.0000,82100
SKH,20171108,30.3000,30.3000,29.1000,30.0000,81300
SKH,20171109,29.4000,29.8000,29.3000,29.5000,38600
SKH,20171110,29.3000,29.4000,28.9000,29.0000,56600
SKH,20171113,29.2000,29.2000,28.5000,28.5000,38400
SKH,20171114,28.4000,28.4000,28.0000,28.2000,66800
SKH,20171115,28.2000,28.3000,27.8000,28.0000,105100
SKH,20171116,28.0000,28.0000,27.7000,27.9000,26900
SKH,20171117,27.8000,28.1000,27.5000,27.6000,57300
SKH,20171120,27.7000,27.8000,27.3000,27.7000,21400
SKH,20171121,27.6000,27.6000,27.3000,27.5000,29100
SKH,20171122,27.5000,28.7000,27.5000,28.0000,63400
SKH,20171123,28.0000,28.6000,28.0000,28.3000,23500
SKH,20171124,28.3000,31.0000,28.2000,29.9000,149700
SKH,20171127,30.0000,30.0000,29.1000,29.1000,18100
SKH,20171128,28.6000,29.2000,28.4000,28.7000,35400
SKH,20171129,28.3000,29.6000,28.0000,28.0000,56900
SKH,20171130,28.2000,28.5000,28.0000,28.2000,56300
SKH,20171201,28.1000,28.4000,28.0000,28.2000,56800
SKH,20171204,28.1000,28.4000,28.0000,28.1000,111500
SKH,20171205,28.4000,28.4000,27.6000,27.7000,50500
SKH,20171206,27.6000,27.9000,27.6000,27.9000,34300
SKH,20171207,27.7000,27.8000,27.7000,27.8000,51100
SKH,20171208,28.3000,28.8000,27.8000,28.4000,98600
SKH,20171211,28.4000,28.4000,27.8000,27.8000,19300
SKH,20171212,28.0000,28.4000,27.8000,28.2000,60700
SKH,20171213,28.0000,28.6000,28.0000,28.1000,26000
SKH,20171214,28.2000,28.2000,28.0000,28.1000,64800
SKH,20171215,28.3000,28.3000,28.0000,28.0000,16800
SKH,20171218,28.8000,28.8000,28.0000,28.0000,30200
SKH,20171219,28.2000,28.2000,27.7000,28.0000,115200
SKH,20171220,27.9000,28.3000,27.9000,28.3000,35600
SKH,20171221,28.2000,28.4000,28.0000,28.0000,29500
SKH,20171222,28.0000,28.1000,27.8000,27.9000,28300
SKH,20171225,27.9000,27.9000,27.5000,27.9000,46400
SKH,20171226,28.0000,28.0000,27.1000,27.6000,99400
SKH,20171227,27.8000,27.9000,27.0000,27.5000,47600
SKH,20171228,27.2000,27.4000,27.0000,27.0000,61300
SKH,20171229,27.2000,27.2000,26.6000,27.0000,54900
SKH,20180102,26.9000,27.0000,26.6000,26.7000,63200
SKH,20180103,26.7000,27.0000,26.5000,26.8000,101000
SKH,20180104,27.9000,27.9000,26.3000,26.5000,27205
SKH,20180105,26.5000,26.7000,26.5000,26.7000,31000
SKH,20180108,26.6000,27.5000,26.5000,26.9000,31500
SKH,20180109,27.0000,27.5000,26.5000,27.0000,75500
SKH,20180110,27.4000,28.0000,27.4000,27.6000,75915
SKH,20180111,28.0000,28.0000,27.0000,27.5000,48900
SKH,20180112,27.3000,27.3000,27.0000,27.3000,49300
SKH,20180115,27.1000,27.1000,26.7000,26.7000,48800
SKH,20180116,26.7000,27.0000,26.7000,26.8000,22344
SKH,20180117,26.8000,27.0000,26.8000,26.8000,15000
SKH,20180118,26.8000,26.8000,26.2000,26.6000,40800
SKH,20180119,26.9000,26.9000,26.3000,26.5000,11700
SKH,20180122,26.2000,26.2000,25.7000,25.7000,38500
SKH,20180123,27.5000,27.5000,26.0000,26.6000,62520
SKH,20180124,27.0000,27.5000,26.5000,26.5000,45100
SKH,20180125,27.2000,27.2000,25.8000,26.0000,91600
SKH,20180126,25.8000,26.2000,24.0000,25.4000,41500
SKH,20180129,25.4000,25.9000,24.8000,25.3000,55700
SKH,20180130,25.1000,25.1000,24.5000,25.0000,121200
SKH,20180131,24.9000,25.1000,24.8000,24.8000,12100
SKH,20180201,24.9000,25.0000,24.6000,24.7000,35000
SKH,20180202,24.5000,24.8000,24.0000,24.2000,34200
SKH,20180205,24.2000,24.4000,23.5000,24.3000,28200
SKH,20180206,22.5000,23.9000,22.0000,22.5000,91000
SKH,20180207,24.8000,24.9000,22.4000,23.0000,43500
SKH,20180208,22.0000,24.5000,22.0000,23.5000,43100
SKH,20180209,24.0000,24.1000,23.0000,23.8000,13100
SKH,20180212,24.3000,24.4000,23.9000,24.4000,27000
SKH,20180213,26.7000,26.8000,24.4000,24.5000,56050
SKH,20180221,24.5000,25.6000,22.6000,24.5000,12800
SKH,20180222,24.3000,24.8000,23.8000,24.5000,38900
SKH,20180223,24.4000,25.0000,24.4000,24.8000,72250
SKH,20180226,25.8000,26.9000,24.9000,26.1000,36000
SKH,20180227,26.1000,26.2000,24.7000,25.7000,51800
SKH,20180228,26.6000,26.6000,25.6000,26.4000,54340
SKH,20180301,26.3000,26.3000,25.5000,25.7000,28900
SKH,20180302,26.1000,26.2000,24.9000,25.6000,47700
