<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SNC,20141111,5.2782,5.2782,5.2782,5.2782,0
SNC,20141112,5.2782,5.2782,5.2782,5.2782,0
SNC,20141113,5.2782,5.2782,5.2782,5.2782,0
SNC,20141114,5.2782,5.2782,5.2782,5.2782,0
SNC,20141117,5.2782,5.2782,5.2782,5.2782,0
SNC,20141118,5.2782,5.2782,5.2782,5.2782,0
SNC,20141119,5.2782,5.2782,5.2782,5.2782,0
SNC,20141120,7.3895,7.3895,7.3895,7.3895,100
SNC,20141121,8.1285,8.1285,8.1285,8.1285,100
SNC,20141124,8.9202,8.9202,8.9202,8.9202,100
SNC,20141125,9.7647,9.7647,9.7647,9.7647,100
SNC,20141126,10.7148,10.7148,10.7148,10.7148,100
SNC,20141127,11.7704,11.7705,11.7704,11.7705,300
SNC,20141128,12.9317,12.9317,12.9317,12.9317,100
SNC,20141201,12.9317,12.9317,12.9317,12.9317,0
SNC,20141202,12.9317,12.9317,12.9317,12.9317,0
SNC,20141203,12.9317,12.9317,12.9317,12.9317,0
SNC,20141204,12.1400,12.1400,12.1400,12.1400,600
SNC,20141205,12.1400,12.1400,12.1400,12.1400,0
SNC,20141208,12.1400,12.1400,12.1400,12.1400,0
SNC,20141209,12.1400,12.1400,12.1400,12.1400,0
SNC,20141210,12.1400,12.1400,12.1400,12.1400,0
SNC,20141211,12.4039,12.4039,12.4039,12.4039,4000
SNC,20141212,12.4039,12.4039,12.4039,12.4039,0
SNC,20141215,12.4039,12.4039,12.4039,12.4039,0
SNC,20141216,12.6678,12.6678,12.4039,12.6678,11300
SNC,20141217,12.6678,13.1956,12.6678,12.6678,2300
SNC,20141218,12.6678,12.9317,12.6678,12.9317,6000
SNC,20141219,12.4039,12.4039,12.1400,12.1400,2000
SNC,20141222,12.2983,12.2983,12.2983,12.2983,8500
SNC,20141223,12.2983,12.2983,12.2455,12.2983,2600
SNC,20141224,12.2455,12.2983,12.2455,12.2455,20800
SNC,20141225,12.2455,12.2455,12.2455,12.2455,0
SNC,20141226,12.1399,12.1399,12.0344,12.0344,5600
SNC,20141229,12.1400,12.1400,12.1400,12.1400,0
SNC,20141230,12.1400,12.1400,12.1400,12.1400,0
SNC,20141231,12.1400,12.1400,12.1400,12.1400,0
SNC,20150105,12.1400,12.1400,10.9788,12.0344,5100
SNC,20150106,12.1400,12.1400,12.1400,12.1400,100
SNC,20150107,13.3540,13.3540,12.1927,12.1927,1100
SNC,20150108,11.0843,12.4039,11.0843,12.4039,2100
SNC,20150109,12.8262,12.8262,10.6093,10.8204,27900
SNC,20150112,12.0872,12.0872,10.5565,11.6121,28400
SNC,20150113,10.7676,11.8232,10.7676,11.6121,130800
SNC,20150114,10.8204,12.6678,10.8204,12.6678,24000
SNC,20150115,12.6678,13.6179,12.6678,13.6179,21050
SNC,20150116,14.7263,14.7791,14.3041,14.7791,27000
SNC,20150119,15.8347,15.8347,13.7234,15.4125,11100
SNC,20150120,14.7791,15.3069,13.7235,14.5152,19400
SNC,20150121,13.7762,14.9902,13.1956,14.4096,74900
SNC,20150122,14.7791,15.5708,14.7791,15.5180,38400
SNC,20150123,15.3597,15.9403,15.3069,15.6236,14600
SNC,20150126,15.3069,15.4653,15.3069,15.4652,300
SNC,20150127,13.9873,15.3069,13.9873,14.7791,10000
SNC,20150128,14.4624,14.5152,13.9874,14.2513,12900
SNC,20150129,14.2513,14.2513,13.7234,13.7234,21500
SNC,20150130,13.8290,14.2512,13.8290,13.9346,6900
SNC,20150202,13.9874,14.5152,13.7235,13.9873,19000
SNC,20150203,13.7234,14.5152,13.7234,14.5152,30000
SNC,20150204,13.7235,13.9874,13.7235,13.9873,2200
SNC,20150205,13.7762,14.8318,13.7762,14.2513,72000
SNC,20150206,14.5152,15.3070,14.5152,15.3069,84750
SNC,20150209,15.3069,15.3069,13.6706,13.6706,15500
SNC,20150210,14.5151,14.5151,13.9873,14.2513,4200
SNC,20150211,14.2513,14.2513,13.4068,13.7234,63200
SNC,20150212,13.9873,13.9873,13.4595,13.5651,1900
SNC,20150213,13.4595,13.4595,13.4595,13.4595,3400
SNC,20150224,13.7234,13.7234,12.6678,13.7234,300
SNC,20150225,13.1956,13.3011,12.1399,12.1400,37500
SNC,20150226,12.6678,12.6678,12.2983,12.2983,13800
SNC,20150227,11.3482,13.5651,11.3482,12.1400,7300
SNC,20150302,12.3511,12.3511,11.2427,11.6121,9600
SNC,20150303,12.1399,12.1399,10.8204,11.8760,16700
SNC,20150304,12.8789,13.0900,11.9816,13.0900,12800
SNC,20150305,12.5622,12.5622,12.4038,12.4039,2000
SNC,20150306,11.6122,12.4039,11.6122,12.4039,400
SNC,20150309,12.1400,12.1400,12.1400,12.1400,0
SNC,20150310,12.0872,12.1400,12.0872,12.1400,3000
SNC,20150311,10.9788,13.1957,10.9788,11.0843,6700
SNC,20150312,11.4010,11.4010,11.4010,11.4010,200
SNC,20150313,11.4010,11.4010,11.4010,11.4010,1000
SNC,20150316,12.4039,12.4039,12.4039,12.4039,1000
SNC,20150317,11.6122,11.6649,11.6121,11.6121,2900
SNC,20150318,11.6121,11.6121,11.6121,11.6121,2000
SNC,20150319,12.0344,12.0344,11.5593,11.8760,1800
SNC,20150320,11.0843,11.8233,11.0843,11.8233,600
SNC,20150323,10.6093,11.7705,10.6093,10.8204,700
SNC,20150324,10.8204,11.3482,10.8204,10.8204,450
SNC,20150325,11.6649,11.6649,10.1342,10.9260,8000
SNC,20150326,11.6122,11.6122,11.6121,11.6121,2000
SNC,20150327,11.5593,12.2983,11.5593,12.2983,735100
SNC,20150330,12.9317,12.9845,12.3511,12.8789,16000
SNC,20150331,12.9845,13.7234,12.8261,13.2484,31400
SNC,20150401,13.2484,13.7234,13.0901,13.1956,581600
SNC,20150402,13.1956,13.6179,13.1956,13.5651,105200
SNC,20150403,13.7234,14.7263,13.7234,14.7263,108700
SNC,20150406,14.7263,16.0986,14.7263,15.5708,60650
SNC,20150407,15.5180,15.7291,15.2541,15.4125,71100
SNC,20150408,15.4125,15.4125,14.9902,15.2013,111000
SNC,20150409,15.4124,15.7819,15.2013,15.6764,138600
SNC,20150410,15.7292,16.9432,15.7292,16.9432,126900
SNC,20150413,17.4182,17.4182,16.8376,17.0487,199800
SNC,20150414,16.5737,17.0487,16.5737,16.9432,65800
SNC,20150415,16.7321,16.8376,16.5209,16.6792,29800
SNC,20150416,16.4681,16.6264,16.3097,16.4681,82410
SNC,20150417,16.6264,17.9460,16.4681,16.8904,39600
SNC,20150420,16.7321,16.7321,16.5737,16.6265,131700
SNC,20150421,16.6265,16.6265,16.3098,16.3098,78900
SNC,20150422,16.3626,16.3626,15.3069,15.9931,32800
SNC,20150423,16.0987,16.8904,15.6764,16.2042,18800
SNC,20150424,15.8347,15.8875,15.8347,15.8347,9000
SNC,20150427,15.8347,15.8347,15.2541,15.5708,27200
SNC,20150504,14.2512,14.7791,14.2512,14.7791,1000
SNC,20150505,14.7263,14.7263,14.2513,14.2513,1200
SNC,20150506,15.9931,15.9931,14.1457,14.1457,2800
SNC,20150507,14.3568,15.2013,14.2513,14.8846,27600
SNC,20150508,16.3625,16.3625,15.3069,15.3069,500
SNC,20150511,16.8904,16.8904,16.5209,16.5209,500
SNC,20150512,15.3069,15.3069,14.9374,14.9374,800
SNC,20150513,16.3625,16.3625,14.2512,15.2541,5500
SNC,20150514,13.7762,15.0958,13.7762,15.0958,700
SNC,20150515,15.7292,16.3098,15.7292,15.8347,14300
SNC,20150518,15.4652,15.4652,14.7263,14.7263,2400
SNC,20150519,14.6735,14.6735,14.3568,14.3568,3600
SNC,20150520,15.0430,15.2013,14.4624,14.4624,13700
SNC,20150521,14.9902,14.9902,14.2513,14.2513,15600
SNC,20150522,14.2513,14.2513,14.2513,14.2513,3200
SNC,20150525,14.2513,14.2513,12.8262,13.7234,3000
SNC,20150526,14.7263,14.7263,13.9873,13.9873,5100
SNC,20150527,13.9873,13.9873,13.7234,13.7234,3000
SNC,20150528,14.6735,14.6735,13.8290,13.8290,6000
SNC,20150529,13.7234,14.4624,13.7234,14.4624,1600
SNC,20150601,14.3041,14.3041,13.6179,13.6179,1900
SNC,20150602,13.6707,14.1457,12.6678,14.1457,16100
SNC,20150603,13.4067,13.4067,13.4067,13.4067,0
