<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SPM,20100521,80.0000,80.0000,68.5000,74.0000,251960
SPM,20100524,70.5000,75.0000,70.5000,75.0000,113860
SPM,20100525,75.0000,76.0000,74.0000,75.0000,163740
SPM,20100526,77.5000,77.5000,74.0000,75.0000,30820
SPM,20100527,76.0000,78.5000,74.5000,78.5000,112420
SPM,20100528,82.0000,82.0000,78.5000,79.0000,70950
SPM,20100531,79.0000,79.0000,76.0000,76.5000,42210
SPM,20100601,75.0000,75.5000,75.0000,75.0000,44500
SPM,20100602,74.0000,76.0000,74.0000,75.0000,64410
SPM,20100603,77.5000,78.0000,76.5000,78.0000,102000
SPM,20100604,77.0000,81.5000,77.0000,81.5000,109390
SPM,20100607,81.5000,83.5000,79.0000,83.0000,119120
SPM,20100608,81.0000,82.5000,80.5000,81.0000,44090
SPM,20100609,80.0000,81.5000,80.0000,81.5000,69620
SPM,20100610,80.0000,82.0000,80.0000,82.0000,27310
SPM,20100611,82.0000,83.5000,82.0000,82.0000,89980
SPM,20100614,81.0000,83.0000,81.0000,81.0000,60030
SPM,20100615,80.0000,82.5000,80.0000,81.0000,53070
SPM,20100616,81.0000,81.0000,78.0000,79.0000,54960
SPM,20100617,77.0000,78.5000,77.0000,78.0000,27210
SPM,20100618,77.0000,78.0000,77.0000,77.5000,31420
SPM,20100621,76.0000,77.0000,76.0000,76.5000,12420
SPM,20100622,77.5000,77.5000,76.5000,77.0000,29660
SPM,20100623,76.0000,79.0000,76.0000,78.0000,71530
SPM,20100624,77.5000,81.5000,77.5000,80.0000,62810
SPM,20100625,80.5000,82.5000,80.5000,81.0000,159480
SPM,20100628,78.5000,82.0000,78.5000,80.0000,153110
SPM,20100629,79.0000,79.0000,79.0000,79.0000,45280
SPM,20100630,79.0000,79.0000,78.0000,78.0000,38930
SPM,20100701,77.0000,78.5000,77.0000,77.5000,34630
SPM,20100702,78.0000,78.5000,77.5000,77.5000,40910
SPM,20100705,76.5000,77.5000,76.5000,77.0000,33050
SPM,20100706,79.0000,79.0000,74.0000,76.0000,94810
SPM,20100707,74.5000,76.0000,74.0000,74.0000,36410
SPM,20100708,76.5000,76.5000,73.5000,75.0000,23130
SPM,20100709,76.0000,76.0000,75.0000,75.0000,17680
SPM,20100712,74.5000,76.0000,74.0000,74.0000,154240
SPM,20100713,74.0000,75.5000,74.0000,75.5000,27520
SPM,20100714,76.0000,76.0000,74.0000,74.0000,124280
SPM,20100715,74.0000,75.0000,73.0000,74.0000,147440
SPM,20100716,74.5000,74.5000,73.0000,74.0000,157500
SPM,20100719,73.0000,74.0000,72.5000,74.0000,68110
SPM,20100720,73.5000,74.0000,72.0000,74.0000,37230
SPM,20100721,74.0000,74.0000,72.0000,72.0000,57140
SPM,20100722,73.0000,73.0000,72.0000,72.5000,82990
SPM,20100723,73.0000,73.0000,72.0000,72.0000,78910
SPM,20100726,72.5000,72.5000,70.0000,70.0000,51710
SPM,20100727,72.5000,72.5000,70.0000,72.0000,25040
SPM,20100728,72.0000,72.0000,70.0000,72.0000,21550
SPM,20100729,72.5000,72.5000,70.0000,70.0000,6040
SPM,20100730,69.0000,70.0000,69.0000,70.0000,3660
SPM,20100802,70.0000,70.0000,69.0000,69.0000,6340
SPM,20100803,68.5000,69.0000,68.5000,68.5000,8580
SPM,20100804,67.0000,69.0000,67.0000,69.0000,2400
SPM,20100805,69.0000,70.0000,69.0000,70.0000,9000
SPM,20100806,69.0000,70.0000,68.0000,70.0000,10430
SPM,20100809,69.0000,69.5000,67.0000,69.5000,27050
SPM,20100810,67.0000,67.5000,66.5000,67.5000,36320
SPM,20100811,68.0000,68.5000,68.0000,68.5000,6010
SPM,20100812,68.0000,68.0000,65.5000,67.5000,34730
SPM,20100813,67.5000,68.0000,67.5000,68.0000,13630
SPM,20100816,68.5000,70.0000,68.0000,68.5000,30470
SPM,20100817,67.0000,69.5000,67.0000,68.0000,206270
SPM,20100818,67.5000,67.5000,67.5000,67.5000,29770
SPM,20100819,68.0000,68.0000,67.0000,67.0000,13640
SPM,20100820,67.5000,67.5000,65.0000,67.0000,35000
SPM,20100823,67.0000,68.0000,65.0000,67.0000,93480
SPM,20100824,64.5000,65.0000,64.0000,64.0000,56030
SPM,20100825,65.0000,65.0000,61.0000,64.5000,135720
SPM,20100826,61.5000,65.0000,61.5000,65.0000,120360
SPM,20100827,65.0000,68.0000,65.0000,68.0000,32170
SPM,20100830,67.5000,68.0000,67.0000,67.5000,6600
SPM,20100831,66.0000,67.5000,66.0000,67.5000,3740
SPM,20100901,66.0000,67.5000,66.0000,67.5000,25900
SPM,20100906,68.0000,68.0000,67.0000,67.5000,71330
SPM,20100907,67.0000,67.5000,66.0000,67.0000,18270
SPM,20100908,67.0000,69.0000,67.0000,68.5000,50750
SPM,20100909,68.0000,68.5000,67.0000,68.5000,3750
SPM,20100910,68.5000,68.5000,68.0000,68.0000,17100
SPM,20100913,70.0000,70.0000,66.0000,68.0000,10730
SPM,20100914,68.0000,68.0000,68.0000,68.0000,3580
SPM,20100915,67.5000,67.5000,66.0000,67.5000,11120
SPM,20100916,67.0000,68.0000,66.0000,68.0000,19570
SPM,20100917,67.5000,67.5000,67.5000,67.5000,11670
SPM,20100920,67.5000,67.5000,67.5000,67.5000,1400
SPM,20100921,67.5000,67.5000,67.5000,67.5000,3100
SPM,20100922,67.5000,67.5000,67.5000,67.5000,1100
