<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SRA,20080118,50.0000,52.2000,50.0000,52.0000,32500
SRA,20080121,51.0000,51.0000,46.0000,46.2000,13200
SRA,20080122,48.0000,48.0000,46.9000,47.8000,3900
SRA,20080123,50.0000,51.0000,45.0000,45.5000,6600
SRA,20080124,49.5000,49.5000,43.0000,44.0000,3200
SRA,20080125,45.0000,45.9000,44.0000,44.0000,8800
SRA,20080128,44.0000,44.0000,40.5000,40.6000,9700
SRA,20080129,41.0000,42.5000,40.0000,42.0000,6100
SRA,20080130,44.1000,45.2000,44.1000,45.2000,11100
SRA,20080131,47.0000,48.5000,45.0000,48.0000,10300
SRA,20080201,47.0000,47.5000,46.0000,46.5000,11000
SRA,20080212,44.0000,44.2000,44.0000,44.0000,1500
SRA,20080213,45.8000,45.8000,45.0000,45.0000,300
SRA,20080214,45.5000,45.9000,45.5000,45.9000,1300
SRA,20080215,45.9000,45.9000,45.9000,45.9000,0
SRA,20080218,41.5000,41.5000,41.3000,41.3000,1800
SRA,20080219,40.0000,40.3000,40.0000,40.0000,6400
SRA,20080220,39.0000,41.0000,37.0000,37.0000,3200
SRA,20080221,34.2000,34.2000,34.2000,34.2000,700
SRA,20080222,30.8000,30.8000,30.8000,30.8000,9700
SRA,20080225,33.5000,33.5000,32.8000,33.0000,7500
SRA,20080226,29.7000,29.7000,29.7000,29.7000,300
SRA,20080227,30.0000,32.6000,29.7000,29.7000,3600
SRA,20080228,30.0000,30.0000,29.0000,29.0000,1000
SRA,20080229,29.0000,29.0000,28.5000,28.8000,400
SRA,20080303,29.0000,29.0000,26.0000,26.0000,2800
SRA,20080304,23.7000,23.7000,23.7000,23.7000,700
SRA,20080305,21.5000,22.5000,21.4000,21.4000,3200
SRA,20080306,23.5000,23.5000,23.5000,23.5000,200
SRA,20080307,25.8000,25.8000,25.8000,25.8000,2500
SRA,20080310,28.3000,28.3000,28.3000,28.3000,21200
SRA,20080311,30.0000,30.0000,25.8000,25.8000,3400
SRA,20080312,26.5000,29.3000,26.5000,27.1000,1900
SRA,20080313,28.0000,28.5000,27.5000,28.1000,1800
SRA,20080314,28.0000,28.3000,27.9000,27.9000,3800
SRA,20080317,26.5000,26.5000,25.5000,25.6000,2000
SRA,20080318,23.4000,24.0000,23.4000,23.4000,4300
SRA,20080319,25.0000,25.0000,24.9000,24.9000,200
SRA,20080320,25.0000,25.0000,25.0000,25.0000,100
SRA,20080321,22.5000,23.0000,22.5000,22.8000,3000
SRA,20080324,21.0000,21.0000,20.6000,20.8000,4800
SRA,20080325,18.8000,18.8000,18.7000,18.7000,1500
SRA,20080326,20.6000,20.6000,20.5000,20.6000,1100
SRA,20080327,20.2000,21.0000,20.2000,21.0000,10200
SRA,20080328,21.4000,21.4000,21.4000,21.4000,8000
SRA,20080331,21.8000,21.8000,21.8000,21.8000,200
SRA,20080401,22.2000,22.2000,22.2000,22.2000,200
SRA,20080402,22.6000,22.6000,22.6000,22.6000,100
SRA,20080403,22.6000,22.6000,22.6000,22.6000,0
