<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SSC,20050301,30.8000,30.8000,30.8000,30.8000,27280
SSC,20050302,31.2000,32.0000,31.2000,32.0000,15580
SSC,20050303,32.9000,32.9000,32.5000,32.5000,7260
SSC,20050304,32.5000,32.5000,32.4000,32.4000,14880
SSC,20050307,32.4000,32.5000,32.4000,32.5000,4230
SSC,20050308,32.5000,32.5000,31.8000,31.8000,8690
SSC,20050309,31.8000,31.8000,31.8000,31.8000,2100
SSC,20050310,31.8000,31.8000,31.8000,31.8000,1000
SSC,20050311,31.8000,32.0000,31.8000,32.0000,1500
SSC,20050314,32.0000,32.0000,32.0000,32.0000,4500
SSC,20050315,32.0000,32.5000,32.0000,32.5000,15450
SSC,20050316,32.5000,32.8000,32.5000,32.8000,7410
SSC,20050317,33.0000,33.0000,32.8000,32.8000,6900
SSC,20050318,33.0000,33.0000,33.0000,33.0000,23530
SSC,20050321,33.0000,33.0000,33.0000,33.0000,9200
SSC,20050322,33.0000,34.3000,33.0000,34.3000,15470
SSC,20050323,34.3000,34.3000,34.3000,34.3000,21590
SSC,20050324,35.0000,35.0000,35.0000,35.0000,13910
SSC,20050325,35.5000,35.5000,35.0000,35.0000,4140
SSC,20050328,35.0000,35.0000,34.8000,34.8000,7260
SSC,20050329,34.2000,34.6000,34.2000,34.6000,4430
SSC,20050330,35.0000,35.0000,34.9000,34.9000,13910
SSC,20050331,35.0000,35.0000,35.0000,35.0000,11630
SSC,20050401,35.0000,35.0000,34.9000,34.9000,10180
SSC,20050404,34.9000,34.9000,34.7000,34.7000,1500
SSC,20050405,34.8000,34.9000,34.8000,34.9000,5600
SSC,20050406,34.9000,34.9000,34.8000,34.8000,6500
SSC,20050407,34.8000,34.8000,34.7000,34.7000,16060
SSC,20050408,34.7000,34.7000,34.7000,34.7000,5470
SSC,20050411,34.7000,34.7000,34.7000,34.7000,1010
SSC,20050412,34.7000,34.8000,34.7000,34.8000,6260
SSC,20050413,34.7000,34.7000,34.7000,34.7000,7920
SSC,20050414,34.6000,34.7000,34.6000,34.7000,6000
SSC,20050415,34.7000,34.7000,34.7000,34.7000,2050
SSC,20050418,34.7000,34.7000,34.6000,34.6000,4120
SSC,20050419,34.6000,34.6000,34.6000,34.6000,4270
SSC,20050420,34.6000,34.6000,34.5000,34.5000,7020
SSC,20050421,34.5000,34.6000,34.5000,34.6000,16250
SSC,20050422,34.6000,34.6000,34.6000,34.6000,1560
SSC,20050425,34.6000,34.6000,34.6000,34.6000,7350
SSC,20050426,34.6000,34.8000,34.6000,34.8000,1580
SSC,20050427,36.3000,36.3000,35.0000,35.0000,3030
SSC,20050428,34.8000,35.0000,34.8000,35.0000,2180
SSC,20050429,34.8000,34.8000,34.8000,34.8000,7500
SSC,20050504,34.8000,34.9000,34.8000,34.9000,10
SSC,20050505,34.9000,34.9000,34.7000,34.7000,3000
SSC,20050506,34.8000,34.8000,34.8000,34.8000,4650
SSC,20050509,34.8000,34.8000,34.6000,34.6000,8000
SSC,20050510,34.8000,34.8000,34.7000,34.7000,3510
SSC,20050511,34.6000,34.6000,34.6000,34.6000,9000
SSC,20050512,34.5000,34.5000,34.5000,34.5000,4230
SSC,20050513,34.6000,34.6000,34.6000,34.6000,7510
SSC,20050516,34.6000,34.6000,34.5000,34.5000,1400
SSC,20050517,34.4000,34.4000,34.1000,34.1000,4000
SSC,20050518,34.1000,34.1000,34.1000,34.1000,920
SSC,20050519,34.1000,34.4000,34.1000,34.4000,1530
SSC,20050520,34.6000,34.6000,34.6000,34.6000,9690
SSC,20050523,34.5000,34.6000,34.5000,34.6000,3700
SSC,20050524,34.6000,34.7000,34.6000,34.7000,10
SSC,20050525,34.7000,34.7000,34.7000,34.7000,3000
SSC,20050526,34.7000,34.7000,34.6000,34.6000,1150
SSC,20050527,34.6000,34.8000,34.6000,34.8000,10
SSC,20050530,34.6000,34.6000,34.6000,34.6000,4840
SSC,20050531,34.7000,34.7000,34.7000,34.7000,2800
SSC,20050601,34.5000,34.8000,34.5000,34.8000,10330
SSC,20050602,34.8000,35.0000,34.8000,35.0000,1010
SSC,20050603,35.4000,35.4000,35.0000,35.0000,3560
SSC,20050606,35.0000,35.0000,35.0000,35.0000,2610
SSC,20050607,35.2000,35.3000,35.2000,35.3000,900
SSC,20050608,35.4000,35.5000,35.4000,35.5000,6770
SSC,20050609,35.6000,35.6000,35.6000,35.6000,11280
SSC,20050610,35.6000,35.6000,35.6000,35.6000,1500
SSC,20050613,35.6000,35.6000,35.5000,35.5000,100
SSC,20050614,35.5000,35.5000,35.5000,35.5000,0
SSC,20050615,35.5000,35.5000,35.5000,35.5000,20700
SSC,20050616,35.5000,35.5000,35.5000,35.5000,5380
