<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SSG,20110105,12.9000,15.0000,12.9000,15.0000,15000
SSG,20110106,14.5000,14.5000,14.5000,14.5000,5000
SSG,20110107,15.5000,15.5000,15.5000,15.5000,1000
SSG,20110110,16.0000,16.5000,16.0000,16.5000,4300
SSG,20110111,17.3000,17.3000,17.3000,17.3000,8700
SSG,20110112,18.5000,18.5000,18.5000,18.5000,4000
SSG,20110113,19.7000,19.7000,19.6000,19.6000,6200
SSG,20110114,18.3000,18.3000,18.3000,18.3000,3400
SSG,20110117,18.0000,18.5000,18.0000,18.5000,3000
SSG,20110118,17.1000,17.1000,17.1000,17.1000,100
SSG,20110119,16.0000,16.0000,16.0000,16.0000,6300
SSG,20110120,14.9000,16.0000,14.9000,15.5000,13100
SSG,20110121,15.0000,15.0000,14.2000,14.2000,4900
SSG,20110124,14.7000,14.7000,14.7000,14.7000,0
SSG,20110125,14.0000,14.0000,13.7000,13.7000,3300
SSG,20110126,13.5000,13.5000,13.0000,13.0000,1300
SSG,20110127,12.3000,12.3000,12.3000,12.3000,2400
SSG,20110128,11.6000,11.7000,11.5000,11.5000,5000
SSG,20110208,11.6000,11.6000,11.6000,11.6000,0
SSG,20110209,11.6000,11.6000,11.6000,11.6000,0
SSG,20110210,11.1000,12.4000,11.1000,12.4000,1400
SSG,20110211,12.7000,12.7000,12.7000,12.7000,1800
SSG,20110214,13.5000,13.5000,13.0000,13.5000,2700
SSG,20110215,13.3000,13.3000,13.3000,13.3000,0
SSG,20110216,13.0000,13.0000,13.0000,13.0000,1500
SSG,20110217,12.2000,12.2000,12.2000,12.2000,5700
SSG,20110218,12.2000,12.2000,12.2000,12.2000,0
SSG,20110221,11.4000,11.4000,11.4000,11.4000,6000
SSG,20110222,11.4000,11.4000,11.4000,11.4000,4200
SSG,20110223,12.1000,12.1000,12.1000,12.1000,100
SSG,20110224,12.1000,12.1000,12.1000,12.1000,0
SSG,20110225,12.1000,12.1000,12.1000,12.1000,0
SSG,20110228,12.1000,12.1000,12.1000,12.1000,0
SSG,20110301,11.3000,11.3000,11.3000,11.3000,100
SSG,20110302,11.3000,11.3000,11.3000,11.3000,0
SSG,20110303,11.3000,11.3000,11.3000,11.3000,0
SSG,20110304,11.0000,11.0000,11.0000,11.0000,4500
SSG,20110307,11.0000,11.0000,11.0000,11.0000,0
SSG,20110308,11.0000,11.0000,11.0000,11.0000,0
SSG,20110309,11.0000,11.0000,11.0000,11.0000,0
