<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SSM,20081117,12.0000,14.5000,12.0000,13.5000,35200
SSM,20081118,12.6000,12.6000,12.5000,12.5000,3600
SSM,20081119,12.2000,12.2000,11.7000,11.7000,4100
SSM,20081120,11.8000,11.8000,11.8000,11.8000,0
SSM,20081121,11.8000,11.8000,11.8000,11.8000,0
SSM,20081124,11.0000,11.0000,11.0000,11.0000,1100
SSM,20081125,10.3000,10.3000,10.3000,10.3000,100
SSM,20081126,9.6000,9.6000,9.6000,9.6000,100
SSM,20081127,9.0000,9.0000,9.0000,9.0000,5800
SSM,20081128,8.4000,9.5000,8.4000,8.5000,9200
SSM,20081201,8.2000,9.3000,8.1000,9.3000,5300
SSM,20081202,8.2000,8.9000,8.2000,8.9000,1100
SSM,20081203,8.3000,8.5000,8.2000,8.5000,5400
SSM,20081204,8.3000,8.7000,8.3000,8.7000,400
SSM,20081205,8.9000,8.9000,8.7000,8.7000,3600
SSM,20081208,8.7000,8.7000,8.7000,8.7000,500
SSM,20081209,8.6000,8.6000,8.5000,8.5000,2000
SSM,20081210,8.3000,8.3000,8.0000,8.0000,1700
SSM,20081211,8.5000,8.5000,8.0000,8.0000,3500
SSM,20081212,8.6000,8.6000,8.6000,8.6000,200
SSM,20081215,8.3000,8.6000,8.0000,8.0000,5600
SSM,20081216,7.9000,8.2000,7.9000,8.2000,2500
SSM,20081217,8.3000,8.6000,8.3000,8.5000,10200
SSM,20081218,8.6000,8.6000,8.6000,8.6000,0
SSM,20081219,8.5000,8.7000,8.5000,8.6000,3700
SSM,20081222,8.5000,8.5000,8.5000,8.5000,0
SSM,20081223,8.5000,9.0000,8.5000,8.9000,8400
SSM,20081224,9.5000,9.5000,8.7000,8.8000,1600
SSM,20081225,8.6000,8.6000,8.6000,8.6000,800
SSM,20081226,8.6000,8.6000,8.6000,8.6000,0
SSM,20081229,8.6000,8.6000,8.6000,8.6000,0
SSM,20081230,8.6000,8.6000,8.6000,8.6000,0
SSM,20081231,8.6000,8.6000,8.6000,8.6000,100
SSM,20090102,8.6000,8.6000,8.6000,8.6000,0
SSM,20090105,8.7000,9.2000,8.7000,9.2000,1700
SSM,20090106,8.8000,8.8000,8.8000,8.8000,0
SSM,20090107,9.0000,9.0000,8.8000,8.8000,700
SSM,20090108,9.0000,9.0000,9.0000,9.0000,0
SSM,20090109,8.5000,8.5000,8.5000,8.5000,100
SSM,20090112,8.3000,8.3000,8.2000,8.2000,300
SSM,20090113,8.5000,8.7000,8.5000,8.7000,2100
SSM,20090114,8.6000,8.6000,8.6000,8.6000,0
SSM,20090115,9.2000,9.2000,9.1000,9.2000,8900
SSM,20090116,9.2000,9.3000,9.2000,9.3000,1200
SSM,20090119,9.2000,9.2000,9.2000,9.2000,0
SSM,20090120,8.6000,9.7000,8.6000,9.7000,200
SSM,20090121,9.2000,9.2000,9.2000,9.2000,0
SSM,20090122,9.2000,9.2000,9.2000,9.2000,0
SSM,20090123,9.2000,9.2000,9.2000,9.2000,0
SSM,20090202,8.6000,8.6000,8.6000,8.6000,300
SSM,20090203,8.6000,8.6000,8.6000,8.6000,0
SSM,20090204,9.0000,9.1000,9.0000,9.1000,1000
SSM,20090205,9.0000,9.0000,9.0000,9.0000,1900
SSM,20090206,9.0000,9.0000,9.0000,9.0000,10000
SSM,20090209,9.0000,9.0000,9.0000,9.0000,1000
SSM,20090210,9.1000,9.1000,9.1000,9.1000,1100
SSM,20090211,9.2000,9.2000,9.0000,9.0000,1500
SSM,20090212,9.0000,9.1000,9.0000,9.0000,5700
SSM,20090213,9.0000,9.2000,9.0000,9.2000,5000
SSM,20090216,9.2000,9.7000,9.2000,9.7000,4700
SSM,20090217,9.5000,10.0000,9.4000,10.0000,5600
SSM,20090218,10.3000,10.3000,10.3000,10.3000,14000
SSM,20090219,11.0000,11.0000,11.0000,11.0000,16500
SSM,20090220,11.7000,11.7000,11.0000,11.2000,14600
SSM,20090223,10.7000,10.7000,10.7000,10.7000,12000
SSM,20090224,10.0000,10.0000,10.0000,10.0000,2100
SSM,20090225,10.2000,10.2000,10.0000,10.0000,2200
SSM,20090226,10.2000,10.2000,10.2000,10.2000,0
SSM,20090227,10.0000,10.9000,10.0000,10.9000,1100
SSM,20090302,9.5000,10.5000,9.5000,10.5000,500
SSM,20090303,9.5000,9.5000,9.4000,9.4000,3200
SSM,20090304,9.8000,10.0000,9.8000,10.0000,1900
SSM,20090305,10.4000,10.5000,10.3000,10.5000,2200
SSM,20090306,10.0000,10.0000,10.0000,10.0000,100
SSM,20090309,10.0000,10.2000,9.8000,9.8000,1200
