<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
STC,20061227,88.9000,88.9000,88.9000,88.9000,500
STC,20061228,80.1000,80.1000,80.1000,80.1000,100
STC,20061229,80.1000,80.1000,80.1000,80.1000,0
STC,20070102,80.1000,80.1000,80.1000,80.1000,0
STC,20070103,80.1000,80.1000,80.1000,80.1000,0
STC,20070104,80.1000,80.1000,80.1000,80.1000,0
STC,20070105,80.1000,80.1000,80.1000,80.1000,0
STC,20070108,72.1000,72.1000,72.1000,72.1000,100
STC,20070109,64.9000,64.9000,64.9000,64.9000,100
STC,20070110,58.5000,58.5000,58.5000,58.5000,1100
STC,20070111,60.0000,60.0000,60.0000,60.0000,900
STC,20070112,60.5000,60.5000,60.0000,60.0000,1500
STC,20070115,60.2000,60.2000,60.2000,60.2000,0
STC,20070116,60.2000,60.2000,60.2000,60.2000,0
STC,20070117,60.2000,60.2000,60.2000,60.2000,0
STC,20070118,55.0000,55.0000,55.0000,55.0000,500
STC,20070119,56.0000,60.0000,56.0000,60.0000,4500
STC,20070122,61.0000,61.0000,61.0000,61.0000,1300
STC,20070123,61.9000,61.9000,60.5000,61.0000,9800
STC,20070124,60.9000,61.5000,60.9000,61.5000,4500
STC,20070125,60.0000,60.0000,60.0000,60.0000,400
STC,20070126,58.0000,58.0000,58.0000,58.0000,1000
STC,20070129,58.0000,58.0000,58.0000,58.0000,0
STC,20070130,55.0000,56.0000,55.0000,56.0000,2000
STC,20070131,60.0000,60.0000,57.0000,60.0000,1500
STC,20070201,59.0000,59.0000,59.0000,59.0000,0
STC,20070202,64.9000,64.9000,55.0000,64.9000,7600
STC,20070205,60.0000,60.0000,58.0000,58.0000,5100
STC,20070206,60.0000,65.0000,60.0000,61.0000,11500
STC,20070207,63.0000,68.3000,63.0000,65.5000,14000
STC,20070208,69.0000,69.5000,67.5000,67.5000,7700
STC,20070209,68.0000,68.0000,62.0000,64.9000,4100
STC,20070212,72.2000,72.2000,71.0000,71.0000,4000
STC,20070213,73.0000,73.0000,73.0000,73.0000,500
STC,20070214,75.0000,75.0000,71.0000,72.2000,2700
STC,20070215,70.0000,70.0000,69.0000,69.0000,1400
STC,20070226,12.1273,12.1273,12.1273,12.1273,100
STC,20070227,11.9515,12.0394,11.9515,12.0394,1000
STC,20070228,11.9515,11.9515,11.7758,11.7758,800
STC,20070301,12.1273,12.3031,12.1273,12.1273,14700
STC,20070302,12.5667,12.5667,12.3206,12.3206,2800
STC,20070305,12.3031,12.6546,12.3031,12.6546,5400
STC,20070306,12.7425,12.7425,12.6546,12.7425,3000
STC,20070307,13.8497,13.9376,12.6546,12.8303,8100
STC,20070308,14.2716,14.2716,14.2716,14.2716,5700
STC,20070309,15.6952,15.6952,15.6952,15.6952,2100
STC,20070312,17.2594,17.2594,17.2594,17.2594,6700
STC,20070313,18.9819,18.9819,15.5722,15.5722,6600
STC,20070314,16.6970,16.6970,15.7479,15.8182,2200
STC,20070315,14.8691,14.8691,14.8691,14.8691,100
STC,20070316,15.1152,16.3455,15.1152,16.3455,2600
STC,20070319,16.6970,16.6970,15.8182,16.6970,9000
STC,20070320,17.0485,17.0485,16.4334,16.5213,8900
STC,20070321,16.6970,16.6970,16.5213,16.5213,8700
STC,20070322,16.5213,16.5213,15.4667,15.8182,2000
STC,20070323,15.8710,15.8710,15.8710,15.8710,0
STC,20070326,14.7637,14.7637,14.7637,14.7637,400
STC,20070327,13.2873,13.2873,13.2873,13.2873,200
STC,20070328,11.9691,11.9691,11.9691,11.9691,4800
STC,20070329,13.1643,13.1643,13.1643,13.1643,300
STC,20070330,11.8637,14.4649,11.8637,12.9182,13900
STC,20070402,13.9728,13.9728,13.0061,13.0061,1100
STC,20070403,14.0606,14.0606,13.9728,13.9728,600
STC,20070404,12.6370,12.6370,12.6370,12.6370,700
STC,20070405,12.4788,12.4788,11.6352,11.9515,2900
STC,20070406,12.0043,12.0043,12.0043,12.0043,0
STC,20070409,13.0061,13.0940,13.0061,13.0940,1100
STC,20070410,13.0764,13.0764,13.0764,13.0764,0
STC,20070411,13.0764,13.0764,13.0764,13.0764,0
STC,20070412,12.2855,12.2855,11.9515,11.9515,1200
STC,20070413,11.4243,11.4243,11.0903,11.0903,500
STC,20070416,11.4243,11.7231,11.4243,11.7231,800
STC,20070417,11.5297,11.5297,11.5297,11.5297,0
STC,20070418,11.0728,11.0728,11.0728,11.0728,200
STC,20070419,12.1273,12.1273,10.5455,11.4243,1900
STC,20070420,11.2837,11.2837,11.2837,11.2837,0
STC,20070423,11.2837,11.2837,11.2837,11.2837,0
STC,20070424,10.5455,10.5455,10.1940,10.1940,2700
STC,20070425,10.5455,10.5455,10.5279,10.5455,2500
STC,20070502,10.5455,10.5455,10.5455,10.5455,0
STC,20070503,10.3697,10.3697,10.3697,10.3697,100
STC,20070504,10.3697,10.3697,10.3697,10.3697,700
STC,20070507,10.1940,10.1940,10.1940,10.1940,400
STC,20070508,10.3697,10.3697,10.3697,10.3697,400
STC,20070509,10.3697,10.3697,10.3697,10.3697,0
STC,20070510,10.3697,10.3697,10.3697,10.3697,0
STC,20070511,10.1940,10.1940,10.1940,10.1940,200
STC,20070514,10.1940,10.1940,10.1940,10.1940,0
STC,20070515,10.1940,10.1940,10.1940,10.1940,0
STC,20070516,10.0182,10.0182,10.0182,10.0182,500
STC,20070517,10.1940,10.1940,10.1940,10.1940,500
STC,20070518,10.1940,10.1940,9.8425,10.1940,2800
STC,20070521,10.1940,10.3697,10.1940,10.3697,6000
STC,20070522,10.3697,10.5455,10.2818,10.5279,4700
STC,20070523,10.8618,11.4594,10.8618,11.4594,700
