<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
STK,20150930,12.2881,12.6567,12.0833,12.6567,397320
STK,20151001,12.9025,13.5169,12.7386,13.5169,236460
STK,20151002,13.5169,14.0494,13.5169,13.7217,57350
STK,20151005,13.7217,14.3361,13.7217,14.3361,275190
STK,20151006,15.2782,15.2782,14.7457,14.9095,228850
STK,20151007,14.9095,14.9095,14.5409,14.7457,204010
STK,20151008,14.5409,14.7457,14.1723,14.7457,163690
STK,20151009,14.7457,14.7457,14.2542,14.4180,97100
STK,20151012,14.0084,14.4590,13.9265,14.3361,83520
STK,20151013,14.3361,14.6228,14.3361,14.5818,96370
STK,20151014,14.5818,14.6637,14.5818,14.6228,184950
STK,20151015,14.5409,14.9095,14.5409,14.9095,165540
STK,20151016,14.8685,15.1962,14.8685,15.1962,374950
STK,20151019,15.1962,15.4420,15.1962,15.4010,204350
STK,20151020,15.4010,15.5239,15.4010,15.4420,201770
STK,20151021,15.4420,15.4420,15.0324,15.1962,429360
STK,20151022,15.1552,15.2782,15.0324,15.2782,132100
STK,20151023,15.2782,15.3601,15.1553,15.1553,127720
STK,20151026,15.2372,15.2372,14.9505,14.9505,143630
STK,20151027,14.3361,14.9505,14.3361,14.9505,43090
STK,20151028,14.8686,14.9915,14.8686,14.8686,36220
STK,20151029,14.7867,14.9505,14.6638,14.9505,40170
STK,20151030,14.8276,14.9505,14.7457,14.8686,14530
STK,20151102,14.6638,14.9096,14.6638,14.9095,105520
STK,20151103,14.9545,15.0938,14.8645,15.0938,42640
STK,20151104,15.0938,15.4092,15.0938,15.4092,100490
STK,20151105,15.4092,15.6345,15.4092,15.6345,103970
STK,20151106,15.5894,15.6345,15.5444,15.6345,12610
STK,20151109,15.5444,15.6345,15.4993,15.6345,41540
STK,20151110,15.4543,15.6345,15.4543,15.6345,9650
STK,20151111,15.4993,15.5894,15.1839,15.4092,23000
STK,20151112,15.3191,15.5444,15.3191,15.5444,8990
STK,20151113,15.4993,15.5444,15.3191,15.4092,4490
STK,20151116,15.3191,15.5444,14.9586,15.3642,6310
STK,20151117,14.7334,15.3642,14.4631,15.2290,12270
STK,20151118,14.8686,15.0938,14.5081,14.8686,3540
STK,20151119,14.6433,14.6433,14.6433,14.6433,520
STK,20151120,14.6433,15.6345,14.4180,14.8686,38280
STK,20151123,14.0576,15.3192,14.0576,14.8686,21140
STK,20151124,14.8686,14.8686,14.1928,14.7784,37450
STK,20151125,14.7784,14.7784,14.2828,14.7784,34370
STK,20151126,14.7784,14.7784,14.4180,14.4180,32040
STK,20151127,14.8686,14.8686,14.3279,14.4180,36590
STK,20151130,14.8235,14.8235,14.3279,14.4180,32880
STK,20151201,14.7784,14.7784,14.5081,14.7334,86400
STK,20151202,14.7334,15.5444,14.6883,15.2290,54980
STK,20151203,15.2290,15.3191,15.0938,15.3191,64980
STK,20151204,15.3191,15.3191,15.0037,15.0938,37020
STK,20151207,15.9499,15.9499,14.8685,14.8686,42170
STK,20151208,14.8686,15.0038,14.5983,14.6883,73630
STK,20151209,14.6883,15.0487,14.6432,14.8686,116020
STK,20151210,14.8686,15.0939,14.8686,15.0488,129000
STK,20151211,15.0488,15.0939,14.6433,14.9587,107210
STK,20151214,14.4180,15.0488,14.4180,14.8686,152420
STK,20151215,13.8774,14.8686,13.8774,14.7784,12160
STK,20151216,14.4630,14.5531,14.4180,14.4180,37090
STK,20151217,14.3279,14.5081,14.2828,14.5081,19920
STK,20151218,13.8323,14.4180,13.8323,14.3729,21160
STK,20151221,14.1927,14.4180,14.0575,14.3279,12170
STK,20151222,13.5619,14.4180,13.5619,14.4180,5140
STK,20151223,14.4180,14.4180,14.0125,14.4180,20000
STK,20151224,14.4180,14.4180,13.8773,14.4180,22700
STK,20151225,13.8773,14.3279,13.6971,14.3279,55990
STK,20151228,14.3279,14.3279,14.3279,14.3279,10
STK,20151229,14.3279,14.3279,14.3279,14.3279,100
STK,20151230,13.9674,14.3279,13.9224,14.3279,18000
STK,20151231,14.2828,14.3730,14.2828,14.3729,15000
STK,20160104,14.3729,14.4180,13.9674,14.2378,31030
STK,20160105,14.1927,14.2378,14.0576,14.1477,36540
STK,20160106,14.1477,14.3279,14.1477,14.1477,53510
STK,20160107,14.1477,14.1928,13.8774,14.1026,31620
STK,20160108,14.1477,14.1477,13.5169,14.1026,29090
STK,20160111,14.1026,14.1026,14.1026,14.1026,0
STK,20160112,14.0575,14.1026,13.6520,13.9224,26380
STK,20160113,14.1477,14.1477,13.5169,13.9224,6770
STK,20160114,14.1477,14.1477,13.5619,14.0575,3020
STK,20160115,13.5168,14.1026,13.5168,14.0125,10650
STK,20160118,13.9224,13.9224,13.3366,13.3366,44000
STK,20160119,14.0575,14.0575,13.3366,13.9224,850
STK,20160120,14.1927,14.1927,13.8323,13.8773,36240
STK,20160121,13.8773,13.8773,13.2465,13.4718,14080
STK,20160122,13.2465,13.5169,13.0663,13.3366,27570
STK,20160125,13.3817,13.4718,13.2915,13.4718,8590
STK,20160126,13.4718,13.4718,12.7960,13.3817,7140
STK,20160127,13.4718,13.9674,12.8410,13.2916,1820
STK,20160128,12.8410,13.2465,12.8410,13.1114,42730
STK,20160129,13.1114,13.1114,13.0213,13.0663,3820
STK,20160201,13.0663,13.0663,12.8410,12.8410,54400
STK,20160202,12.7959,12.8410,12.7509,12.8410,22340
STK,20160203,12.7509,12.9762,12.7509,12.9762,7690
STK,20160204,12.8410,13.4718,12.8410,12.8410,12900
STK,20160205,13.0663,13.0663,13.0663,13.0663,300
STK,20160215,13.1564,13.1564,12.8410,12.9762,5010
STK,20160216,12.7960,12.9762,12.3905,12.9762,18390
STK,20160217,12.8410,13.8773,12.3905,13.6971,134540
STK,20160218,13.5169,14.0125,13.5169,14.0125,303950
STK,20160219,14.0125,14.0125,13.5169,14.0125,34970
STK,20160222,14.0125,14.0125,13.9224,13.9224,10490
STK,20160223,13.5169,13.7872,13.0663,13.5169,5790
STK,20160224,13.5169,13.5169,13.5169,13.5169,10140
STK,20160225,13.0663,13.5169,13.0663,13.0663,17360
STK,20160226,13.0663,13.2015,12.9762,13.2015,26320
STK,20160229,13.0663,13.2916,13.0663,13.2916,2280
STK,20160301,13.2916,13.2916,13.2916,13.2916,0
STK,20160302,13.0213,13.2916,12.8410,12.9762,10360
STK,20160303,12.9311,12.9762,12.8861,12.9762,20090
STK,20160304,12.9762,13.1564,12.8861,13.1564,19180
STK,20160307,12.6157,13.0663,12.3003,12.6157,116740
STK,20160308,12.6157,12.7960,12.1651,12.7960,49600
STK,20160309,12.7509,13.0663,12.7509,12.9762,30510
STK,20160310,13.0213,13.0213,12.6157,12.6157,66500
STK,20160311,12.8860,13.0663,12.6157,13.0663,3890
STK,20160314,13.2916,13.2916,12.6157,13.0663,13010
STK,20160315,12.8410,13.1114,12.8410,13.1114,2880
STK,20160316,12.7509,12.7509,12.3905,12.6157,10000
STK,20160317,12.7058,12.9311,12.6157,12.7059,125010
STK,20160318,12.7059,12.9312,12.7059,12.9311,79780
STK,20160321,12.8860,12.9311,12.6157,12.6157,20160
STK,20160322,12.9761,13.0663,12.6157,12.6157,53390
STK,20160323,12.9761,12.9761,12.6157,12.7960,12150
STK,20160324,12.9312,12.9312,12.7960,12.7960,74590
STK,20160325,12.8411,13.0663,12.8411,13.0663,20810
STK,20160328,13.1564,13.5169,13.1564,13.1564,23820
STK,20160329,13.2916,13.4267,12.7509,12.9762,118420
STK,20160330,13.0663,13.0663,12.8410,12.9762,10000
STK,20160331,13.0663,13.2916,12.9762,13.2015,26700
STK,20160401,13.2916,13.2916,13.0663,13.2015,3440
STK,20160404,13.2015,13.2015,13.2015,13.2015,630
STK,20160405,13.0663,13.0663,13.0663,13.0663,3000
STK,20160406,13.0663,13.2015,12.8861,13.2015,12810
STK,20160407,13.2916,13.3367,13.0663,13.3366,14260
STK,20160408,13.2915,13.5168,13.2915,13.3366,36670
STK,20160411,13.3366,13.4267,12.8410,13.3817,40300
STK,20160412,13.3817,13.3817,12.8410,13.0663,47200
STK,20160413,12.8410,13.0663,12.8410,13.0663,6060
STK,20160414,13.0663,13.0663,12.6157,12.6157,12000
STK,20160415,12.6608,12.9311,12.5706,12.7059,246260
STK,20160419,12.4766,12.7065,12.4766,12.7065,14510
STK,20160420,12.7065,12.8900,12.7065,12.7982,7200
STK,20160421,12.7523,12.8441,12.7523,12.8441,27700
STK,20160422,12.3854,12.9358,12.3854,12.5230,22630
STK,20160425,12.7524,12.7524,12.3854,12.3854,66180
STK,20160426,12.3854,12.3854,12.1560,12.3854,30170
STK,20160427,12.5230,12.5230,11.8808,11.9267,45090
STK,20160428,11.9267,11.9267,11.4680,11.8349,64710
STK,20160429,11.6973,12.2936,11.6973,12.2936,1060
STK,20160504,11.8808,12.3395,11.8808,12.3395,14750
STK,20160505,12.3854,12.7065,12.3854,12.4771,76330
STK,20160506,12.4771,12.4771,12.4771,12.4771,11800
STK,20160509,12.4771,12.4771,12.4771,12.4771,310
STK,20160510,12.4771,12.4771,12.4771,12.4771,0
STK,20160511,12.4771,12.4771,12.3854,12.3854,17350
STK,20160512,12.6148,12.6148,12.1560,12.1560,24020
STK,20160513,12.4771,12.4771,12.3854,12.3854,2410
STK,20160516,12.1560,12.1560,12.1560,12.1560,15000
STK,20160517,12.1560,12.3854,12.0184,12.3854,31490
STK,20160518,12.1560,12.4771,12.1560,12.4771,16000
STK,20160519,12.6147,12.8899,12.4771,12.7523,37090
STK,20160520,12.4771,12.7982,12.4312,12.4771,194270
STK,20160523,12.4771,12.8441,12.4771,12.8441,17000
STK,20160524,12.8441,12.8441,12.1560,12.4312,89690
STK,20160525,12.3853,12.3853,11.9266,12.1560,15640
STK,20160526,12.3854,12.5230,12.3854,12.5230,2010
STK,20160527,12.3395,12.5230,12.2478,12.2478,800
STK,20160530,11.9726,12.5230,11.9267,12.5230,8370
STK,20160531,13.0276,13.3028,12.9358,13.0276,28610
STK,20160601,13.9242,13.9242,13.1858,13.7157,21850
STK,20160602,13.7157,13.7157,13.7157,13.7157,1000
STK,20160603,13.6629,13.6629,13.6629,13.6629,1100
STK,20160606,13.4519,13.6629,13.4519,13.6629,1010
STK,20160607,13.6629,13.6629,13.6629,13.6629,0
STK,20160608,13.6629,13.6629,13.0299,13.0299,600
STK,20160609,13.0299,13.5047,13.0299,13.4519,5380
STK,20160610,13.2936,13.5047,12.9244,13.4519,30070
STK,20160613,12.9244,13.6629,12.7134,13.4519,30470
STK,20160614,12.8189,13.4519,12.8189,13.1881,8850
STK,20160615,13.2409,13.4519,13.2409,13.4519,6400
STK,20160616,13.4519,13.8212,13.4519,13.8212,8030
STK,20160617,13.8212,13.8212,13.8212,13.8212,0
STK,20160620,13.8212,13.8212,13.8212,13.8212,1000
STK,20160621,13.8212,13.8212,13.8212,13.8212,0
STK,20160622,13.7157,13.7157,13.2409,13.2409,900
STK,20160623,13.2937,13.3992,13.2936,13.2936,4100
STK,20160624,13.2936,13.2936,12.9243,12.9244,4300
STK,20160627,12.6606,12.9244,12.6606,12.6606,3600
STK,20160628,12.8716,12.8716,12.6606,12.7134,7120
STK,20160629,12.9244,12.9244,12.5551,12.6606,15230
STK,20160630,12.6606,12.6606,12.6606,12.6606,1360
STK,20160701,12.6606,12.6606,11.8166,12.6606,5220
STK,20160704,12.1331,12.1858,11.8166,12.1331,24390
STK,20160705,12.1331,12.1859,12.1331,12.1331,4640
STK,20160706,12.3969,12.3969,12.1859,12.3968,9000
STK,20160707,12.3968,12.6606,12.3440,12.6078,3920
STK,20160708,12.6078,12.6078,12.6078,12.6078,1300
STK,20160711,12.6078,12.6078,12.6078,12.6078,0
STK,20160712,12.6606,12.6606,12.3968,12.5551,7030
STK,20160713,12.6606,12.6606,12.3968,12.6078,5030
STK,20160714,12.6078,12.6078,12.1330,12.1331,510
STK,20160715,11.9748,12.1331,11.9748,12.1331,4640
STK,20160718,12.5551,12.5551,11.8693,11.9221,45790
STK,20160719,11.9221,11.9221,11.7638,11.7638,103690
STK,20160720,11.8693,12.1858,11.8166,11.9221,30050
STK,20160721,12.1331,12.1331,12.0803,12.0803,1410
STK,20160722,12.1331,12.1331,11.8693,11.8693,9060
STK,20160725,11.8693,12.1331,11.8693,12.1331,6960
STK,20160726,12.1331,12.1331,11.8693,11.8693,1770
STK,20160727,11.8693,11.8693,11.8693,11.8693,10
STK,20160728,11.8693,11.8693,11.8693,11.8693,4300
STK,20160729,11.6055,11.8693,11.0780,11.6056,10220
STK,20160801,11.3418,11.5001,11.3418,11.5000,7960
STK,20160802,12.1330,12.1331,12.1330,12.1331,40
STK,20160803,12.1331,12.1331,12.1331,12.1331,0
STK,20160804,11.6056,12.0803,11.3418,11.6056,15450
STK,20160805,10.9198,10.9198,10.8143,10.9198,52380
STK,20160808,10.8670,11.5528,10.8670,10.9725,3540
STK,20160809,11.0253,11.3418,10.9725,10.9725,23950
STK,20160810,10.9725,11.6055,10.9725,11.5528,34290
STK,20160811,11.6056,12.3441,11.5000,12.3441,13690
STK,20160812,12.3441,12.5551,11.6583,11.6583,1450
STK,20160815,11.3418,12.0276,11.2890,11.9221,17480
STK,20160816,12.0276,12.1331,11.9221,12.1331,17620
STK,20160817,12.1331,12.5024,12.1331,12.5023,100
STK,20160818,12.5023,12.5023,12.1330,12.1331,12550
STK,20160819,11.6056,12.2386,11.6056,11.9221,27070
STK,20160822,11.6056,11.9221,11.6056,11.8693,6110
STK,20160823,11.8693,11.8693,11.8693,11.8693,0
STK,20160824,11.6055,11.6056,11.6055,11.6056,1000
STK,20160825,11.6056,11.6056,11.3418,11.3418,8600
STK,20160826,12.0803,12.0803,10.8143,10.8143,10050
STK,20160829,11.4473,11.4473,10.8143,10.8143,39550
STK,20160830,11.0781,11.0781,10.5505,10.5505,28040
STK,20160831,10.5505,10.7615,10.4977,10.5505,59810
STK,20160901,11.2363,11.2890,10.5505,10.5505,23820
STK,20160905,10.5505,10.5505,10.5505,10.5505,15640
STK,20160906,10.5505,10.5505,10.2867,10.2867,17100
STK,20160907,10.9197,10.9197,10.2867,10.2867,10510
STK,20160908,10.5505,10.5505,9.6009,9.6010,8380
