<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
STP,20061009,22.0000,24.6000,22.0000,23.8000,16700
STP,20061010,24.1000,24.5000,23.0000,23.6000,7800
STP,20061011,24.0000,24.0000,23.5000,23.7000,8100
STP,20061012,23.9000,23.9000,23.7000,23.8000,3400
STP,20061013,23.8000,23.9000,23.7000,23.8000,17800
STP,20061016,24.0000,24.0000,23.9000,24.0000,7100
STP,20061017,24.8000,24.8000,23.8000,23.9000,11100
STP,20061018,24.0000,24.0000,23.6000,23.8000,3900
STP,20061019,23.6000,23.9000,23.6000,23.7000,9100
STP,20061020,23.7000,23.7000,23.5000,23.7000,5300
STP,20061023,23.5000,23.6000,23.5000,23.5000,1400
STP,20061024,23.5000,23.5000,23.4000,23.5000,300
STP,20061025,23.0000,23.2000,23.0000,23.1000,1700
STP,20061026,23.0000,23.0000,22.9000,23.0000,600
STP,20061027,23.0000,23.0000,23.0000,23.0000,400
STP,20061030,22.5000,22.5000,22.0000,22.3000,1000
STP,20061031,23.0000,23.0000,22.2000,22.6000,200
STP,20061101,22.3000,22.7000,22.3000,22.5000,2200
STP,20061102,22.0000,22.3000,22.0000,22.1000,2300
STP,20061103,22.5000,22.5000,22.2000,22.3000,8000
STP,20061106,22.5000,22.5000,22.3000,22.4000,13300
STP,20061107,22.5000,23.0000,22.5000,22.9000,4600
STP,20061108,23.2000,23.6000,23.0000,23.4000,6600
STP,20061109,23.5000,24.0000,23.5000,23.8000,10800
STP,20061110,25.0000,25.0000,24.0000,24.1000,3400
STP,20061113,24.5000,24.5000,24.0000,24.1000,6200
STP,20061114,23.4000,23.4000,23.0000,23.1000,7000
STP,20061115,23.0000,23.1000,23.0000,23.1000,3100
STP,20061116,23.4000,23.4000,23.4000,23.4000,2000
STP,20061117,23.3000,23.5000,23.3000,23.4000,2400
STP,20061120,23.6000,24.0000,23.5000,23.8000,7700
STP,20061121,24.0000,24.2000,24.0000,24.1000,6700
STP,20061122,24.1000,24.1000,24.0000,24.0000,6400
STP,20061123,24.0000,24.2000,24.0000,24.1000,4700
STP,20061124,24.5000,24.5000,24.2000,24.3000,10000
STP,20061127,24.3000,24.3000,24.3000,24.3000,0
STP,20061128,24.5000,24.5000,24.5000,24.5000,4000
STP,20061129,24.0000,24.6000,24.0000,24.5000,14400
STP,20061130,24.7000,25.2000,24.7000,25.0000,17000
STP,20061201,25.5000,25.7000,25.5000,25.7000,9000
STP,20061204,27.4000,27.4000,27.4000,27.4000,2000
STP,20061205,27.8000,28.0000,27.0000,27.5000,10200
STP,20061206,27.5000,27.5000,26.8000,26.9000,4800
STP,20061207,25.4000,26.0000,25.4000,25.8000,6000
STP,20061208,25.5000,26.1000,25.5000,25.5000,18500
STP,20061211,26.0000,26.0000,25.0000,25.7000,10500
STP,20061212,25.7000,25.7000,25.5000,25.6000,1500
STP,20061213,25.3000,25.5000,25.3000,25.3000,1700
STP,20061214,26.1000,26.1000,25.3000,26.0000,9800
STP,20061215,25.5000,25.5000,25.0000,25.0000,5500
STP,20061218,24.7000,25.0000,24.0000,24.9000,2800
STP,20061219,24.9000,25.0000,24.8000,24.8000,4300
STP,20061220,24.9000,24.9000,24.9000,24.9000,0
STP,20061221,26.0000,26.0000,24.7000,24.7000,3000
STP,20061222,25.2000,25.2000,25.2000,25.2000,1000
STP,20061225,25.2000,25.2000,25.2000,25.2000,0
STP,20061226,25.0000,25.0000,25.0000,25.0000,2000
STP,20061227,25.5000,25.5000,23.9000,25.5000,7500
STP,20061228,27.3000,27.3000,25.0000,27.2000,5100
STP,20061229,26.0000,26.0000,25.5000,25.5000,1400
STP,20070102,25.5000,25.5000,25.5000,25.5000,1000
STP,20070103,26.8000,27.0000,25.2000,26.7000,2200
STP,20070104,26.9000,26.9000,26.9000,26.9000,2000
STP,20070105,27.0000,27.1000,26.0000,26.9000,13600
STP,20070108,26.9000,26.9000,26.9000,26.9000,3600
STP,20070109,25.0000,25.5000,25.0000,25.5000,2400
STP,20070110,27.4000,27.4000,25.5000,25.5000,7900
STP,20070111,26.0000,26.0000,26.0000,26.0000,2200
STP,20070112,26.5000,27.0000,26.0000,26.0000,19500
STP,20070115,26.4000,28.0000,26.4000,28.0000,13700
STP,20070116,28.8000,28.8000,27.0000,28.0000,8000
STP,20070117,27.8000,28.2000,27.5000,28.0000,13500
STP,20070118,30.0000,30.0000,28.0000,28.4000,3000
STP,20070119,29.5000,29.6000,29.0000,29.0000,19800
STP,20070122,30.0000,30.0000,29.1000,29.1000,10200
STP,20070123,29.5000,29.5000,29.2000,29.4000,3500
STP,20070124,29.4000,29.4000,28.8000,28.8000,5300
STP,20070125,2.8355,3.1127,2.8355,3.1001,4600
STP,20070126,3.0875,3.2136,3.0875,3.2136,5700
STP,20070129,3.2136,3.2136,3.1505,3.1505,6400
STP,20070130,3.2766,3.3396,3.2010,3.2010,8300
STP,20070131,3.3396,3.3396,3.2136,3.2136,4600
STP,20070201,3.6168,3.6168,3.1505,3.2766,14600
STP,20070202,3.5538,3.5916,3.2136,3.3900,9600
STP,20070205,3.7554,3.7554,3.3900,3.4026,5400
STP,20070206,3.4782,3.5286,3.4026,3.4026,14900
STP,20070207,3.4026,3.6546,3.3648,3.6546,49800
STP,20070208,3.8563,3.8563,3.7176,3.8563,14500
STP,20070209,4.2217,4.2217,4.0957,4.2217,25900
STP,20070212,4.6250,4.6250,4.4108,4.4738,15800
STP,20070213,4.4108,4.4108,4.1839,4.1839,7900
STP,20070214,4.2091,4.2091,4.0327,4.0327,6800
STP,20070215,3.9067,3.9319,3.7302,3.7302,13800
STP,20070226,3.7554,4.2469,3.7554,4.2469,36300
STP,20070227,4.3730,4.3730,4.3730,4.3730,19900
STP,20070228,4.8014,4.8014,4.7888,4.8014,22600
STP,20070301,5.2803,5.2803,4.8014,4.8014,40900
STP,20070302,5.5954,5.5954,4.8518,4.9779,28000
STP,20070305,5.4693,5.4693,4.8518,5.1039,30000
STP,20070306,5.5450,5.5450,5.2929,5.5450,20800
STP,20070307,6.0995,6.0995,6.0995,6.0995,8400
STP,20070308,6.7044,6.7044,6.7044,6.7044,2700
STP,20070309,7.3723,7.3723,7.3723,7.3723,9800
STP,20070312,8.1032,8.1032,8.1032,8.1032,28700
STP,20070313,8.9097,8.9097,7.2967,7.3093,15400
STP,20070314,7.3093,7.3093,7.1454,7.1454,5300
STP,20070315,6.4397,6.4397,6.4397,6.4397,3300
STP,20070316,5.7970,7.0572,5.7970,7.0572,21600
STP,20070319,6.8556,6.8556,6.8556,6.8556,20400
STP,20070320,6.8682,7.4353,6.8052,6.8682,15500
STP,20070321,6.8052,6.8052,6.5531,6.8052,7400
STP,20070322,6.6792,6.6792,6.1751,6.2381,9500
STP,20070323,6.4649,6.4649,6.0490,6.1751,4000
STP,20070326,5.9230,5.9230,5.7214,5.7214,2300
STP,20070327,5.5198,5.5198,5.1921,5.1921,4800
STP,20070328,4.7132,5.4189,4.7132,5.4189,5500
STP,20070329,5.3685,5.3685,5.3685,5.3685,3300
STP,20070330,5.8978,5.8978,5.7970,5.7970,14200
STP,20070402,5.9230,6.0490,5.3055,5.8600,2900
STP,20070403,5.6206,5.6206,5.6206,5.6206,300
STP,20070404,5.0787,5.6206,5.0661,5.6206,4600
STP,20070405,5.7970,5.7970,5.3055,5.3055,1700
STP,20070406,5.2929,5.4189,5.0409,5.3181,1300
STP,20070409,5.3181,5.3181,4.9148,5.0409,4600
STP,20070410,5.0409,5.0409,5.0157,5.0409,1300
STP,20070411,5.0661,5.2929,5.0661,5.1669,7200
STP,20070412,5.5450,5.5450,5.0409,5.3559,8300
STP,20070413,5.1669,5.2929,5.1669,5.2929,1700
STP,20070416,5.1795,5.1795,4.7258,4.7258,3200
STP,20070417,4.5368,4.5368,4.4234,4.4234,7800
STP,20070418,4.4360,4.8518,4.4360,4.8518,700
STP,20070419,5.2677,5.2677,4.7888,4.7888,3300
STP,20070420,5.1039,5.1039,4.6628,4.6754,3000
STP,20070423,4.4108,4.4738,4.3477,4.4738,5000
STP,20070424,4.5368,4.5368,4.5368,4.5368,1000
