<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
STT,20110708,16.0000,16.0000,16.0000,16.0000,10
STT,20110711,16.0000,16.0000,16.0000,16.0000,300
STT,20110712,16.0000,16.0000,16.0000,16.0000,0
STT,20110713,15.2000,15.2000,15.2000,15.2000,10
STT,20110714,14.5000,14.5000,14.5000,14.5000,10
STT,20110715,13.8000,13.8000,13.8000,13.8000,10
STT,20110718,13.2000,13.2000,13.2000,13.2000,2
STT,20110719,12.6000,12.6000,12.6000,12.6000,10
STT,20110720,12.0000,12.0000,12.0000,12.0000,10
STT,20110721,11.4000,11.4000,11.4000,11.4000,10
STT,20110722,10.9000,10.9000,10.9000,10.9000,380
STT,20110725,10.4000,10.4000,10.4000,10.4000,100
STT,20110726,9.9000,9.9000,9.9000,9.9000,100
STT,20110727,9.5000,9.5000,9.5000,9.5000,100
STT,20110728,9.1000,9.1000,9.1000,9.1000,450
STT,20110729,8.7000,8.7000,8.7000,8.7000,1000
STT,20110801,8.3000,8.3000,8.3000,8.3000,2000
STT,20110802,7.9000,7.9000,7.9000,7.9000,3200
STT,20110803,7.6000,7.6000,7.6000,7.6000,1840
STT,20110804,7.3000,7.3000,7.3000,7.3000,1410
STT,20110805,7.0000,7.0000,7.0000,7.0000,2700
STT,20110808,6.7000,6.7000,6.7000,6.7000,2400
STT,20110809,6.4000,6.4000,6.4000,6.4000,1450
STT,20110810,6.1000,6.1000,6.1000,6.1000,1310
STT,20110811,5.8000,5.8000,5.8000,5.8000,2300
STT,20110812,5.6000,6.0000,5.6000,5.6000,7810
STT,20110815,5.4000,5.4000,5.4000,5.4000,6700
STT,20110816,5.2000,5.6000,5.2000,5.2000,15800
STT,20110817,5.4000,5.4000,5.1000,5.1000,540
STT,20110818,5.0000,5.3000,4.9000,5.3000,56230
STT,20110819,5.2000,5.5000,5.1000,5.5000,48380
STT,20110822,5.7000,5.7000,5.6000,5.7000,33370
STT,20110823,5.7000,5.7000,5.5000,5.5000,32580
STT,20110824,5.4000,5.4000,5.3000,5.3000,33430
STT,20110825,5.4000,5.4000,5.1000,5.3000,15060
STT,20110826,5.1000,5.4000,5.1000,5.4000,3870
STT,20110829,5.4000,5.6000,5.2000,5.5000,20330
STT,20110830,5.5000,5.5000,5.5000,5.5000,7000
STT,20110831,5.3000,5.4000,5.3000,5.3000,40450
STT,20110901,5.2000,5.4000,5.2000,5.2000,60480
STT,20110905,5.3000,5.4000,5.2000,5.4000,104070
STT,20110906,5.6000,5.6000,5.4000,5.5000,46320
STT,20110907,5.5000,5.5000,5.3000,5.5000,83660
STT,20110908,5.5000,5.7000,5.5000,5.7000,280210
STT,20110909,5.9000,5.9000,5.9000,5.9000,164070
STT,20110912,6.1000,6.1000,6.1000,6.1000,111800
STT,20110913,6.4000,6.4000,6.4000,6.4000,51000
STT,20110914,6.7000,6.7000,6.5000,6.5000,265830
STT,20110915,6.2000,6.4000,6.2000,6.2000,128810
STT,20110916,6.4000,6.4000,5.9000,6.4000,149220
STT,20110919,6.2000,6.6000,6.2000,6.6000,71490
STT,20110920,6.6000,6.7000,6.3000,6.6000,158300
STT,20110921,6.6000,6.6000,6.3000,6.3000,60050
STT,20110922,6.4000,6.4000,6.2000,6.3000,31010
STT,20110923,6.0000,6.3000,6.0000,6.0000,66210
STT,20110926,6.2000,6.3000,5.7000,6.2000,21680
STT,20110927,6.2000,6.3000,6.0000,6.2000,32250
STT,20110928,6.0000,6.3000,6.0000,6.0000,13610
STT,20110929,5.7000,6.0000,5.7000,5.7000,27550
STT,20110930,5.8000,5.8000,5.6000,5.8000,23020
STT,20111003,5.7000,5.7000,5.6000,5.6000,73800
STT,20111004,5.6000,5.8000,5.4000,5.8000,47710
STT,20111005,5.9000,5.9000,5.7000,5.8000,6120
STT,20111006,5.9000,5.9000,5.6000,5.6000,47590
STT,20111007,5.7000,5.7000,5.5000,5.7000,27010
STT,20111010,5.9000,5.9000,5.8000,5.9000,88910
STT,20111011,6.1000,6.1000,6.0000,6.1000,123860
STT,20111012,6.0000,6.0000,5.8000,5.8000,118950
STT,20111013,5.7000,5.9000,5.6000,5.8000,37750
STT,20111014,5.9000,6.0000,5.9000,6.0000,21340
STT,20111017,5.9000,6.0000,5.7000,5.9000,17980
STT,20111018,5.7000,5.8000,5.7000,5.7000,32970
STT,20111019,5.8000,5.8000,5.5000,5.6000,21060
STT,20111020,5.8000,5.8000,5.6000,5.7000,17990
STT,20111021,5.7000,5.9000,5.7000,5.9000,22740
STT,20111024,6.0000,6.1000,5.7000,5.8000,27570
STT,20111025,5.8000,5.8000,5.6000,5.6000,28310
STT,20111026,5.6000,5.8000,5.6000,5.8000,2620
STT,20111027,5.6000,5.9000,5.6000,5.9000,27610
STT,20111028,5.9000,6.0000,5.9000,5.9000,51930
STT,20111031,5.9000,5.9000,5.7000,5.7000,33260
STT,20111101,5.6000,5.6000,5.5000,5.5000,42300
STT,20111102,5.6000,5.6000,5.3000,5.3000,35910
STT,20111103,5.5000,5.5000,5.2000,5.5000,16250
STT,20111104,5.6000,5.6000,5.3000,5.3000,59130
STT,20111107,5.2000,5.2000,5.1000,5.1000,61000
STT,20111108,5.3000,5.3000,4.9000,5.1000,26110
STT,20111109,5.2000,5.2000,5.1000,5.1000,700
STT,20111110,5.1000,5.1000,4.9000,4.9000,7920
STT,20111111,5.0000,5.0000,4.7000,4.7000,17880
STT,20111114,4.8000,4.8000,4.5000,4.5000,14590
STT,20111115,4.4000,4.7000,4.3000,4.7000,12960
STT,20111116,4.8000,4.8000,4.5000,4.7000,8200
STT,20111117,4.8000,4.8000,4.5000,4.7000,640
STT,20111118,4.8000,4.8000,4.7000,4.8000,25540
STT,20111121,4.8000,4.9000,4.7000,4.7000,6320
STT,20111122,4.8000,4.8000,4.7000,4.7000,1090
STT,20111123,4.6000,4.7000,4.5000,4.7000,8580
STT,20111124,4.5000,4.7000,4.5000,4.7000,3680
STT,20111125,4.7000,4.7000,4.5000,4.7000,4820
STT,20111128,4.7000,4.7000,4.5000,4.6000,11800
STT,20111129,4.4000,4.5000,4.4000,4.4000,14520
STT,20111130,4.5000,4.5000,4.2000,4.2000,4910
STT,20111201,4.2000,4.2000,4.0000,4.0000,45510
STT,20111202,4.0000,4.0000,3.8000,4.0000,31740
STT,20111205,4.0000,4.2000,3.9000,4.2000,74340
STT,20111206,4.2000,4.2000,4.0000,4.1000,46500
STT,20111207,3.9000,4.1000,3.9000,3.9000,21080
STT,20111208,3.8000,3.9000,3.8000,3.8000,21000
STT,20111209,3.9000,3.9000,3.8000,3.9000,86760
STT,20111212,4.0000,4.0000,4.0000,4.0000,32860
STT,20111213,4.0000,4.1000,4.0000,4.0000,19280
STT,20111214,4.0000,4.0000,3.9000,4.0000,14270
STT,20111215,3.9000,4.0000,3.8000,4.0000,73390
STT,20111216,4.0000,4.1000,4.0000,4.1000,53850
STT,20111219,4.0000,4.0000,3.9000,3.9000,15970
STT,20111220,3.9000,4.0000,3.8000,3.9000,7610
STT,20111221,4.0000,4.0000,3.8000,3.9000,26550
STT,20111222,3.9000,4.0000,3.8000,3.8000,4740
STT,20111223,3.7000,3.7000,3.7000,3.7000,8770
STT,20111226,3.6000,3.6000,3.6000,3.6000,12140
STT,20111227,3.5000,3.5000,3.5000,3.5000,3630
STT,20111228,3.4000,3.6000,3.4000,3.4000,16790
STT,20111229,3.5000,3.5000,3.3000,3.3000,10340
STT,20111230,3.3000,3.4000,3.3000,3.4000,16880
STT,20120103,3.5000,3.5000,3.5000,3.5000,30
STT,20120104,3.6000,3.6000,3.6000,3.6000,3730
STT,20120105,3.7000,3.7000,3.7000,3.7000,8400
STT,20120106,3.8000,3.8000,3.8000,3.8000,15140
STT,20120109,3.9000,3.9000,3.7000,3.9000,13570
STT,20120110,3.9000,4.0000,3.9000,3.9000,1270
STT,20120111,4.0000,4.0000,4.0000,4.0000,3610
STT,20120112,4.0000,4.0000,3.8000,3.9000,2350
STT,20120113,3.8000,3.8000,3.8000,3.8000,6540
STT,20120116,3.7000,3.9000,3.7000,3.9000,11380
STT,20120117,3.9000,4.0000,3.8000,3.8000,70
STT,20120118,3.9000,3.9000,3.8000,3.9000,3750
STT,20120119,4.0000,4.0000,3.9000,3.9000,12260
STT,20120120,4.0000,4.0000,3.9000,4.0000,13360
STT,20120130,4.0000,4.2000,4.0000,4.2000,7230
STT,20120131,4.4000,4.4000,4.2000,4.2000,16320
STT,20120201,4.0000,4.4000,4.0000,4.2000,6940
STT,20120202,4.1000,4.4000,4.0000,4.4000,55210
STT,20120203,4.4000,4.5000,4.2000,4.2000,28260
STT,20120206,4.2000,4.2000,4.0000,4.0000,30770
STT,20120207,4.1000,4.1000,3.9000,4.1000,5030
STT,20120208,4.1000,4.3000,4.1000,4.3000,7820
STT,20120209,4.3000,4.3000,4.1000,4.1000,5430
STT,20120210,4.2000,4.2000,4.0000,4.1000,19640
STT,20120213,4.0000,4.2000,4.0000,4.2000,35920
STT,20120214,4.3000,4.3000,4.0000,4.3000,109290
STT,20120215,4.5000,4.5000,4.3000,4.4000,87750
STT,20120216,4.4000,4.5000,4.3000,4.4000,54130
STT,20120217,4.2000,4.5000,4.2000,4.5000,105050
STT,20120220,4.5000,4.5000,4.3000,4.4000,77730
STT,20120221,4.3000,4.4000,4.2000,4.2000,70080
STT,20120222,4.4000,4.4000,4.1000,4.4000,169090
STT,20120223,4.6000,4.6000,4.4000,4.5000,78790
STT,20120224,4.5000,4.6000,4.5000,4.5000,20050
STT,20120227,4.5000,4.7000,4.5000,4.7000,91050
STT,20120228,4.9000,4.9000,4.7000,4.8000,120810
STT,20120229,4.7000,5.0000,4.7000,5.0000,116340
STT,20120301,5.1000,5.2000,4.9000,5.2000,74640
STT,20120302,5.2000,5.3000,5.1000,5.3000,96830
STT,20120305,5.5000,5.5000,5.4000,5.5000,91580
STT,20120306,5.7000,5.7000,5.4000,5.6000,66220
STT,20120307,5.5000,5.7000,5.4000,5.5000,154150
STT,20120308,5.4000,5.6000,5.3000,5.5000,150270
STT,20120309,5.5000,5.7000,5.5000,5.7000,85540
STT,20120312,5.7000,5.9000,5.7000,5.9000,90740
STT,20120313,5.8000,6.1000,5.8000,6.1000,41850
STT,20120314,6.1000,6.2000,6.1000,6.1000,44230
STT,20120315,5.8000,6.3000,5.8000,6.3000,207840
STT,20120316,6.6000,6.6000,6.3000,6.6000,81940
STT,20120319,6.7000,6.9000,6.3000,6.9000,122130
STT,20120320,7.0000,7.2000,6.6000,6.7000,139790
STT,20120321,6.4000,6.7000,6.4000,6.7000,165410
STT,20120322,6.4000,6.6000,6.4000,6.4000,70000
STT,20120323,6.1000,6.7000,6.1000,6.7000,318660
STT,20120326,6.4000,6.7000,6.4000,6.4000,217100
STT,20120327,6.2000,6.5000,6.2000,6.4000,94210
STT,20120328,6.7000,6.7000,6.4000,6.5000,69960
STT,20120329,6.4000,6.4000,6.2000,6.2000,112490
STT,20120330,5.9000,6.1000,5.9000,5.9000,38820
STT,20120403,6.0000,6.0000,5.7000,5.7000,37190
STT,20120404,5.9000,5.9000,5.9000,5.9000,27100
STT,20120405,5.9000,6.1000,5.7000,5.9000,5980
STT,20120406,6.0000,6.0000,5.9000,5.9000,6410
STT,20120409,6.0000,6.0000,5.8000,6.0000,22210
STT,20120410,5.8000,6.0000,5.7000,5.7000,29480
STT,20120411,5.7000,5.9000,5.7000,5.9000,10650
STT,20120412,5.9000,6.1000,5.9000,6.0000,16980
STT,20120413,6.1000,6.2000,6.0000,6.0000,38750
STT,20120416,6.0000,6.3000,6.0000,6.3000,59920
STT,20120417,6.3000,6.3000,6.2000,6.3000,7430
STT,20120418,6.0000,6.3000,6.0000,6.0000,13600
STT,20120419,6.1000,6.1000,5.7000,5.7000,26210
STT,20120420,5.9000,5.9000,5.9000,5.9000,17400
STT,20120423,6.1000,6.1000,5.8000,6.1000,8370
STT,20120424,5.8000,6.0000,5.8000,5.8000,21470
STT,20120425,6.0000,6.0000,5.9000,6.0000,64120
STT,20120426,6.3000,6.3000,5.7000,6.1000,18980
STT,20120427,6.2000,6.2000,6.0000,6.2000,16110
STT,20120502,6.0000,6.4000,6.0000,6.2000,18870
STT,20120503,6.2000,6.2000,5.9000,5.9000,16520
STT,20120504,5.8000,6.0000,5.8000,5.9000,22640
STT,20120507,6.0000,6.1000,6.0000,6.1000,50460
STT,20120508,6.1000,6.2000,6.1000,6.1000,38780
STT,20120509,5.9000,6.3000,5.9000,6.3000,61590
STT,20120510,6.5000,6.5000,6.2000,6.2000,116670
STT,20120511,6.3000,6.4000,5.9000,5.9000,35940
STT,20120514,5.9000,6.1000,5.9000,5.9000,49380
STT,20120515,5.8000,5.9000,5.7000,5.7000,43420
STT,20120516,5.5000,5.8000,5.5000,5.5000,29800
STT,20120517,5.6000,5.7000,5.3000,5.6000,27510
STT,20120518,5.5000,5.8000,5.4000,5.5000,93150
STT,20120521,5.6000,5.6000,5.3000,5.6000,21460
STT,20120522,5.6000,5.6000,5.4000,5.4000,37360
STT,20120523,5.2000,5.2000,5.2000,5.2000,24740
STT,20120524,5.0000,5.1000,5.0000,5.0000,35920
STT,20120525,5.2000,5.2000,5.1000,5.1000,6030
STT,20120528,5.3000,5.3000,4.9000,4.9000,45520
STT,20120529,5.0000,5.0000,4.7000,5.0000,20450
STT,20120530,4.8000,4.9000,4.8000,4.8000,11240
STT,20120531,4.6000,4.8000,4.6000,4.8000,33210
STT,20120601,4.9000,4.9000,4.7000,4.9000,1040
STT,20120604,4.9000,4.9000,4.7000,4.9000,18420
STT,20120605,4.8000,4.8000,4.7000,4.8000,5970
STT,20120606,4.9000,4.9000,4.6000,4.9000,810
STT,20120607,4.9000,5.1000,4.7000,5.0000,29580
STT,20120608,5.0000,5.2000,4.9000,5.1000,29360
STT,20120611,5.1000,5.2000,5.1000,5.1000,460
STT,20120612,5.0000,5.1000,5.0000,5.1000,6050
STT,20120613,5.1000,5.1000,5.1000,5.1000,0
STT,20120614,4.9000,5.1000,4.9000,4.9000,9530
STT,20120615,5.1000,5.1000,4.9000,5.1000,20260
STT,20120618,5.1000,5.2000,4.9000,5.2000,5120
STT,20120619,5.0000,5.2000,5.0000,5.0000,550
STT,20120620,5.2000,5.2000,4.9000,5.1000,20420
STT,20120621,5.0000,5.1000,5.0000,5.1000,2460
STT,20120622,4.9000,5.1000,4.9000,5.0000,1370
STT,20120625,5.0000,5.0000,4.8000,5.0000,440
STT,20120626,4.8000,5.0000,4.8000,5.0000,4400
STT,20120627,5.0000,5.0000,4.9000,5.0000,580
STT,20120628,4.9000,4.9000,4.8000,4.8000,12000
STT,20120629,4.8000,5.0000,4.8000,5.0000,710
