<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SVN,20110726,12.5000,12.7000,12.5000,12.7000,44200
SVN,20110727,13.0000,13.0000,12.8000,12.8000,32800
SVN,20110728,13.4000,13.5000,13.3000,13.5000,33600
SVN,20110729,14.0000,14.0000,13.9000,13.9000,32500
SVN,20110801,14.1000,14.4000,14.1000,14.1000,31500
SVN,20110802,14.8000,15.0000,14.8000,15.0000,12200
SVN,20110803,15.3000,15.8000,15.2000,15.8000,25500
SVN,20110804,15.9000,16.4000,15.8000,16.4000,15700
SVN,20110805,16.4000,17.0000,16.4000,17.0000,17300
SVN,20110808,17.5000,17.5000,17.5000,17.5000,5800
SVN,20110809,18.7000,18.7000,17.5000,18.4000,17900
SVN,20110810,19.2000,19.2000,19.0000,19.2000,14200
SVN,20110811,19.3000,19.5000,18.7000,19.0000,17600
SVN,20110812,19.1000,19.7000,19.1000,19.7000,22800
SVN,20110815,19.5000,19.9000,19.5000,19.9000,5600
SVN,20110816,20.2000,20.2000,19.7000,20.2000,19500
SVN,20110817,20.4000,21.3000,20.2000,21.3000,15400
SVN,20110818,21.8000,21.8000,20.5000,21.5000,66600
SVN,20110819,20.4000,20.4000,20.0000,20.0000,16000
SVN,20110822,18.7000,21.3000,18.7000,21.1000,16400
SVN,20110823,20.6000,20.8000,19.2000,19.2000,14200
SVN,20110824,20.4000,20.4000,19.0000,19.0000,15400
SVN,20110825,20.2000,20.2000,19.0000,19.0000,11500
SVN,20110826,18.6000,21.3000,18.6000,20.0000,66000
SVN,20110829,21.1000,21.2000,19.8000,19.8000,27500
SVN,20110830,19.9000,20.0000,19.8000,19.8000,32000
SVN,20110831,21.0000,21.0000,18.7000,18.7000,52500
SVN,20110901,21.2000,21.2000,19.3000,19.3000,72000
SVN,20110905,20.4000,20.4000,19.1000,19.1000,48000
SVN,20110906,20.0000,20.0000,20.0000,20.0000,73500
SVN,20110907,20.0000,21.2000,19.9000,20.1000,75600
SVN,20110908,20.8000,20.9000,20.7000,20.7000,93000
SVN,20110909,20.9000,20.9000,20.5000,20.6000,51100
SVN,20110912,20.8000,20.8000,19.4000,20.2000,49800
SVN,20110913,20.2000,21.3000,20.0000,21.0000,46700
SVN,20110914,21.5000,21.5000,20.2000,20.4000,48800
SVN,20110915,20.3000,20.7000,20.3000,20.4000,41200
SVN,20110916,20.0000,20.2000,18.9000,20.2000,41700
SVN,20110919,20.8000,21.0000,19.0000,20.0000,24300
SVN,20110920,20.0000,21.5000,20.0000,20.2000,55500
