<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TA9,20150731,7.1445,7.1445,7.1445,7.1445,14800
TA9,20150803,7.8385,7.8385,7.8385,7.8385,11400
TA9,20150804,8.6142,8.6142,8.6142,8.6142,1500
TA9,20150805,9.3899,9.3899,8.9816,9.3899,3900
TA9,20150806,8.4509,8.4509,8.4509,8.4509,1800
TA9,20150807,8.9408,8.9816,8.9408,8.9816,700
TA9,20150810,8.5734,8.5734,8.5734,8.5734,400
TA9,20150811,8.9816,8.9816,8.9816,8.9816,1000
TA9,20150812,9.8798,9.8798,9.8798,9.8798,100
TA9,20150813,9.8798,9.8798,9.8798,9.8798,0
TA9,20150814,10.8188,10.8188,10.8188,10.8188,200
TA9,20150817,10.8188,10.8188,10.8188,10.8188,0
TA9,20150818,9.7573,9.7573,9.7573,9.7573,100
TA9,20150819,9.7573,9.7573,9.7573,9.7573,0
TA9,20150820,9.7573,9.7573,9.7573,9.7573,0
TA9,20150821,8.8183,8.8183,8.8183,8.8183,100
TA9,20150824,8.8183,8.8183,8.8183,8.8183,0
TA9,20150825,8.8183,8.8183,8.8183,8.8183,0
TA9,20150826,8.8183,8.8183,8.8183,8.8183,0
TA9,20150827,8.8183,8.8183,8.8183,8.8183,0
TA9,20150828,8.8183,8.8183,8.8183,8.8183,0
TA9,20150831,8.8183,8.8183,8.8183,8.8183,0
TA9,20150901,8.8183,8.8183,8.8183,8.8183,0
TA9,20150903,8.8183,8.8183,8.8183,8.8183,0
TA9,20150904,8.8183,8.8183,8.8183,8.8183,0
TA9,20150907,8.8183,8.8183,8.8183,8.8183,0
TA9,20150908,8.8183,8.8183,8.8183,8.8183,0
TA9,20150909,8.8183,8.8183,8.8183,8.8183,0
TA9,20150910,7.9610,7.9610,7.9610,7.9610,100
TA9,20150911,7.3486,8.7367,7.3078,8.7367,700
TA9,20150914,8.7367,8.7367,8.7367,8.7367,0
TA9,20150915,7.9202,7.9202,7.9202,7.9202,100
TA9,20150916,7.3486,7.3486,7.3486,7.3486,200
TA9,20150917,8.0835,8.0835,8.0835,8.0835,7600
TA9,20150918,8.0835,8.0835,7.3078,7.3078,3640
TA9,20150921,6.6138,7.1445,6.6138,7.1445,4100
TA9,20150922,7.1445,7.1445,7.1445,7.1445,0
TA9,20150923,7.1445,7.1445,7.1445,7.1445,0
TA9,20150924,6.6546,6.6546,6.6546,6.6546,1500
TA9,20150925,6.9404,6.9404,6.9404,6.9404,100
TA9,20150928,6.4505,7.5527,6.4096,7.5527,400
TA9,20150929,6.8587,7.0220,6.8179,7.0220,3400
TA9,20150930,7.2670,7.2670,7.2670,7.2670,100
TA9,20151001,6.8995,6.8995,6.8587,6.8995,16100
TA9,20151002,6.8587,6.8587,6.8587,6.8587,1500
TA9,20151005,6.7771,6.8587,6.7771,6.8587,2000
TA9,20151006,7.1445,7.1445,7.1445,7.1445,100
TA9,20151007,7.1445,7.1445,7.1445,7.1445,0
TA9,20151008,6.6546,7.0220,6.6546,6.7362,7700
TA9,20151009,6.8995,7.3486,6.8995,7.3486,20100
TA9,20151012,6.8995,6.9812,6.8995,6.9812,2200
TA9,20151013,6.9812,7.0628,6.9812,7.0628,4800
TA9,20151014,6.9812,7.0220,6.9404,7.0220,7000
TA9,20151015,7.0220,7.0220,6.9404,6.9404,1100
TA9,20151016,6.9404,6.9404,6.8587,6.8587,1000
TA9,20151019,6.8587,6.8587,6.8587,6.8587,600
TA9,20151020,7.0220,7.1853,7.0220,7.1445,26200
TA9,20151021,7.1445,7.1853,7.1445,7.1853,6400
TA9,20151022,7.1853,7.1853,7.1853,7.1853,500
TA9,20151023,7.3486,7.7569,7.3486,7.7569,2200
TA9,20151026,7.7569,8.1243,7.7569,8.1243,500
TA9,20151027,8.1243,8.1243,8.1243,8.1243,0
TA9,20151028,8.0835,8.6959,8.0835,8.6959,4700
TA9,20151029,8.6959,8.9816,8.6959,8.9816,3400
TA9,20151030,8.9816,8.9816,8.9816,8.9816,0
TA9,20151102,8.9816,8.9816,8.9816,8.9816,0
TA9,20151103,8.9816,8.9816,8.9816,8.9816,0
TA9,20151104,8.9816,8.9816,8.9816,8.9816,0
TA9,20151105,8.9816,8.9816,8.9816,8.9816,0
TA9,20151106,8.9816,8.9816,8.9816,8.9816,0
TA9,20151109,8.9816,8.9816,8.9816,8.9816,0
TA9,20151110,8.9816,8.9816,8.9816,8.9816,0
TA9,20151111,8.1651,8.1651,8.0835,8.0835,13600
TA9,20151112,7.3486,8.1651,7.3078,8.1651,30000
TA9,20151113,8.1651,8.1651,8.1651,8.1651,0
TA9,20151116,7.3486,8.1243,7.3486,8.1243,3500
TA9,20151117,7.4303,7.4303,7.4303,7.4303,13500
TA9,20151118,7.4711,7.7569,7.3486,7.5119,12400
TA9,20151119,7.5527,7.5936,7.5119,7.5527,3600
TA9,20151120,7.5936,7.9610,7.5936,7.9610,1200
TA9,20151123,7.9610,7.9610,7.7569,7.7569,3000
TA9,20151124,7.7160,8.3693,7.6344,8.3693,4900
TA9,20151125,8.0835,8.1651,7.7569,8.1651,3100
TA9,20151126,7.8385,8.2876,7.8385,8.2876,800
TA9,20151127,8.0018,8.0427,8.0018,8.0018,9300
TA9,20151130,8.0018,8.0018,7.8385,7.8385,20400
TA9,20151201,7.8385,7.8385,7.8385,7.8385,600
TA9,20151202,7.8385,7.8385,7.8385,7.8385,0
TA9,20151203,7.9202,7.9202,7.8385,7.8385,10000
TA9,20151204,7.8385,7.8385,7.8385,7.8385,1000
TA9,20151207,7.8385,7.8385,7.8385,7.8385,0
TA9,20151208,7.7977,7.8385,7.7977,7.7977,700
TA9,20151209,7.8385,7.8385,7.7569,7.7569,1400
TA9,20151210,7.6752,7.6752,7.6344,7.6344,300
