<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TAP,20160907,12.0000,12.0000,12.0000,12.0000,0
TAP,20160908,12.0000,12.0000,12.0000,12.0000,0
TAP,20160909,12.0000,12.0000,12.0000,12.0000,0
TAP,20160912,12.0000,12.0000,12.0000,12.0000,0
TAP,20160913,12.0000,12.0000,12.0000,12.0000,0
TAP,20160914,12.0000,12.0000,12.0000,12.0000,0
TAP,20160915,12.0000,12.0000,12.0000,12.0000,0
TAP,20160916,12.0000,12.0000,12.0000,12.0000,0
TAP,20160919,12.0000,12.0000,12.0000,12.0000,0
TAP,20160920,12.0000,12.0000,12.0000,12.0000,0
TAP,20160921,12.0000,12.0000,12.0000,12.0000,0
TAP,20160922,12.0000,12.0000,12.0000,12.0000,0
TAP,20160923,12.0000,12.0000,12.0000,12.0000,0
TAP,20160926,12.0000,12.0000,12.0000,12.0000,0
TAP,20160927,12.0000,12.0000,12.0000,12.0000,0
TAP,20160928,12.0000,12.0000,12.0000,12.0000,0
TAP,20160929,12.0000,12.0000,12.0000,12.0000,0
TAP,20160930,12.0000,12.0000,12.0000,12.0000,0
TAP,20161003,12.0000,12.0000,12.0000,12.0000,0
TAP,20161004,12.0000,12.0000,12.0000,12.0000,0
TAP,20161005,12.0000,12.0000,12.0000,12.0000,0
TAP,20161006,12.0000,12.0000,12.0000,12.0000,0
TAP,20161007,12.0000,12.0000,12.0000,12.0000,0
TAP,20161010,12.0000,12.0000,12.0000,12.0000,0
TAP,20161011,12.0000,12.0000,12.0000,12.0000,0
TAP,20161012,12.0000,12.0000,12.0000,12.0000,0
TAP,20161013,12.0000,12.0000,12.0000,12.0000,0
TAP,20161014,12.0000,12.0000,12.0000,12.0000,0
TAP,20161017,12.0000,12.0000,12.0000,12.0000,0
TAP,20161018,12.0000,12.0000,12.0000,12.0000,0
TAP,20161019,12.0000,12.0000,12.0000,12.0000,0
TAP,20161020,12.0000,12.0000,12.0000,12.0000,0
TAP,20161021,12.0000,12.0000,12.0000,12.0000,0
TAP,20161024,12.0000,12.0000,12.0000,12.0000,0
TAP,20161025,12.0000,12.0000,12.0000,12.0000,0
TAP,20161026,12.0000,12.0000,12.0000,12.0000,0
TAP,20161027,12.0000,12.0000,12.0000,12.0000,0
TAP,20161028,12.0000,12.0000,12.0000,12.0000,0
TAP,20161031,12.0000,12.0000,12.0000,12.0000,0
TAP,20161101,12.0000,12.0000,12.0000,12.0000,0
TAP,20161102,12.0000,12.0000,12.0000,12.0000,0
TAP,20161103,12.0000,12.0000,12.0000,12.0000,0
TAP,20161104,12.0000,12.0000,12.0000,12.0000,0
TAP,20161107,12.0000,12.0000,12.0000,12.0000,0
TAP,20161108,12.0000,12.0000,12.0000,12.0000,0
