<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TAW,20160729,10.1198,10.1198,10.1198,10.1198,0
TAW,20160801,10.1198,10.1198,10.1198,10.1198,0
TAW,20160802,10.1198,10.1198,10.1198,10.1198,0
TAW,20160803,10.1198,10.1198,10.1198,10.1198,0
TAW,20160804,10.1198,10.1198,10.1198,10.1198,0
TAW,20160805,10.1198,10.1198,10.1198,10.1198,0
TAW,20160808,10.1198,10.1198,10.1198,10.1198,0
TAW,20160809,10.1198,10.1198,10.1198,10.1198,0
TAW,20160810,10.1198,10.1198,10.1198,10.1198,0
TAW,20160811,10.1198,10.1198,10.1198,10.1198,0
TAW,20160812,10.1198,10.1198,10.1198,10.1198,0
TAW,20160815,10.1198,10.1198,10.1198,10.1198,0
TAW,20160816,10.1198,10.1198,10.1198,10.1198,0
TAW,20160817,10.1198,10.1198,10.1198,10.1198,0
TAW,20160818,10.1198,10.1198,10.1198,10.1198,0
TAW,20160819,10.1198,10.1198,10.1198,10.1198,0
TAW,20160822,10.1198,10.1198,10.1198,10.1198,0
TAW,20160823,10.1198,10.1198,10.1198,10.1198,0
TAW,20160824,10.1198,10.1198,10.1198,10.1198,0
TAW,20160825,10.1198,10.1198,10.1198,10.1198,0
TAW,20160826,10.1198,10.1198,10.1198,10.1198,0
TAW,20160829,10.1198,10.1198,10.1198,10.1198,0
TAW,20160830,10.1198,10.1198,10.1198,10.1198,0
TAW,20160831,10.1198,10.1198,10.1198,10.1198,0
TAW,20160901,10.1198,10.1198,10.1198,10.1198,0
TAW,20160905,10.1198,10.1198,10.1198,10.1198,0
TAW,20160906,10.1198,10.1198,10.1198,10.1198,0
TAW,20160907,10.1198,10.1198,10.1198,10.1198,0
TAW,20160908,10.1198,10.1198,10.1198,10.1198,0
TAW,20160909,10.1198,10.1198,10.1198,10.1198,0
TAW,20160912,10.1198,10.1198,10.1198,10.1198,0
TAW,20160913,10.1198,10.1198,10.1198,10.1198,0
TAW,20160914,10.1198,10.1198,10.1198,10.1198,0
TAW,20160915,10.1198,10.1198,10.1198,10.1198,0
TAW,20160916,10.1198,10.1198,10.1198,10.1198,0
TAW,20160919,10.1198,10.1198,10.1198,10.1198,0
TAW,20160920,10.1198,10.1198,10.1198,10.1198,0
TAW,20160921,10.1198,10.1198,10.1198,10.1198,0
TAW,20160922,10.1198,10.1198,10.1198,10.1198,0
TAW,20160923,10.1198,10.1198,10.1198,10.1198,0
TAW,20160926,10.1198,10.1198,10.1198,10.1198,0
TAW,20160927,10.1198,10.1198,10.1198,10.1198,0
TAW,20160928,10.1198,10.1198,10.1198,10.1198,0
TAW,20160929,10.1198,10.1198,10.1198,10.1198,0
TAW,20160930,10.1198,10.1198,10.1198,10.1198,0
TAW,20161003,10.1198,10.1198,10.1198,10.1198,0
TAW,20161004,10.1198,10.1198,10.1198,10.1198,0
TAW,20161005,10.1198,10.1198,10.1198,10.1198,0
TAW,20161006,10.1198,10.1198,10.1198,10.1198,0
TAW,20161007,10.1198,10.1198,10.1198,10.1198,0
TAW,20161010,10.1198,10.1198,10.1198,10.1198,0
TAW,20161011,10.1198,10.1198,10.1198,10.1198,0
TAW,20161012,10.1198,10.1198,10.1198,10.1198,0
TAW,20161013,10.1198,10.1198,10.1198,10.1198,0
TAW,20161014,10.1198,10.1198,10.1198,10.1198,0
TAW,20161017,10.1198,10.1198,10.1198,10.1198,0
TAW,20161018,10.1198,10.1198,10.1198,10.1198,0
TAW,20161019,10.1198,10.1198,10.1198,10.1198,0
