<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TBN,20170921,9.9702,9.9702,9.9702,9.9702,0
TBN,20170922,9.9702,9.9702,9.9702,9.9702,0
TBN,20170925,9.9702,9.9702,9.9702,9.9702,0
TBN,20170926,9.9702,9.9702,9.9702,9.9702,0
TBN,20170927,9.9702,9.9702,9.9702,9.9702,0
TBN,20170928,9.9702,9.9702,9.9702,9.9702,0
TBN,20170929,9.9702,9.9702,9.9702,9.9702,0
TBN,20171002,9.9702,9.9702,9.9702,9.9702,0
TBN,20171003,9.9702,9.9702,9.9702,9.9702,0
TBN,20171004,9.9702,9.9702,9.9702,9.9702,0
TBN,20171005,9.9702,9.9702,9.9702,9.9702,0
TBN,20171006,9.9702,9.9702,9.9702,9.9702,0
TBN,20171009,9.9702,9.9702,9.9702,9.9702,0
TBN,20171010,9.9702,9.9702,9.9702,9.9702,0
TBN,20171011,9.9702,9.9702,9.9702,9.9702,0
TBN,20171012,9.9702,9.9702,9.9702,9.9702,0
TBN,20171013,9.9702,9.9702,9.9702,9.9702,0
TBN,20171016,9.9702,9.9702,9.9702,9.9702,0
TBN,20171017,9.9702,9.9702,9.9702,9.9702,0
TBN,20171018,9.9702,9.9702,9.9702,9.9702,0
TBN,20171019,9.9702,9.9702,9.9702,9.9702,0
TBN,20171020,9.9702,9.9702,9.9702,9.9702,0
TBN,20171023,9.9702,9.9702,9.9702,9.9702,0
TBN,20171024,9.9702,9.9702,9.9702,9.9702,0
TBN,20171025,9.9702,9.9702,9.9702,9.9702,0
TBN,20171026,9.9702,9.9702,9.9702,9.9702,0
TBN,20171027,9.9702,9.9702,9.9702,9.9702,0
TBN,20171030,9.9702,9.9702,9.9702,9.9702,0
TBN,20171031,9.9702,9.9702,9.9702,9.9702,0
TBN,20171101,9.9702,9.9702,9.9702,9.9702,0
TBN,20171102,9.9702,9.9702,9.9702,9.9702,0
TBN,20171103,9.9702,9.9702,9.9702,9.9702,0
TBN,20171106,9.9702,9.9702,9.9702,9.9702,0
TBN,20171107,9.9702,9.9702,9.9702,9.9702,0
TBN,20171108,9.9702,9.9702,9.9702,9.9702,0
TBN,20171109,9.9702,9.9702,9.9702,9.9702,0
TBN,20171110,9.9702,9.9702,9.9702,9.9702,0
TBN,20171113,9.9702,9.9702,9.9702,9.9702,0
TBN,20171114,9.9702,9.9702,9.9702,9.9702,0
TBN,20171115,9.9702,9.9702,9.9702,9.9702,0
TBN,20171116,9.9702,9.9702,9.9702,9.9702,0
TBN,20171117,9.9702,9.9702,9.9702,9.9702,0
TBN,20171120,9.9702,9.9702,9.9702,9.9702,0
TBN,20171121,9.9702,9.9702,9.9702,9.9702,0
TBN,20171122,9.9702,9.9702,9.9702,9.9702,0
TBN,20171123,9.9702,9.9702,9.9702,9.9702,0
TBN,20171124,9.9702,9.9702,9.9702,9.9702,0
TBN,20171127,9.9702,9.9702,9.9702,9.9702,0
TBN,20171128,9.9702,9.9702,9.9702,9.9702,0
TBN,20171129,9.9702,9.9702,9.9702,9.9702,0
TBN,20171130,9.9702,9.9702,9.9702,9.9702,0
TBN,20171201,9.9702,9.9702,9.9702,9.9702,0
TBN,20171204,9.9702,9.9702,9.9702,9.9702,0
TBN,20171205,9.9702,9.9702,9.9702,9.9702,0
TBN,20171206,9.9702,9.9702,9.9702,9.9702,0
TBN,20171207,9.9702,9.9702,9.9702,9.9702,0
TBN,20171208,9.9702,9.9702,9.9702,9.9702,0
TBN,20171211,9.9702,9.9702,9.9702,9.9702,0
TBN,20171212,9.9702,9.9702,9.9702,9.9702,0
TBN,20171213,9.9702,9.9702,9.9702,9.9702,0
TBN,20171214,9.9702,9.9702,9.9702,9.9702,0
TBN,20171215,9.9702,9.9702,9.9702,9.9702,0
TBN,20171218,9.9702,9.9702,9.9702,9.9702,0
TBN,20171219,9.9702,9.9702,9.9702,9.9702,0
TBN,20171220,9.9702,9.9702,9.9702,9.9702,0
TBN,20171221,9.9702,9.9702,9.9702,9.9702,0
TBN,20171222,9.9702,9.9702,9.9702,9.9702,0
TBN,20171225,9.9702,9.9702,9.9702,9.9702,0
TBN,20171226,9.9702,9.9702,9.9702,9.9702,0
TBN,20171227,9.9702,9.9702,9.9702,9.9702,0
TBN,20171228,9.9702,9.9702,9.9702,9.9702,0
TBN,20171229,9.9702,9.9702,9.9702,9.9702,0
TBN,20180102,9.9702,9.9702,9.9702,9.9702,0
TBN,20180103,9.9702,9.9702,9.9702,9.9702,0
TBN,20180104,9.9702,9.9702,9.9702,9.9702,0
TBN,20180105,9.9702,9.9702,9.9702,9.9702,0
TBN,20180108,9.9702,9.9702,9.9702,9.9702,0
TBN,20180109,9.9702,9.9702,9.9702,9.9702,0
TBN,20180110,9.9702,9.9702,9.9702,9.9702,0
TBN,20180111,9.9702,9.9702,9.9702,9.9702,0
TBN,20180112,9.9702,9.9702,9.9702,9.9702,0
TBN,20180115,9.9702,9.9702,9.9702,9.9702,0
TBN,20180116,9.9702,9.9702,9.9702,9.9702,0
TBN,20180117,9.9702,9.9702,9.9702,9.9702,0
TBN,20180118,9.9702,9.9702,9.9702,9.9702,0
TBN,20180119,9.9702,9.9702,9.9702,9.9702,0
TBN,20180122,9.9702,9.9702,9.9702,9.9702,0
TBN,20180123,9.9702,9.9702,9.9702,9.9702,0
TBN,20180124,9.9702,9.9702,9.9702,9.9702,0
TBN,20180125,9.9702,9.9702,9.9702,9.9702,0
TBN,20180126,9.9702,9.9702,9.9702,9.9702,0
TBN,20180129,9.9702,9.9702,9.9702,9.9702,0
TBN,20180130,9.9702,9.9702,9.9702,9.9702,0
TBN,20180131,9.9702,9.9702,9.9702,9.9702,0
TBN,20180201,9.9702,9.9702,9.9702,9.9702,0
TBN,20180202,9.9702,9.9702,9.9702,9.9702,0
TBN,20180205,9.9702,9.9702,9.9702,9.9702,0
TBN,20180206,9.9702,9.9702,9.9702,9.9702,0
TBN,20180207,9.9702,9.9702,9.9702,9.9702,0
TBN,20180208,9.9702,9.9702,9.9702,9.9702,0
TBN,20180209,9.9702,9.9702,9.9702,9.9702,0
TBN,20180212,9.9702,9.9702,9.9702,9.9702,0
TBN,20180213,9.9702,9.9702,9.9702,9.9702,0
TBN,20180221,9.9702,9.9702,9.9702,9.9702,0
TBN,20180222,9.9702,9.9702,9.9702,9.9702,0
TBN,20180223,9.9702,9.9702,9.9702,9.9702,0
TBN,20180226,9.9702,9.9702,9.9702,9.9702,0
TBN,20180227,9.9702,9.9702,9.9702,9.9702,0
TBN,20180228,9.9702,9.9702,9.9702,9.9702,0
TBN,20180301,9.9702,9.9702,9.9702,9.9702,0
TBN,20180302,9.9702,9.9702,9.9702,9.9702,0
TBN,20180305,9.9702,9.9702,9.9702,9.9702,0
TBN,20180306,9.9702,9.9702,9.9702,9.9702,0
TBN,20180307,9.9702,9.9702,9.9702,9.9702,0
TBN,20180308,9.9702,9.9702,9.9702,9.9702,0
TBN,20180309,9.9702,9.9702,9.9702,9.9702,0
TBN,20180312,9.9702,9.9702,9.9702,9.9702,0
TBN,20180313,9.9702,9.9702,9.9702,9.9702,0
TBN,20180314,9.9702,9.9702,9.9702,9.9702,0
TBN,20180315,9.9702,9.9702,9.9702,9.9702,0
TBN,20180316,9.9702,9.9702,9.9702,9.9702,0
TBN,20180319,9.9702,9.9702,9.9702,9.9702,0
TBN,20180320,9.9702,9.9702,9.9702,9.9702,0
TBN,20180321,9.9702,9.9702,9.9702,9.9702,0
TBN,20180322,9.9702,9.9702,9.9702,9.9702,0
TBN,20180323,9.9702,9.9702,9.9702,9.9702,0
TBN,20180326,9.9702,9.9702,9.9702,9.9702,0
TBN,20180327,9.9702,9.9702,9.9702,9.9702,0
TBN,20180328,9.9702,9.9702,9.9702,9.9702,0
TBN,20180329,9.9702,9.9702,9.9702,9.9702,0
TBN,20180330,9.9702,9.9702,9.9702,9.9702,0
TBN,20180402,9.9702,9.9702,9.9702,9.9702,0
TBN,20180403,9.9702,9.9702,9.9702,9.9702,0
TBN,20180404,9.9702,9.9702,9.9702,9.9702,0
TBN,20180405,9.9702,9.9702,9.9702,9.9702,0
TBN,20180406,9.9702,9.9702,9.9702,9.9702,0
TBN,20180409,9.9702,9.9702,9.9702,9.9702,0
TBN,20180410,9.9702,9.9702,9.9702,9.9702,0
TBN,20180411,9.9702,9.9702,9.9702,9.9702,0
TBN,20180412,9.9702,9.9702,9.9702,9.9702,0
TBN,20180413,9.9702,9.9702,9.9702,9.9702,0
TBN,20180416,9.9702,9.9702,9.9702,9.9702,0
TBN,20180417,9.9702,9.9702,9.9702,9.9702,0
TBN,20180418,9.9702,9.9702,9.9702,9.9702,0
TBN,20180419,9.9702,9.9702,9.9702,9.9702,0
TBN,20180420,9.9702,9.9702,9.9702,9.9702,0
TBN,20180423,9.9702,9.9702,9.9702,9.9702,0
TBN,20180424,9.9702,9.9702,9.9702,9.9702,0
TBN,20180426,9.9702,9.9702,9.9702,9.9702,0
TBN,20180427,9.9702,9.9702,9.9702,9.9702,0
TBN,20180502,9.9702,9.9702,9.9702,9.9702,0
TBN,20180503,9.9702,9.9702,9.9702,9.9702,0
TBN,20180504,9.9702,9.9702,9.9702,9.9702,0
TBN,20180507,9.9702,9.9702,9.9702,9.9702,0
TBN,20180508,9.9702,9.9702,9.9702,9.9702,0
TBN,20180509,9.9702,9.9702,9.9702,9.9702,0
TBN,20180510,9.9702,9.9702,9.9702,9.9702,0
TBN,20180511,9.9702,9.9702,9.9702,9.9702,0
TBN,20180514,9.9702,9.9702,9.9702,9.9702,0
TBN,20180515,9.9702,9.9702,9.9702,9.9702,0
TBN,20180516,9.9702,9.9702,9.9702,9.9702,0
TBN,20180517,9.9702,9.9702,9.9702,9.9702,0
TBN,20180518,10.0000,10.0000,10.0000,10.0000,0
TBN,20180521,10.0000,10.0000,10.0000,10.0000,0
TBN,20180522,10.0000,10.0000,10.0000,10.0000,0
TBN,20180523,10.0000,10.0000,10.0000,10.0000,0
TBN,20180524,10.0000,10.0000,10.0000,10.0000,0
TBN,20180525,10.0000,10.0000,10.0000,10.0000,0
TBN,20180528,10.0000,10.0000,10.0000,10.0000,0
TBN,20180529,10.0000,10.0000,10.0000,10.0000,0
TBN,20180530,10.0000,10.0000,10.0000,10.0000,0
TBN,20180531,10.0000,10.0000,10.0000,10.0000,0
TBN,20180601,10.0000,10.0000,10.0000,10.0000,0
TBN,20180604,10.0000,10.0000,10.0000,10.0000,0
TBN,20180605,10.0000,10.0000,10.0000,10.0000,0
TBN,20180606,10.0000,10.0000,10.0000,10.0000,0
TBN,20180607,10.0000,10.0000,10.0000,10.0000,0
TBN,20180608,10.0000,10.0000,10.0000,10.0000,0
TBN,20180611,10.0000,10.0000,10.0000,10.0000,0
TBN,20180612,10.0000,10.0000,10.0000,10.0000,0
TBN,20180613,10.0000,10.0000,10.0000,10.0000,0
TBN,20180614,10.0000,10.0000,10.0000,10.0000,0
TBN,20180615,10.0000,10.0000,10.0000,10.0000,0
TBN,20180618,10.0000,10.0000,10.0000,10.0000,0
TBN,20180619,10.0000,10.0000,10.0000,10.0000,0
TBN,20180620,10.0000,10.0000,10.0000,10.0000,0
TBN,20180621,10.0000,10.0000,10.0000,10.0000,0
TBN,20180622,10.0000,10.0000,10.0000,10.0000,0
TBN,20180625,10.0000,10.0000,10.0000,10.0000,0
TBN,20180626,10.0000,10.0000,10.0000,10.0000,0
TBN,20180627,10.0000,10.0000,10.0000,10.0000,0
TBN,20180628,10.0000,10.0000,10.0000,10.0000,0
TBN,20180629,10.0000,10.0000,10.0000,10.0000,0
TBN,20180702,10.0000,10.0000,10.0000,10.0000,0
TBN,20180703,10.0000,10.0000,10.0000,10.0000,0
TBN,20180704,10.0000,10.0000,10.0000,10.0000,0
TBN,20180705,10.0000,10.0000,10.0000,10.0000,0
TBN,20180706,10.0000,10.0000,10.0000,10.0000,0
TBN,20180709,10.0000,10.0000,10.0000,10.0000,0
TBN,20180710,10.0000,10.0000,10.0000,10.0000,0
TBN,20180711,10.0000,10.0000,10.0000,10.0000,0
TBN,20180712,10.0000,10.0000,10.0000,10.0000,0
TBN,20180713,10.0000,10.0000,10.0000,10.0000,0
TBN,20180716,10.0000,10.0000,10.0000,10.0000,0
TBN,20180717,10.0000,10.0000,10.0000,10.0000,0
TBN,20180718,10.0000,10.0000,10.0000,10.0000,0
TBN,20180719,10.0000,10.0000,10.0000,10.0000,0
TBN,20180720,10.0000,10.0000,10.0000,10.0000,0
TBN,20180723,10.0000,10.0000,10.0000,10.0000,0
TBN,20180724,10.0000,10.0000,10.0000,10.0000,0
TBN,20180725,10.0000,10.0000,10.0000,10.0000,0
TBN,20180726,10.0000,10.0000,10.0000,10.0000,0
TBN,20180727,10.0000,10.0000,10.0000,10.0000,0
TBN,20180730,10.0000,10.0000,10.0000,10.0000,0
TBN,20180731,10.0000,10.0000,10.0000,10.0000,0
TBN,20180801,10.0000,10.0000,10.0000,10.0000,0
TBN,20180802,10.0000,10.0000,10.0000,10.0000,0
TBN,20180803,10.0000,10.0000,10.0000,10.0000,0
TBN,20180806,10.0000,10.0000,10.0000,10.0000,0
TBN,20180807,10.0000,10.0000,10.0000,10.0000,0
TBN,20180808,10.0000,10.0000,10.0000,10.0000,0
TBN,20180809,10.0000,10.0000,10.0000,10.0000,0
TBN,20180810,10.0000,10.0000,10.0000,10.0000,0
TBN,20180813,10.0000,10.0000,10.0000,10.0000,0
TBN,20180814,10.0000,10.0000,10.0000,10.0000,0
TBN,20180815,10.0000,10.0000,10.0000,10.0000,0
TBN,20180816,10.0000,10.0000,10.0000,10.0000,0
TBN,20180817,10.0000,10.0000,10.0000,10.0000,0
TBN,20180820,10.0000,10.0000,10.0000,10.0000,0
TBN,20180821,10.0000,10.0000,10.0000,10.0000,0
TBN,20180822,10.0000,10.0000,10.0000,10.0000,0
TBN,20180823,10.0000,10.0000,10.0000,10.0000,0
TBN,20180824,10.0000,10.0000,10.0000,10.0000,0
TBN,20180827,10.0000,10.0000,10.0000,10.0000,0
TBN,20180828,10.0000,10.0000,10.0000,10.0000,0
TBN,20180829,10.0000,10.0000,10.0000,10.0000,0
TBN,20180830,10.0000,10.0000,10.0000,10.0000,0
TBN,20180831,10.0000,10.0000,10.0000,10.0000,0
TBN,20180904,10.0000,10.0000,10.0000,10.0000,0
TBN,20180905,10.0000,10.0000,10.0000,10.0000,0
TBN,20180906,10.0000,10.0000,10.0000,10.0000,0
TBN,20180907,10.0000,10.0000,10.0000,10.0000,0
TBN,20180910,10.0000,10.0000,10.0000,10.0000,0
TBN,20180911,10.0000,10.0000,10.0000,10.0000,0
TBN,20180912,10.0000,10.0000,10.0000,10.0000,0
TBN,20180913,10.0000,10.0000,10.0000,10.0000,0
TBN,20180914,10.0000,10.0000,10.0000,10.0000,0
TBN,20180917,10.0000,10.0000,10.0000,10.0000,0
TBN,20180918,10.0000,10.0000,10.0000,10.0000,0
TBN,20180919,10.0000,10.0000,10.0000,10.0000,0
TBN,20180920,10.0000,10.0000,10.0000,10.0000,0
TBN,20180921,10.0000,10.0000,10.0000,10.0000,0
TBN,20180924,10.0000,10.0000,10.0000,10.0000,0
TBN,20180925,10.0000,10.0000,10.0000,10.0000,0
