<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TCD,20170526,12.8000,16.9000,12.8000,15.5000,4343680
TCD,20170529,16.0000,16.0000,14.5000,14.5000,207850
TCD,20170530,14.2000,15.5000,14.2000,15.5000,431520
TCD,20170531,15.5000,16.0000,15.5000,15.8000,217970
TCD,20170601,15.8500,16.3000,15.8000,15.8000,145790
TCD,20170602,15.3000,15.7000,15.1000,15.3000,106380
TCD,20170605,15.0000,15.8000,14.5000,15.1000,323430
TCD,20170606,15.1000,15.3500,15.0000,15.1000,185100
TCD,20170607,15.5000,15.5000,15.1000,15.1000,131010
TCD,20170608,15.2000,15.4000,15.0000,15.2000,202290
TCD,20170609,15.6000,16.2500,15.1500,16.2500,442270
TCD,20170612,17.1000,17.1000,16.2500,16.8000,247680
TCD,20170613,17.7000,17.7000,16.6000,16.8000,165320
TCD,20170614,16.5000,16.9000,16.5000,16.8000,275460
TCD,20170615,16.8000,17.1000,16.0000,16.8000,503990
TCD,20170616,16.6000,17.2000,16.5500,17.2000,194300
TCD,20170619,16.8000,17.0000,16.7000,16.7000,62890
TCD,20170620,16.6000,16.8000,16.5000,16.7000,124660
TCD,20170621,16.8000,17.0000,16.7000,16.8000,79650
TCD,20170622,17.1000,17.9500,17.1000,17.8000,237730
TCD,20170623,17.6500,17.9000,17.6500,17.8000,144270
TCD,20170626,17.0500,18.0000,17.0500,17.7000,212320
TCD,20170627,17.6000,18.2000,17.5000,17.7000,251940
TCD,20170628,17.7000,18.2000,17.5000,18.0000,244480
TCD,20170629,18.0000,18.1000,17.6000,17.9500,145810
TCD,20170630,17.9500,17.9500,17.6000,17.9500,70220
TCD,20170703,17.7500,18.2000,17.7000,17.9500,191870
TCD,20170704,17.7000,18.0000,17.6500,17.6500,140600
TCD,20170705,6.9789,7.0985,6.5402,7.0387,238610
TCD,20170706,6.9390,7.3777,6.9390,7.0985,184470
TCD,20170707,7.0188,7.1783,6.9789,7.0587,56910
TCD,20170710,7.0587,7.0587,6.7596,6.9789,143180
TCD,20170711,6.8593,6.9390,6.7396,6.8991,115030
TCD,20170712,6.8593,6.9789,6.6997,6.9390,344820
TCD,20170713,6.9390,6.9789,6.7596,6.9390,235920
TCD,20170714,6.9390,6.9390,6.7197,6.7197,183620
TCD,20170717,6.7197,6.7396,6.5801,6.6997,243970
TCD,20170718,6.6997,6.7197,6.5402,6.6599,129150
TCD,20170719,6.6599,6.7396,6.5402,6.6997,153530
TCD,20170720,6.5801,6.7596,6.5402,6.6997,124950
TCD,20170721,6.5801,6.7197,6.4206,6.6399,65060
TCD,20170724,6.4605,6.6399,6.2212,6.6399,130450
TCD,20170725,6.6399,6.6399,6.4006,6.5402,77200
TCD,20170726,6.5402,6.6599,6.3807,6.5801,139690
TCD,20170727,6.5801,6.6599,6.3807,6.5801,124780
TCD,20170728,6.5801,6.5801,6.3408,6.5003,70250
TCD,20170731,6.3807,6.5203,6.3009,6.5203,159740
TCD,20170801,6.5801,6.6997,6.5203,6.5602,187260
TCD,20170802,6.5003,6.5602,6.3807,6.5003,115820
TCD,20170803,6.5003,6.5402,6.4605,6.5003,205020
TCD,20170804,6.5003,6.6798,6.4605,6.5203,156120
TCD,20170807,6.4206,6.5402,6.3408,6.3408,136710
TCD,20170808,6.3807,6.3807,6.2212,6.2611,116440
TCD,20170809,6.2212,6.3009,6.1813,6.2611,78190
TCD,20170810,6.1813,6.2810,6.1813,6.2611,67230
TCD,20170811,6.1813,6.3807,6.1015,6.2611,269580
TCD,20170814,6.2611,6.2611,6.1813,6.2212,133400
TCD,20170815,6.2212,6.2212,6.1015,6.2212,113600
TCD,20170816,6.1813,6.2212,6.1414,6.2212,111600
