<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TDH,20061214,300.0000,300.0000,300.0000,300.0000,92900
TDH,20061215,285.0000,315.0000,285.0000,315.0000,845440
TDH,20061218,300.0000,300.0000,300.0000,300.0000,265860
TDH,20061219,285.0000,285.0000,285.0000,285.0000,26940
TDH,20061220,271.0000,271.0000,271.0000,271.0000,16420
TDH,20061221,271.0000,271.0000,258.0000,258.0000,2480
TDH,20061222,258.0000,258.0000,246.0000,246.0000,1530
TDH,20061225,246.0000,246.0000,234.0000,234.0000,1420
TDH,20061226,223.0000,223.0000,223.0000,223.0000,7320
TDH,20061227,212.0000,212.0000,212.0000,212.0000,20170
TDH,20061228,202.0000,202.0000,202.0000,202.0000,104850
TDH,20061229,192.0000,192.0000,192.0000,192.0000,77860
TDH,20070102,183.0000,183.0000,183.0000,183.0000,32230
TDH,20070103,174.0000,174.0000,174.0000,174.0000,20700
TDH,20070104,182.0000,182.0000,166.0000,182.0000,516290
TDH,20070105,191.0000,191.0000,191.0000,191.0000,510280
TDH,20070108,200.0000,200.0000,191.0000,200.0000,202610
TDH,20070109,200.0000,206.0000,195.0000,206.0000,233690
TDH,20070110,200.0000,206.0000,200.0000,200.0000,232550
TDH,20070111,195.0000,195.0000,190.0000,190.0000,101070
TDH,20070112,185.0000,186.0000,185.0000,186.0000,127110
TDH,20070115,185.0000,188.0000,185.0000,188.0000,98990
TDH,20070116,197.0000,197.0000,197.0000,197.0000,167700
TDH,20070117,206.0000,206.0000,197.0000,197.0000,283390
TDH,20070118,197.0000,199.0000,197.0000,197.0000,189370
TDH,20070119,200.0000,204.0000,200.0000,200.0000,97540
TDH,20070122,200.0000,210.0000,200.0000,210.0000,250220
TDH,20070123,30.1733,30.1733,30.1733,30.1733,93440
TDH,20070124,31.5511,31.5511,28.7955,28.7955,130520
TDH,20070125,27.4178,27.4178,27.4178,27.4178,70490
TDH,20070126,26.1778,26.1778,26.1778,26.1778,335060
TDH,20070129,26.1778,26.1778,26.1778,26.1778,181360
TDH,20070130,27.4178,27.4178,27.4178,27.4178,38950
TDH,20070131,28.6578,28.6578,28.6578,28.6578,136910
TDH,20070201,30.0355,30.0355,29.6222,30.0355,520530
TDH,20070202,30.0355,30.0355,30.0355,30.0355,229640
TDH,20070205,28.6578,30.0355,28.6578,28.6578,22150
TDH,20070206,28.9333,28.9333,28.6578,28.9333,60250
TDH,20070207,27.6933,28.2444,27.6933,27.6933,76830
TDH,20070208,27.5555,27.6933,27.5555,27.5555,47470
TDH,20070209,27.5555,27.5555,26.8666,27.5555,68180
TDH,20070212,28.9333,28.9333,28.9333,28.9333,64600
TDH,20070213,28.9333,30.0355,28.9333,28.9333,42690
TDH,20070214,29.6222,29.6222,28.9333,29.6222,88700
TDH,20070215,30.3111,31.0000,30.3111,30.3111,134980
TDH,20070226,31.8266,31.8266,31.8266,31.8266,90600
TDH,20070227,33.3422,33.3422,33.3422,33.3422,166680
TDH,20070228,31.6889,32.1022,31.6889,31.6889,43190
TDH,20070301,30.5866,31.6889,30.5866,30.5866,35460
TDH,20070302,30.3111,32.1022,30.3111,31.6889,88130
TDH,20070305,31.5511,33.2044,31.5511,31.5511,67800
TDH,20070306,30.8622,31.0000,30.4489,30.8622,21860
TDH,20070307,30.3111,30.8622,30.3111,30.8622,21100
TDH,20070308,30.8622,30.8622,30.8622,30.8622,44730
TDH,20070309,32.3778,32.3778,31.4133,31.4133,85200
TDH,20070312,30.8622,32.3778,30.8622,31.4133,141350
TDH,20070313,29.8978,31.4133,29.8978,29.8978,137100
TDH,20070314,28.5200,29.8978,28.5200,28.5200,56890
TDH,20070315,27.1422,27.5555,27.1422,27.5555,70090
TDH,20070316,28.9333,28.9333,28.9333,28.9333,52450
TDH,20070319,30.3111,30.3111,28.6578,28.6578,64760
TDH,20070320,30.0355,30.0355,28.6578,28.6578,58420
TDH,20070321,29.2089,29.2089,28.7955,28.7955,35950
TDH,20070322,28.9333,28.9333,28.6578,28.6578,51570
TDH,20070323,28.9333,28.9333,28.6578,28.9333,82560
TDH,20070326,28.9333,28.9333,28.9333,28.9333,68680
TDH,20070327,28.9333,28.9333,27.9689,27.9689,31560
TDH,20070328,26.5911,26.5911,26.5911,26.5911,56650
TDH,20070329,27.2800,27.5555,27.2800,27.2800,44870
TDH,20070330,28.2444,28.5200,27.5555,27.5555,43010
TDH,20070402,28.6578,28.6578,27.8311,27.8311,17660
TDH,20070403,27.2800,27.2800,26.8666,27.1422,10140
TDH,20070404,27.5555,28.3822,27.5555,28.3822,50280
TDH,20070405,28.6578,28.6578,28.6578,28.6578,53340
TDH,20070406,27.2800,28.2444,27.2800,28.2444,15630
TDH,20070409,28.6578,28.6578,28.5200,28.6578,41890
TDH,20070410,27.6933,28.9333,27.6933,28.9333,58950
TDH,20070411,28.9333,28.9333,28.9333,28.9333,8370
TDH,20070412,28.9333,28.9333,28.9333,28.9333,19970
TDH,20070413,28.9333,28.9333,28.9333,28.9333,34520
TDH,20070416,28.2444,28.9333,28.2444,28.9333,95450
TDH,20070417,28.3822,28.3822,28.1066,28.1066,47850
TDH,20070418,27.6933,28.1066,27.6933,28.1066,64320
TDH,20070419,28.9333,28.9333,28.2444,28.2444,16150
TDH,20070420,26.8666,27.5555,26.8666,27.5555,25330
TDH,20070423,26.8666,26.8666,26.1778,26.1778,21320
TDH,20070424,25.0755,25.0755,25.0755,25.0755,16140
TDH,20070425,25.0755,26.3155,25.0755,26.3155,9810
TDH,20070502,27.5555,27.5555,27.5555,27.5555,53130
TDH,20070503,26.5911,27.0044,26.5911,26.8666,34270
TDH,20070504,26.8666,26.8666,26.3155,26.3155,45810
TDH,20070507,26.3155,26.8666,26.3155,26.7289,72080
TDH,20070508,27.1422,27.2800,27.1422,27.2800,101420
TDH,20070509,27.2800,27.5555,27.2800,27.5555,49880
TDH,20070510,27.8311,28.6578,27.8311,27.8311,53210
TDH,20070511,27.8311,27.9689,27.8311,27.9689,57860
TDH,20070514,28.5200,28.5200,27.8311,27.8311,43130
TDH,20070515,28.5200,28.5200,28.1066,28.2444,60750
TDH,20070516,28.2444,28.2444,28.1066,28.2444,65120
TDH,20070517,28.2444,28.2444,28.2444,28.2444,28390
TDH,20070518,28.2444,28.2444,28.1066,28.1066,48380
TDH,20070521,28.1066,29.4844,28.1066,29.4844,73760
TDH,20070522,30.3111,30.7244,30.3111,30.7244,129590
TDH,20070523,32.2400,32.2400,31.8266,31.8266,154450
TDH,20070524,30.3111,31.1378,30.3111,30.3111,33070
TDH,20070525,30.3111,30.3111,29.7600,30.3111,59720
TDH,20070528,31.4133,31.4133,31.0000,31.0000,76440
TDH,20070529,31.2755,31.4133,31.2755,31.4133,104710
TDH,20070530,31.4133,31.4133,30.4489,31.0000,66570
TDH,20070531,30.5866,30.5866,30.4489,30.4489,81160
TDH,20070601,30.3111,30.3111,30.0355,30.0355,42280
TDH,20070604,30.0355,30.0355,28.7955,28.9333,36430
TDH,20070605,28.9333,28.9333,27.9689,27.9689,11150
TDH,20070606,27.9689,27.9689,27.8311,27.9689,69300
TDH,20070607,27.9689,27.9689,27.5555,27.5555,57260
TDH,20070608,27.9689,27.9689,27.5555,27.5555,41890
TDH,20070611,27.5555,27.5555,26.8666,27.2800,23040
TDH,20070612,27.9689,27.9689,27.0044,27.0044,83070
TDH,20070613,27.0044,27.0044,27.0044,27.0044,62760
TDH,20070614,27.0044,27.0044,26.8666,27.0044,62750
TDH,20070615,27.0044,27.0044,26.8666,26.8666,43690
TDH,20070618,27.1422,27.1422,26.7289,26.7289,88740
TDH,20070619,26.8666,26.8666,26.5911,26.5911,118670
TDH,20070620,26.7289,26.7289,26.7289,26.7289,117930
TDH,20070621,27.1422,27.1422,26.7289,26.7289,146230
TDH,20070622,26.7289,26.7289,26.5911,26.7289,218220
TDH,20070625,26.8666,26.8666,26.4533,26.4533,135540
TDH,20070626,27.4178,27.4178,26.5911,26.8666,151920
TDH,20070627,27.6933,27.6933,27.5555,27.5555,120870
TDH,20070628,27.0044,27.5555,27.0044,27.5555,44130
TDH,20070629,27.1422,27.1422,27.0044,27.1422,40510
TDH,20070702,27.1422,27.2800,26.8666,26.8666,63830
TDH,20070703,26.4533,26.7289,26.4533,26.5911,37270
TDH,20070704,26.5911,27.1422,26.5911,27.1422,29310
TDH,20070705,27.1422,27.1422,27.1422,27.1422,72750
TDH,20070706,27.5555,27.5555,27.1422,27.1422,55210
TDH,20070709,27.1422,27.1422,27.0044,27.0044,18450
TDH,20070710,26.8666,27.1422,26.8666,27.1422,20550
TDH,20070711,27.2800,27.2800,27.1422,27.1422,12180
TDH,20070712,27.1422,27.1422,27.0044,27.0044,24190
TDH,20070713,27.1422,27.1422,27.0044,27.0044,16800
TDH,20070716,27.0044,27.0044,26.7289,26.8666,7040
TDH,20070717,26.7289,26.8666,26.7289,26.8666,6660
TDH,20070718,26.5911,26.7289,26.5911,26.7289,13390
TDH,20070719,26.7289,26.7289,26.4533,26.4533,14410
TDH,20070720,26.1778,26.1778,26.1778,26.1778,27860
TDH,20070723,26.7289,26.7289,26.1778,26.1778,16430
TDH,20070724,26.1778,26.1778,26.0400,26.0400,9290
TDH,20070725,26.0400,26.0400,25.7644,25.7644,7980
TDH,20070726,25.6266,25.6266,25.3511,25.3511,13830
TDH,20070727,24.8000,24.8000,24.2489,24.2489,30450
TDH,20070730,23.6978,24.1111,23.1466,23.1466,26130
TDH,20070731,22.7333,23.0089,22.0444,22.0444,34290
TDH,20070801,22.0444,23.1466,22.0444,23.1466,52970
TDH,20070802,24.2489,24.2489,23.1466,23.1466,53330
TDH,20070803,23.0089,23.0089,22.8711,23.0089,23270
TDH,20070806,23.2844,23.2844,23.0089,23.0089,12630
TDH,20070807,23.4222,23.5600,23.2844,23.5600,38940
TDH,20070808,23.6978,23.6978,22.7333,23.6978,26900
TDH,20070809,23.6978,24.8000,23.4222,24.8000,31660
TDH,20070810,24.8000,24.8000,23.6978,24.1111,17440
TDH,20070813,23.5600,23.5600,23.2844,23.2844,15500
TDH,20070814,23.2844,23.9733,23.2844,23.8355,13150
TDH,20070815,23.6978,23.6978,23.4222,23.6978,7140
TDH,20070816,23.4222,23.5600,23.4222,23.4222,16500
TDH,20070817,23.1466,23.2844,23.1466,23.1466,18800
TDH,20070820,23.0089,23.1466,23.0089,23.1466,23070
TDH,20070821,23.1466,23.2844,23.1466,23.1466,13900
TDH,20070822,23.1466,23.1466,23.0089,23.0089,13980
TDH,20070823,23.2844,23.2844,23.1466,23.1466,6470
TDH,20070824,23.9733,23.9733,23.4222,23.5600,25660
TDH,20070827,23.8355,23.8355,23.5600,23.5600,6350
TDH,20070828,23.4222,23.5600,23.4222,23.4222,16380
TDH,20070829,23.2844,23.4222,23.1466,23.1466,33710
TDH,20070830,23.1466,23.9733,23.0089,23.1466,33490
TDH,20070831,23.4222,23.4222,22.8711,23.2844,36130
TDH,20070904,23.6978,23.6978,23.5600,23.6978,7470
TDH,20070905,23.9733,23.9733,23.6978,23.6978,29910
TDH,20070906,23.4222,23.5600,23.4222,23.5600,13130
TDH,20070907,23.9733,23.9733,23.6978,23.9733,26720
TDH,20070910,23.8355,23.9733,23.8355,23.9733,17990
TDH,20070911,23.5600,23.6978,23.4222,23.5600,17880
TDH,20070912,23.5600,23.6978,23.5600,23.6978,7890
TDH,20070913,23.6978,23.6978,23.5600,23.5600,8720
TDH,20070914,23.6978,23.6978,23.5600,23.6978,16770
TDH,20070917,23.6978,23.6978,23.5600,23.6978,13440
TDH,20070918,23.6978,23.6978,23.5600,23.5600,9280
TDH,20070919,23.5600,23.6978,23.5600,23.6978,19820
TDH,20070920,23.8355,24.2489,23.8355,24.1111,31670
TDH,20070921,24.1111,24.1111,23.8355,23.9733,27330
TDH,20070924,23.9733,24.1111,23.9733,24.1111,34780
TDH,20070925,24.5244,25.0755,24.5244,25.0755,41840
TDH,20070926,25.0755,25.0755,24.8000,24.8000,35340
TDH,20070927,24.8000,24.9378,24.6622,24.8000,33810
TDH,20070928,25.4889,25.4889,25.0755,25.4889,34230
TDH,20071001,26.7289,26.7289,26.3155,26.7289,52800
TDH,20071002,26.8666,26.8666,26.1778,26.5911,30630
TDH,20071003,26.5911,26.7289,26.4533,26.5911,53370
TDH,20071004,26.5911,26.5911,25.3511,25.3511,69990
TDH,20071005,25.4889,26.4533,25.4889,26.4533,23970
TDH,20071008,26.7289,26.7289,26.1778,26.7289,28930
TDH,20071009,26.1778,26.7289,26.1778,26.7289,27160
TDH,20071010,27.9689,27.9689,27.1422,27.2800,77100
TDH,20071011,27.4178,27.5555,27.1422,27.4178,27580
TDH,20071012,26.5911,27.4178,26.5911,27.4178,27600
TDH,20071015,27.4178,27.5555,27.2800,27.5555,69950
TDH,20071016,27.5555,27.9689,27.5555,27.9689,79580
TDH,20071017,28.3822,28.9333,28.2444,28.5200,72660
TDH,20071018,28.6578,28.7955,27.1422,27.6933,49360
TDH,20071019,27.5555,27.6933,27.4178,27.5555,51960
TDH,20071022,28.2444,28.3822,27.8311,28.1066,79830
TDH,20071023,28.1066,28.3822,28.1066,28.2444,117100
TDH,20071024,28.2444,28.2444,27.9689,28.1066,77790
TDH,20071025,28.1066,28.2444,27.6933,27.6933,69460
TDH,20071026,27.4178,27.4178,27.1422,27.1422,55320
TDH,20071029,27.0044,27.1422,26.5911,26.5911,32430
TDH,20071030,26.1778,26.7289,26.1778,26.4533,51050
TDH,20071031,26.4533,26.7289,25.7644,25.7644,32480
TDH,20071101,26.5911,26.5911,26.3155,26.4533,33040
TDH,20071102,26.1778,26.4533,26.1778,26.1778,26350
TDH,20071105,25.4889,26.0400,25.4889,25.6266,45660
TDH,20071106,25.4889,25.9022,25.3511,25.6266,28360
TDH,20071107,25.6266,25.9022,25.6266,25.9022,18760
TDH,20071108,25.9022,25.9022,25.7644,25.9022,19360
TDH,20071109,26.1778,26.1778,25.7644,25.9022,47580
TDH,20071112,25.9022,25.9022,25.4889,25.4889,12060
TDH,20071113,25.2133,25.3511,24.3866,24.3866,28010
TDH,20071114,24.8000,25.4889,24.8000,25.4889,21270
TDH,20071115,24.8000,25.2133,24.8000,24.9378,11280
TDH,20071116,24.5244,24.9378,24.5244,24.9378,9680
TDH,20071119,24.9378,24.9378,24.6622,24.8000,11760
TDH,20071120,24.8000,24.8000,24.6622,24.6622,7670
TDH,20071121,24.1111,24.5244,24.1111,24.2489,11260
TDH,20071122,24.2489,24.6622,24.2489,24.3866,14110
TDH,20071123,24.3866,24.6622,24.3866,24.3866,6520
TDH,20071126,24.3866,24.8000,23.2844,24.8000,29100
TDH,20071127,24.8000,25.0755,24.8000,24.9378,21110
TDH,20071128,24.9378,25.3511,24.9378,24.9378,23690
TDH,20071129,24.9378,25.0755,24.8000,24.8000,23320
TDH,20071130,24.8000,24.8000,24.5244,24.8000,17040
TDH,20071203,26.0400,26.0400,25.6266,26.0400,88070
TDH,20071204,26.7289,26.7289,26.4533,26.5911,53760
TDH,20071205,26.7289,26.7289,25.7644,25.7644,23540
TDH,20071206,25.4889,26.0400,25.4889,25.6266,11010
TDH,20071207,25.9022,25.9022,25.6266,25.6266,32950
