<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TDT,20180718,7.0594,7.2947,6.7770,7.0594,138400
TDT,20180719,7.0123,7.0123,6.7770,6.7771,23300
TDT,20180720,6.7771,6.7771,6.4006,6.7771,47500
TDT,20180723,6.7300,6.7300,6.2594,6.4006,65600
TDT,20180724,6.4947,6.4947,6.1182,6.1182,25100
TDT,20180725,6.1182,6.1182,6.0241,6.1182,70000
TDT,20180726,6.2123,6.3065,6.1182,6.3064,48300
TDT,20180727,6.3535,6.4947,6.3535,6.4006,21100
TDT,20180730,6.4947,6.4947,6.3535,6.4476,18100
TDT,20180731,6.5417,6.5417,6.4005,6.4947,29100
TDT,20180801,6.4947,6.5418,6.3535,6.3535,45882
TDT,20180802,6.4006,6.4006,6.3064,6.3535,7800
TDT,20180803,6.4006,6.4006,6.2594,6.3535,18100
TDT,20180806,6.3064,6.3064,6.1182,6.2594,26400
TDT,20180807,6.2594,6.2594,6.1182,6.1182,12682
TDT,20180808,6.1182,6.1182,5.9770,6.1182,22700
TDT,20180809,6.1182,6.2123,6.1182,6.1652,31800
TDT,20180810,6.1652,6.2123,5.9299,6.2123,54600
TDT,20180813,6.1652,6.2594,6.1182,6.2123,37600
TDT,20180814,6.2123,6.2594,6.1182,6.2123,18600
TDT,20180815,6.2123,6.3158,6.2123,6.2123,9200
TDT,20180816,6.1605,6.3158,6.1605,6.2123,89600
TDT,20180817,6.2123,6.3676,6.2123,6.3158,100200
TDT,20180820,6.2640,6.3158,6.0052,6.2123,116000
TDT,20180821,6.1088,6.1605,5.9535,6.0570,77000
TDT,20180822,6.0570,6.2123,5.7982,6.0570,95100
TDT,20180823,6.0052,6.1605,5.7982,5.9017,76200
TDT,20180824,5.8499,5.9017,5.7982,5.7982,25400
TDT,20180827,5.7982,5.9017,5.7982,5.7982,41400
TDT,20180828,5.7982,5.8500,5.7464,5.8499,49500
TDT,20180829,5.7981,5.8499,5.7464,5.7982,31500
TDT,20180830,5.7982,5.7982,5.7464,5.7982,25100
TDT,20180831,5.7464,5.9017,5.7464,5.8499,51400
TDT,20180904,5.7981,5.9534,5.7981,5.8499,72700
TDT,20180905,5.7981,6.1087,5.7981,5.9017,78600
TDT,20180906,5.9017,6.0570,5.7982,5.8499,58200
TDT,20180907,5.8499,6.1605,5.8499,6.1605,123900
TDT,20180910,6.1605,6.2640,6.0570,6.1088,47100
TDT,20180911,6.1088,6.2123,5.9535,6.1088,60800
TDT,20180912,6.1088,6.1088,6.0053,6.0570,46900
TDT,20180913,6.0570,6.1605,5.9535,6.0570,42600
TDT,20180914,6.0052,6.1088,5.9535,5.9535,60300
TDT,20180917,6.0053,6.0570,5.9535,5.9535,73000
TDT,20180918,5.9535,6.4194,5.9017,6.3158,145800
TDT,20180919,6.3158,6.3158,6.2123,6.3158,102500
TDT,20180920,6.2640,6.9370,6.1605,6.7300,139600
TDT,20180921,6.6782,6.7300,6.3676,6.5229,71300
TDT,20180924,6.2123,6.5229,6.2123,6.4194,93700
TDT,20180925,6.3676,6.6265,6.2123,6.6265,177000
TDT,20180926,6.5747,6.6783,6.3159,6.5747,130600
TDT,20180927,6.5229,6.5747,6.3676,6.4711,58800
TDT,20180928,6.4193,6.5229,6.3158,6.4711,101400
TDT,20181001,6.4193,6.5229,6.3158,6.3676,62500
TDT,20181002,6.3676,6.3676,6.2641,6.3158,79600
TDT,20181003,6.2640,6.3158,6.1605,6.2123,51100
TDT,20181004,6.3676,6.4194,6.1605,6.4194,101900
TDT,20181005,6.3159,6.4712,6.2123,6.2123,78900
TDT,20181008,6.2123,6.2641,6.1088,6.1605,78000
TDT,20181009,6.2123,6.2641,6.1087,6.2641,65400
TDT,20181010,6.2123,6.2641,6.1088,6.2641,96900
TDT,20181011,6.1088,6.1088,5.8499,6.0052,119100
TDT,20181012,5.9534,6.3676,5.9017,6.2641,110500
TDT,20181015,6.1606,6.2641,6.1088,6.2123,65400
TDT,20181016,6.1605,6.2123,6.1088,6.2123,50100
TDT,20181017,6.2123,6.4711,6.2123,6.4711,142700
TDT,20181018,6.5229,6.6264,6.3676,6.4711,103800
TDT,20181019,6.4193,6.4711,6.3158,6.3158,70600
TDT,20181022,6.5746,6.9370,6.4711,6.7300,266600
TDT,20181023,6.8335,6.8853,6.4712,6.5747,66300
TDT,20181024,6.5229,6.5747,6.4194,6.4711,51900
TDT,20181025,6.3676,6.5229,6.1087,6.4711,65600
TDT,20181026,6.5746,6.6782,6.2123,6.4711,83900
TDT,20181029,6.4711,6.4711,6.2123,6.2123,65500
TDT,20181030,6.2123,6.4194,6.1088,6.1088,80000
TDT,20181031,6.3159,6.4712,6.1606,6.4711,87400
TDT,20181101,6.4711,6.4711,6.2123,6.3158,96700
TDT,20181102,6.3676,6.5747,6.3158,6.5747,187200
TDT,20181105,6.5229,6.6782,6.5229,6.6265,106700
TDT,20181106,6.6265,6.6783,6.5230,6.6265,169600
TDT,20181107,6.5747,6.6783,6.5230,6.6782,260400
TDT,20181108,6.6782,7.2477,6.6782,7.0406,457400
TDT,20181109,7.0406,7.0924,6.8853,7.0406,174200
TDT,20181112,7.0406,7.0924,6.8335,7.0406,158600
TDT,20181113,6.9371,7.3512,6.6782,7.2477,435000
TDT,20181114,7.2477,7.4548,7.0924,7.1441,330000
TDT,20181115,7.1441,7.2476,7.0406,7.0406,127200
TDT,20181116,7.0406,7.3512,7.0406,7.0924,221600
TDT,20181119,7.0924,7.1959,6.9371,7.0924,175100
TDT,20181120,7.2477,7.2477,6.9371,7.0406,153700
TDT,20181121,6.9888,7.0924,6.8335,6.9371,101300
TDT,20181122,7.0924,7.1959,6.9371,6.9888,204000
TDT,20181123,7.0406,7.0923,6.9370,7.0406,72400
TDT,20181126,7.0406,7.0406,6.8853,6.9888,38200
TDT,20181127,6.9370,6.9888,6.4711,6.5229,203200
TDT,20181128,6.5229,6.6264,6.4194,6.4711,114700
TDT,20181129,6.5746,6.7299,6.4711,6.4711,55400
TDT,20181130,6.5746,6.6264,6.3676,6.4194,70700
TDT,20181203,6.5229,6.6265,6.4194,6.4711,88000
TDT,20181204,6.4711,6.5229,6.4193,6.5229,57000
TDT,20181205,6.4711,6.6264,6.4194,6.5747,74520
TDT,20181206,6.5747,6.6782,6.5229,6.5229,36500
TDT,20181207,6.6782,6.9888,6.5229,6.5229,32400
TDT,20181210,6.5229,6.6264,6.5229,6.5229,59200
TDT,20181211,6.5747,6.6264,6.4711,6.4711,60200
TDT,20181212,6.5229,6.5746,6.4711,6.4711,63500
TDT,20181213,6.5229,6.5229,6.4711,6.5229,23700
TDT,20181214,6.5229,6.5747,6.5229,6.5229,28300
TDT,20181217,6.5229,6.5747,6.4711,6.4711,31700
TDT,20181218,6.4711,6.4711,6.2123,6.2641,105000
TDT,20181219,6.3159,6.3676,6.2123,6.2123,31900
TDT,20181220,6.1605,6.3158,6.0570,6.3158,54700
