<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TH1,20091111,63.0000,70.0000,63.0000,69.8000,497300
TH1,20091112,70.0000,72.0000,66.0000,66.6000,163200
TH1,20091113,65.5000,65.5000,63.2000,64.0000,105200
TH1,20091116,64.0000,64.5000,59.8000,62.0000,109600
TH1,20091117,61.0000,63.0000,61.0000,62.0000,123400
TH1,20091118,61.5000,66.3000,60.0000,66.3000,303900
TH1,20091119,66.8000,68.0000,66.8000,68.0000,105400
TH1,20091120,69.8000,72.0000,68.2000,69.0000,367500
TH1,20091123,67.5000,69.5000,65.1000,65.8000,187300
TH1,20091124,66.2000,66.2000,61.6000,62.2000,183400
TH1,20091125,63.0000,63.0000,58.6000,58.6000,121400
TH1,20091126,55.2000,55.5000,55.1000,55.1000,51500
TH1,20091127,51.4000,56.0000,51.4000,51.6000,168100
TH1,20091130,49.0000,53.3000,49.0000,52.2000,118100
TH1,20091201,53.0000,54.9000,53.0000,54.6000,180900
TH1,20091202,57.0000,57.0000,51.0000,51.0000,59300
TH1,20091203,51.0000,53.0000,50.5000,53.0000,60400
TH1,20091204,52.5000,52.5000,51.0000,52.0000,62300
TH1,20091207,51.5000,52.7000,51.0000,52.0000,44100
TH1,20091208,51.9000,51.9000,50.1000,50.1000,67000
TH1,20091209,49.0000,49.0000,47.4000,47.4000,93000
TH1,20091210,49.7000,49.8000,44.2000,44.2000,182300
TH1,20091211,47.3000,47.3000,42.5000,43.0000,127700
TH1,20091214,45.0000,46.1000,45.0000,46.1000,43200
TH1,20091215,45.1000,46.5000,44.5000,45.0000,66666
TH1,20091216,43.3000,43.3000,42.2000,42.2000,94000
TH1,20091217,40.6000,42.8000,40.2000,42.8000,61200
TH1,20091218,43.5000,43.6000,43.2000,43.6000,136900
TH1,20091221,46.0000,46.6000,45.4000,46.6000,150500
TH1,20091222,46.6000,47.0000,44.5000,45.0000,67500
TH1,20091223,45.0000,45.8000,45.0000,45.6000,69500
TH1,20091224,45.0000,47.9000,45.0000,47.3000,123100
TH1,20091225,48.5000,49.5000,48.2000,49.5000,208000
TH1,20091228,40.0174,40.0174,37.4581,40.0174,238600
TH1,20091229,42.5766,42.5766,41.1031,42.5766,284800
TH1,20091230,42.7317,44.9808,41.8786,44.1277,181400
TH1,20091231,44.0501,44.9032,40.8705,41.1807,146400
TH1,20100104,41.4909,44.3603,41.4909,44.3603,150100
TH1,20100105,46.9196,46.9196,46.9196,46.9196,50200
TH1,20100106,50.1768,50.1768,48.0829,50.1768,539200
TH1,20100107,51.9605,51.9605,46.9196,48.0829,241200
TH1,20100108,48.4707,51.9605,45.9890,48.0829,281700
TH1,20100111,45.7563,46.5318,45.0583,45.1359,104600
TH1,20100112,44.9808,46.3767,42.4991,42.4991,371300
TH1,20100113,42.6542,45.7563,40.7929,44.2052,204500
TH1,20100114,42.8868,45.7563,42.8868,44.9032,128700
TH1,20100115,44.6706,44.9808,43.0419,43.0419,142300
TH1,20100118,42.2664,42.2664,40.9480,40.9480,155900
TH1,20100119,41.1031,41.8786,40.3276,41.5684,73800
TH1,20100120,42.1113,42.1113,39.5521,40.0174,82500
TH1,20100121,40.4827,40.4827,37.8459,38.0010,85900
TH1,20100122,38.7765,41.0256,38.0010,41.0256,68300
TH1,20100125,39.5521,39.9398,39.1643,39.7072,25766
TH1,20100126,41.5684,42.3440,41.5684,42.3440,106200
TH1,20100127,44.9808,44.9808,41.1031,41.1031,39400
TH1,20100128,41.8786,42.1889,39.6296,40.3276,38600
TH1,20100129,39.0092,40.8705,38.7765,40.2500,45500
TH1,20100201,40.7153,41.1031,39.5521,41.1031,25400
TH1,20100202,41.4909,41.4909,40.4051,40.6378,25600
TH1,20100203,40.7153,40.8705,39.6296,40.3276,44000
TH1,20100204,40.7153,41.4909,39.9398,40.4051,41200
TH1,20100205,40.7929,40.8705,39.5521,39.7072,40200
TH1,20100208,38.8541,39.9398,38.7765,39.9398,33500
TH1,20100209,39.4745,39.4745,38.1561,38.1561,28000
TH1,20100210,39.4745,39.9398,38.5439,39.4745,4500
TH1,20100211,38.5439,39.9398,38.5439,39.7847,11100
TH1,20100212,39.9398,40.7153,39.5521,40.4827,2000
TH1,20100222,41.1031,41.8786,40.4051,40.5602,30200
TH1,20100223,39.1643,39.5521,38.2337,38.2337,11900
TH1,20100224,38.0785,38.7765,38.0010,38.7765,34500
TH1,20100225,39.3969,39.3969,38.3888,38.3888,4900
TH1,20100226,38.0785,38.8541,37.6132,38.7765,19600
TH1,20100301,39.1643,39.4745,38.6214,38.7765,15600
TH1,20100302,39.1643,39.5521,38.6990,38.7765,41700
TH1,20100303,39.5521,41.7235,39.0092,41.7235,175700
TH1,20100304,42.5766,42.8868,40.4051,40.4051,123100
TH1,20100305,41.1031,41.6460,40.7929,40.7929,33200
TH1,20100308,42.6542,43.4297,41.2582,42.8868,151200
TH1,20100309,44.2052,45.5236,42.2664,45.2910,381600
TH1,20100310,44.2052,45.3685,43.7399,43.9726,73800
TH1,20100311,44.2052,44.2052,42.7317,42.7317,55400
TH1,20100312,43.5848,44.2828,43.1970,44.2052,125700
TH1,20100315,45.4461,45.4461,43.8175,43.8175,128200
TH1,20100316,44.2052,44.2052,41.4909,41.8786,219600
TH1,20100317,40.7929,43.4297,40.7929,42.2664,108800
TH1,20100318,42.3440,43.0419,41.4909,43.0419,135500
