<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
THI,20170615,49.9000,49.9000,49.0000,49.9000,144330
THI,20170616,52.9000,53.3000,50.0000,53.3000,98120
THI,20170619,54.0000,54.0000,53.3000,53.4000,66750
THI,20170620,53.3000,53.4000,53.0000,53.3000,77430
THI,20170621,50.0000,53.2000,50.0000,51.8000,37260
THI,20170622,50.5000,51.0000,50.0000,50.2000,8850
THI,20170623,49.5000,49.5000,46.7000,46.7000,34380
THI,20170626,48.0000,48.0000,45.0000,46.2000,14080
THI,20170627,47.5000,47.8000,44.7000,47.8000,12220
THI,20170628,45.5000,47.7000,44.6000,46.0000,17080
THI,20170629,49.2000,49.2000,45.0000,48.2000,140
THI,20170630,45.0000,51.0000,44.8500,49.5000,1340
THI,20170703,51.9000,51.9000,46.0500,47.5000,1140
THI,20170704,45.0000,45.2000,44.2000,44.2000,23210
THI,20170705,44.2000,45.0000,41.1500,41.1500,6850
THI,20170706,40.0000,43.0000,39.1000,40.8000,16430
THI,20170707,42.9000,43.6500,41.1000,43.6000,12500
THI,20170710,44.9000,44.9000,43.0000,44.4000,2530
THI,20170711,45.9000,45.9000,41.5000,42.9000,35550
THI,20170712,44.9000,44.9000,42.4000,44.8000,210
THI,20170713,44.8000,44.8000,42.0000,44.7000,10030
THI,20170714,43.0000,44.5000,42.0000,44.5000,4470
THI,20170717,43.5000,43.5000,41.4000,41.4000,13070
THI,20170718,42.0000,42.0000,41.0000,42.0000,5670
THI,20170719,41.3000,44.0000,41.3000,44.0000,470
THI,20170720,41.0000,41.0000,40.9500,40.9500,11780
THI,20170721,41.0000,41.0000,41.0000,41.0000,200
THI,20170724,43.5000,43.5000,41.0000,41.0000,20010
THI,20170725,42.0000,42.0000,41.0000,41.0000,2600
THI,20170726,41.0000,41.0000,40.1000,41.0000,920
THI,20170727,41.0000,41.0000,40.5000,41.0000,2160
THI,20170728,41.0000,41.0000,40.6000,40.6000,710
THI,20170731,39.4000,41.0000,39.4000,40.8000,230
THI,20170801,41.5000,41.5000,39.0000,39.0000,4770
THI,20170802,41.0000,41.0000,41.0000,41.0000,10
THI,20170803,39.0000,39.0000,39.0000,39.0000,10
THI,20170804,40.0000,40.0000,39.4000,39.4000,550
THI,20170807,40.4000,40.4000,40.4000,40.4000,10
THI,20170808,39.0000,40.5000,39.0000,40.5000,1570
THI,20170809,40.5000,40.5000,39.9000,39.9000,1980
THI,20170810,39.9000,39.9000,39.9000,39.9000,1380
THI,20170811,39.5000,39.9000,38.8000,39.9000,8280
THI,20170814,40.0000,40.0000,40.0000,40.0000,10
THI,20170815,38.8000,39.0000,38.8000,38.8000,1500
THI,20170816,41.5000,41.5000,40.0000,40.0000,11010
THI,20170817,42.5000,42.5000,39.0000,40.5000,1660
THI,20170818,41.0000,41.0000,40.5000,40.5000,20
THI,20170821,38.8000,40.0000,38.8000,40.0000,1110
THI,20170822,42.5000,42.5000,38.8000,39.0000,640
THI,20170823,38.7000,41.7000,38.7000,41.7000,110
THI,20170824,41.7000,41.7000,38.8000,38.8000,2770
THI,20170825,39.0000,39.0000,36.5000,39.0000,7110
THI,20170828,41.7000,41.7000,40.0000,40.0000,530
THI,20170829,42.0000,42.0000,39.0000,39.0000,20
THI,20170830,39.0000,39.8000,38.6000,39.8000,1640
THI,20170831,38.6000,40.9000,38.6000,40.9000,40
THI,20170901,40.0000,40.0000,40.0000,40.0000,10
THI,20170905,40.0000,40.0000,40.0000,40.0000,0
THI,20170906,40.0000,40.0000,40.0000,40.0000,0
THI,20170907,40.0000,40.0000,40.0000,40.0000,10
THI,20170908,39.0000,40.0000,39.0000,40.0000,160
THI,20170911,42.0000,42.0000,39.9000,39.9000,20
THI,20170912,39.0000,39.0000,38.6000,38.6000,800
THI,20170913,39.0000,39.0000,38.5000,38.5000,1120
THI,20170914,38.6000,39.8000,38.5000,39.8000,1780
THI,20170915,39.8000,39.8000,37.2000,37.5000,2450
THI,20170918,39.7000,39.7000,38.9000,38.9000,260
THI,20170919,38.9000,38.9000,38.9000,38.9000,0
THI,20170920,38.0000,38.8000,38.0000,38.5000,930
THI,20170921,39.6000,39.9000,38.9000,39.4000,2420
THI,20170922,39.4000,39.5000,39.0000,39.5000,15020
THI,20170925,39.0000,39.5000,39.0000,39.5000,2010
THI,20170926,39.4000,39.5000,39.4000,39.5000,2350
THI,20170927,39.5000,39.5000,39.0000,39.0000,5050
THI,20170928,39.4000,39.4000,39.2000,39.4000,900
THI,20170929,38.6000,39.1000,38.0000,38.9000,1910
THI,20171002,39.4000,39.4000,39.4000,39.4000,10
THI,20171003,38.5000,39.0000,38.5000,39.0000,40
THI,20171004,38.5000,38.5000,38.4000,38.5000,570
THI,20171005,38.3000,39.0000,38.0000,39.0000,2180
THI,20171006,39.4000,39.4000,39.0000,39.0000,110
THI,20171009,38.5000,38.5000,38.5000,38.5000,50
THI,20171010,38.5000,38.5000,38.0000,38.0000,300
THI,20171011,38.5000,38.5000,38.5000,38.5000,10
THI,20171012,38.5000,38.5000,38.5000,38.5000,0
THI,20171013,38.4000,38.4000,38.4000,38.4000,20
THI,20171016,38.4000,38.4000,38.4000,38.4000,0
THI,20171017,38.0000,38.0000,38.0000,38.0000,10
THI,20171018,37.8000,38.0000,35.5000,35.5000,5370
THI,20171019,37.9500,37.9500,37.9500,37.9500,10
THI,20171020,37.9500,37.9500,37.9500,37.9500,0
THI,20171023,37.5000,37.5000,36.0000,37.0000,1740
THI,20171024,38.3000,38.3000,36.5000,37.0000,6220
THI,20171025,37.4000,37.5000,35.6000,36.0000,8140
THI,20171026,36.0000,36.0000,35.1000,35.1000,9220
THI,20171027,35.5000,35.9000,35.5000,35.5000,11910
THI,20171030,35.5000,35.6000,35.5000,35.6000,3230
THI,20171031,35.7000,37.0000,35.7000,36.1000,2630
THI,20171101,36.5000,36.5000,36.2000,36.2000,730
THI,20171102,36.2000,38.7000,35.6000,38.7000,3450
THI,20171103,39.0000,41.4000,39.0000,41.4000,32200
THI,20171106,44.2500,44.2500,42.0000,44.0000,36770
