<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TIG,20101008,10.1306,11.6502,10.1306,10.8542,561200
TIG,20101011,10.4924,11.5416,10.4924,11.1074,253700
TIG,20101012,10.9265,10.9989,10.4200,10.4200,362200
TIG,20101013,9.9135,10.4924,9.8049,10.3115,130200
TIG,20101014,10.4562,10.4562,9.7688,9.9496,147800
TIG,20101015,10.2390,10.2390,9.5154,9.5878,105100
TIG,20101018,9.5878,9.7687,9.1175,9.1175,217300
TIG,20101019,9.4069,9.5517,8.6471,8.6471,297700
TIG,20101020,8.2491,9.0813,8.2491,9.0090,65700
TIG,20101021,8.6472,9.2984,8.6472,8.9366,48500
TIG,20101022,8.9004,8.9004,8.5024,8.8642,33300
TIG,20101025,8.9366,9.1175,8.9004,9.1175,72100
TIG,20101026,9.4069,9.6240,9.2622,9.6240,86300
TIG,20101027,9.2260,9.6964,9.0451,9.0451,71900
TIG,20101028,9.3345,9.3707,8.7918,8.7919,35000
TIG,20101029,8.8643,9.0452,8.7195,8.7919,49500
TIG,20101101,9.2261,9.2261,8.4301,8.4301,49600
TIG,20101102,8.7557,8.8281,8.3215,8.3215,67500
TIG,20101103,8.6471,8.6471,8.0682,8.0683,74300
TIG,20101104,8.4301,8.4663,8.0683,8.4301,151700
TIG,20101105,8.6834,8.6834,8.3216,8.3577,162100
TIG,20101108,8.5386,8.6833,8.1406,8.3215,87600
TIG,20101109,8.4300,8.4662,7.8873,7.8874,112500
TIG,20101110,8.1768,8.1768,7.5979,7.5979,73000
TIG,20101111,7.8512,7.9235,7.3085,7.3085,94600
TIG,20101112,7.3447,7.4894,7.0914,7.2361,100600
TIG,20101115,7.1999,7.4894,6.7296,6.7296,52200
TIG,20101116,7.0914,7.1276,6.7296,6.7296,49900
TIG,20101117,6.6934,6.9105,6.3316,6.3316,82100
TIG,20101118,6.7296,7.0190,6.5487,6.5487,85500
TIG,20101119,6.8020,6.8743,6.2954,6.2954,43900
TIG,20101122,6.5848,6.5848,6.2592,6.2592,27100
TIG,20101123,6.4401,6.4401,6.0059,6.3316,151400
TIG,20101124,6.1507,6.4763,5.8974,5.8974,160100
TIG,20101125,6.3677,6.5487,6.3316,6.5487,142700
TIG,20101126,6.9105,6.9105,6.9105,6.9105,97900
TIG,20101129,7.3808,7.3808,7.3808,7.3808,95900
