<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TIN,20220113,28.1000,28.1000,24.0000,25.0000,103411
TIN,20220114,25.0000,25.0000,23.8000,24.1000,91400
TIN,20220117,24.6000,24.6000,21.0000,22.0000,85300
TIN,20220118,22.2000,24.7000,21.4000,23.5000,59300
TIN,20220119,24.4000,25.0000,23.5000,24.7000,70726
TIN,20220120,25.3000,25.3000,24.3000,24.4000,58100
TIN,20220121,24.6000,24.6000,23.0000,24.0000,51902
TIN,20220124,24.0000,25.0000,23.5000,23.5000,41350
TIN,20220125,23.9000,23.9000,23.0000,23.4000,18200
TIN,20220126,24.5000,24.8000,23.6000,24.3000,32900
TIN,20220127,23.3000,24.6000,23.3000,23.6000,52500
TIN,20220128,23.4000,24.3000,23.4000,23.9000,47400
TIN,20220207,24.0000,25.5000,24.0000,24.4000,42300
TIN,20220208,24.0000,24.6000,23.9000,24.3000,48500
TIN,20220209,24.2000,24.4000,24.1000,24.3000,51200
TIN,20220210,24.2000,24.3000,23.7000,24.0000,47300
TIN,20220211,23.2000,24.4000,23.1000,23.7000,34800
TIN,20220214,23.7000,23.9000,23.5000,23.5000,40100
TIN,20220215,22.8000,23.5000,22.5000,23.0000,20900
TIN,20220216,22.8000,23.0000,22.2000,22.8000,53600
TIN,20220217,22.0000,24.0000,22.0000,23.6000,47200
TIN,20220218,24.0000,26.4000,24.0000,24.6000,36100
TIN,20220221,23.9000,24.6000,23.9000,24.6000,32000
TIN,20220222,24.0000,24.2000,23.8000,23.8000,53700
TIN,20220223,24.0000,24.5000,24.0000,24.3000,35700
TIN,20220224,24.1000,24.1000,23.4000,23.5000,27302
TIN,20220225,23.8000,24.3000,23.8000,24.2000,30901
TIN,20220228,24.0000,24.8000,24.0000,24.6000,43700
TIN,20220301,24.0000,24.4000,23.9000,24.0000,25800
TIN,20220302,23.7000,24.5000,23.7000,24.0000,33500
TIN,20220303,24.0000,24.4000,24.0000,24.0000,38700
TIN,20220304,24.0000,24.5000,24.0000,24.2000,37300
TIN,20220307,26.5000,26.5000,24.0000,24.0000,17000
TIN,20220308,24.0000,24.5000,24.0000,24.4000,34000
TIN,20220309,24.0000,24.9000,24.0000,24.9000,30200
TIN,20220310,24.8000,24.8000,24.2000,24.7000,39700
TIN,20220311,24.6000,25.2000,24.2000,24.3000,31200
TIN,20220314,24.4000,24.6000,24.1000,24.4000,50500
TIN,20220315,26.0000,26.0000,24.3000,24.8000,31402
TIN,20220316,24.6000,24.7000,24.4000,24.5000,46701
TIN,20220317,24.5000,24.8000,24.5000,24.6000,45700
TIN,20220318,24.8000,26.0000,24.8000,25.2000,39600
TIN,20220321,25.5000,25.8000,25.0000,25.3000,25300
TIN,20220322,26.0000,26.0000,25.2000,25.5000,14000
TIN,20220323,25.8000,25.8000,25.0000,25.5000,33902
TIN,20220324,25.7000,26.0000,25.0000,25.4000,23600
TIN,20220325,25.7000,25.8000,25.0000,25.1000,50000
TIN,20220328,25.8000,26.0000,25.0000,25.0000,27501
TIN,20220329,25.8000,25.8000,25.4000,25.6000,36100
TIN,20220330,25.6000,25.9000,25.0000,25.0000,40400
TIN,20220331,25.4000,25.5000,25.0000,25.1000,52600
TIN,20220401,21.9000,25.8000,21.9000,25.3000,37400
TIN,20220404,25.5000,26.0000,25.2000,25.5000,71544
TIN,20220405,26.0000,27.0000,26.0000,26.7000,57000
TIN,20220406,27.0000,27.0000,26.5000,26.5000,26500
TIN,20220407,27.4000,27.5000,26.6000,27.0000,27200
TIN,20220408,27.5000,27.5000,26.0000,26.0000,41200
TIN,20220412,27.3000,27.5000,25.1000,25.6000,34700
TIN,20220413,25.0000,25.6000,25.0000,25.0000,21100
TIN,20220414,24.5000,25.4000,24.0000,24.1000,32400
TIN,20220415,25.0000,25.0000,23.4000,23.8000,23000
TIN,20220418,23.8000,24.5000,23.6000,23.9000,17700
TIN,20220419,23.2000,24.2000,23.2000,23.8000,20500
TIN,20220420,23.3000,23.3000,22.6000,22.8000,26800
TIN,20220421,22.3000,24.0000,22.0000,23.0000,31000
TIN,20220422,23.9000,23.9000,22.0000,23.9000,10400
TIN,20220425,23.7000,23.7000,22.0000,23.4000,11900
TIN,20220426,21.8000,23.3000,21.8000,21.8000,27300
TIN,20220427,23.5000,23.8000,22.0000,23.3000,13102
TIN,20220428,24.0000,24.5000,24.0000,24.3000,12200
TIN,20220429,23.8000,23.8000,23.2000,23.4000,15300
TIN,20220504,22.7000,22.7000,21.7000,21.8000,11647
TIN,20220505,22.3000,22.7000,22.3000,22.4000,15700
