<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TJC,20071217,68.0000,68.0000,48.0000,50.0000,56500
TJC,20071218,50.0000,50.0000,46.2000,46.2000,33000
TJC,20071219,46.0000,50.9000,44.0000,50.8000,23300
TJC,20071220,49.1000,49.1000,46.0000,48.0000,4500
TJC,20071221,45.0000,47.5000,45.0000,45.2000,13400
TJC,20071224,47.0000,47.0000,46.0000,46.0000,10700
TJC,20071225,46.0000,48.9000,46.0000,46.5000,1900
TJC,20071226,47.9000,47.9000,46.3000,46.3000,5100
TJC,20071227,45.6000,45.6000,45.6000,45.6000,100
TJC,20071228,45.5000,45.9000,44.1000,44.1000,8800
TJC,20080102,41.0000,42.0000,40.9000,42.0000,11000
TJC,20080103,37.0000,43.5000,37.0000,39.5000,6300
TJC,20080104,38.0000,42.9000,37.2000,38.2000,17900
TJC,20080107,37.5000,37.5000,37.0000,37.5000,7800
TJC,20080108,40.5000,40.8000,37.1000,38.0000,5900
TJC,20080109,38.5000,38.5000,37.0000,37.0000,11500
TJC,20080110,37.0000,38.0000,36.2000,37.3000,5400
TJC,20080111,38.5000,40.0000,36.5000,37.0000,4800
TJC,20080114,37.0000,37.0000,35.0000,35.0000,2200
TJC,20080115,34.0000,34.0000,31.7000,31.7000,7600
TJC,20080116,35.1000,35.2000,34.0000,35.2000,32700
TJC,20080117,35.0000,35.1000,33.3000,34.5000,9500
TJC,20080118,32.0000,34.5000,31.0000,32.0000,3900
TJC,20080121,33.8000,33.8000,32.0000,32.0000,8500
TJC,20080122,32.5000,33.0000,31.5000,32.0000,7000
TJC,20080123,32.2000,32.2000,31.7000,32.0000,12100
TJC,20080124,30.3000,31.9000,30.3000,31.6000,4100
TJC,20080125,32.0000,32.0000,30.5000,31.8000,8700
TJC,20080128,31.5000,32.5000,30.7000,32.5000,1000
TJC,20080129,32.0000,34.0000,32.0000,34.0000,2200
TJC,20080130,36.0000,36.0000,36.0000,36.0000,6200
TJC,20080131,36.0000,36.0000,36.0000,36.0000,2000
TJC,20080201,37.5000,38.0000,36.0000,37.5000,16100
TJC,20080212,38.0000,40.3000,38.0000,40.0000,38000
TJC,20080213,43.2000,43.6000,40.1000,43.6000,62900
TJC,20080214,45.8000,46.9000,40.0000,42.0000,32700
TJC,20080215,41.6000,42.0000,40.2000,41.0000,27600
TJC,20080218,37.0000,37.7000,36.6000,37.7000,14300
TJC,20080219,37.0000,38.1000,36.6000,37.1000,16700
TJC,20080220,36.1000,36.1000,34.0000,34.0000,26500
TJC,20080221,33.1000,33.1000,31.2000,31.2000,25400
TJC,20080222,30.0000,33.0000,28.7000,31.9000,6900
TJC,20080225,32.5000,33.5000,32.5000,33.5000,8600
TJC,20080226,35.0000,36.6000,31.0000,32.0000,15600
