<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TLD,20171207,12.3000,14.4000,12.0000,14.4000,2566650
TLD,20171208,14.5500,15.4000,14.4500,15.4000,1260740
TLD,20171211,15.6000,16.1000,15.5000,15.8000,643090
TLD,20171212,15.0000,15.0000,14.7000,14.7000,646450
TLD,20171213,13.7000,13.7000,13.7000,13.7000,522310
TLD,20171214,12.7500,12.7500,12.7500,12.7500,443330
TLD,20171215,11.9000,12.7000,11.9000,12.6000,1432860
TLD,20171218,12.7000,13.0000,12.5500,12.6000,507270
TLD,20171219,12.5500,12.7000,12.3500,12.4000,246780
TLD,20171220,12.3000,12.5000,12.1000,12.1500,408080
TLD,20171221,12.1000,12.3000,12.0500,12.1000,210900
TLD,20171222,12.0500,12.2000,12.0000,12.1000,274450
TLD,20171225,12.2000,12.2500,12.0000,12.1000,192340
TLD,20171226,12.0000,12.2000,11.9500,11.9500,482240
TLD,20171227,11.9500,12.0000,11.8500,11.9500,185500
TLD,20171228,12.1000,12.2000,11.9500,12.1000,206790
TLD,20171229,12.1500,12.1500,11.9500,12.0500,276930
TLD,20180102,11.9500,12.1500,11.9000,11.9500,176650
TLD,20180103,12.1000,12.6000,11.9500,12.6000,826360
TLD,20180104,12.6500,13.1000,12.5000,13.1000,617570
TLD,20180105,13.0000,13.4000,13.0000,13.2500,520330
TLD,20180108,13.2000,13.5000,13.2000,13.4500,1334250
TLD,20180109,13.3500,13.5000,13.3000,13.3500,320920
TLD,20180110,13.4000,13.5000,13.2500,13.3000,203270
TLD,20180111,13.2500,13.3000,13.1500,13.2500,265600
TLD,20180112,13.0000,13.3500,13.0000,13.3000,462910
TLD,20180115,13.3000,13.5000,13.2000,13.3500,170320
TLD,20180116,13.3500,13.5000,13.3000,13.3500,211640
TLD,20180117,13.4000,14.0000,13.3500,13.9500,839670
TLD,20180118,14.0000,14.3000,13.9000,14.3000,593910
TLD,20180119,14.4000,14.4500,14.2000,14.2000,287470
TLD,20180122,14.1000,14.2000,14.0000,14.1000,169370
TLD,20180125,14.1000,14.2500,14.0500,14.1000,169940
TLD,20180126,14.1500,14.2500,14.1000,14.2000,284450
