<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TLI,20190125,24.0000,24.0000,24.0000,24.0000,100
TLI,20190128,24.0000,24.0000,24.0000,24.0000,0
TLI,20190129,24.0000,24.0000,24.0000,24.0000,0
TLI,20190130,24.0000,24.0000,24.0000,24.0000,0
TLI,20190131,24.0000,24.0000,24.0000,24.0000,0
TLI,20190201,24.0000,24.0000,24.0000,24.0000,0
TLI,20190211,24.0000,24.0000,24.0000,24.0000,0
TLI,20190212,24.0000,24.0000,24.0000,24.0000,0
TLI,20190213,24.0000,24.0000,24.0000,24.0000,0
TLI,20190214,24.0000,24.0000,24.0000,24.0000,0
TLI,20190215,24.0000,24.0000,24.0000,24.0000,0
TLI,20190218,24.0000,24.0000,24.0000,24.0000,0
TLI,20190219,24.0000,24.0000,24.0000,24.0000,0
TLI,20190220,24.0000,24.0000,24.0000,24.0000,0
TLI,20190221,24.0000,24.0000,24.0000,24.0000,0
TLI,20190222,24.0000,24.0000,24.0000,24.0000,0
TLI,20190225,24.0000,24.0000,24.0000,24.0000,0
TLI,20190226,24.0000,24.0000,24.0000,24.0000,0
TLI,20190227,24.0000,24.0000,24.0000,24.0000,0
TLI,20190228,24.0000,24.0000,24.0000,24.0000,0
TLI,20190301,24.0000,24.0000,24.0000,24.0000,0
TLI,20190304,24.0000,24.0000,24.0000,24.0000,0
TLI,20190305,24.0000,24.0000,24.0000,24.0000,0
TLI,20190306,24.0000,24.0000,24.0000,24.0000,0
TLI,20190307,24.0000,24.0000,24.0000,24.0000,0
TLI,20190308,24.0000,24.0000,24.0000,24.0000,0
TLI,20190311,24.0000,24.0000,24.0000,24.0000,0
TLI,20190312,24.0000,24.0000,24.0000,24.0000,0
TLI,20190313,24.0000,24.0000,24.0000,24.0000,0
TLI,20190314,24.0000,24.0000,24.0000,24.0000,0
TLI,20190315,24.0000,24.0000,24.0000,24.0000,0
TLI,20190318,24.0000,24.0000,24.0000,24.0000,0
TLI,20190319,24.0000,24.0000,24.0000,24.0000,0
TLI,20190320,33.6000,33.6000,33.6000,33.6000,100
TLI,20190321,33.6000,33.6000,33.6000,33.6000,0
TLI,20190322,33.6000,33.6000,33.6000,33.6000,0
TLI,20190325,33.6000,33.6000,33.6000,33.6000,0
TLI,20190326,33.6000,33.6000,33.6000,33.6000,62
TLI,20190327,33.6000,33.6000,33.6000,33.6000,0
TLI,20190328,33.6000,33.6000,33.6000,33.6000,0
TLI,20190329,33.6000,33.6000,33.6000,33.6000,0
TLI,20190401,33.6000,33.6000,33.6000,33.6000,6
TLI,20190402,33.6000,33.6000,33.6000,33.6000,0
TLI,20190403,33.6000,33.6000,33.6000,33.6000,0
TLI,20190404,33.6000,33.6000,33.6000,33.6000,0
TLI,20190405,33.6000,33.6000,33.6000,33.6000,0
TLI,20190408,33.6000,33.6000,33.6000,33.6000,0
TLI,20190409,33.6000,33.6000,33.6000,33.6000,0
TLI,20190410,33.6000,33.6000,33.6000,33.6000,0
TLI,20190411,33.6000,33.6000,33.6000,33.6000,0
TLI,20190412,33.6000,33.6000,33.6000,33.6000,0
TLI,20190416,28.6000,28.6000,28.6000,28.6000,100
TLI,20190417,28.6000,28.6000,28.6000,28.6000,0
TLI,20190418,24.4000,24.4000,24.4000,24.4000,100
TLI,20190419,24.4000,24.4000,24.4000,24.4000,0
TLI,20190422,24.4000,24.4000,24.4000,24.4000,0
TLI,20190423,24.4000,24.4000,24.4000,24.4000,0
TLI,20190424,24.4000,24.4000,24.4000,24.4000,0
TLI,20190425,24.4000,24.4000,24.4000,24.4000,0
TLI,20190426,20.8000,20.8000,20.8000,20.8000,100
TLI,20190502,17.7000,17.7000,17.7000,17.7000,100
TLI,20190503,17.7000,17.7000,17.7000,17.7000,0
TLI,20190506,17.7000,17.7000,17.7000,17.7000,0
TLI,20190507,17.7000,17.7000,17.7000,17.7000,0
TLI,20190508,17.7000,17.7000,17.7000,17.7000,0
TLI,20190509,17.7000,17.7000,17.7000,17.7000,0
TLI,20190510,17.7000,17.7000,17.7000,17.7000,0
TLI,20190513,17.7000,17.7000,17.7000,17.7000,0
TLI,20190514,17.7000,17.7000,17.7000,17.7000,0
TLI,20190515,17.7000,17.7000,17.7000,17.7000,0
TLI,20190516,17.7000,17.7000,17.7000,17.7000,0
TLI,20190517,15.1000,19.5000,15.1000,19.5000,200
TLI,20190520,14.8000,14.8000,14.8000,14.8000,100
TLI,20190521,14.8000,14.8000,14.8000,14.8000,0
TLI,20190522,12.6000,12.6000,12.6000,12.6000,100
TLI,20190523,10.8000,10.8000,10.8000,10.8000,100
TLI,20190524,10.8000,10.8000,10.8000,10.8000,0
TLI,20190527,10.8000,10.8000,10.8000,10.8000,0
TLI,20190528,10.8000,10.8000,10.8000,10.8000,0
TLI,20190529,10.8000,10.8000,10.8000,10.8000,0
TLI,20190530,10.8000,10.8000,10.8000,10.8000,0
TLI,20190531,10.8000,10.8000,10.8000,10.8000,0
TLI,20190603,10.8000,10.8000,10.8000,10.8000,0
TLI,20190604,10.8000,10.8000,10.8000,10.8000,0
TLI,20190605,10.8000,10.8000,10.8000,10.8000,0
TLI,20190606,10.8000,10.8000,10.8000,10.8000,0
TLI,20190607,10.8000,10.8000,10.8000,10.8000,0
TLI,20190610,10.8000,10.8000,10.8000,10.8000,0
TLI,20190611,10.8000,10.8000,10.8000,10.8000,0
TLI,20190612,10.8000,10.8000,10.8000,10.8000,0
TLI,20190613,10.8000,10.8000,10.8000,10.8000,0
TLI,20190614,10.8000,10.8000,10.8000,10.8000,0
