<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TLP,20171208,20.7000,20.7000,16.5000,18.7000,392800
TLP,20171211,19.4000,19.4000,18.0000,18.0000,79854
TLP,20171212,18.1000,18.1000,18.0000,18.0000,300
TLP,20171213,15.5000,17.0000,15.4000,15.6000,110800
TLP,20171214,15.1000,16.2000,15.1000,16.2000,9554
TLP,20171215,15.6000,16.5000,15.6000,15.7000,21210
TLP,20171218,15.9000,16.0000,15.5000,15.8000,50900
TLP,20171219,15.6000,15.8000,15.5000,15.8000,31800
TLP,20171220,15.7000,15.8000,15.7000,15.8000,16100
TLP,20171221,16.0000,16.0000,15.7000,15.7000,4100
TLP,20171222,15.7000,15.7000,15.6000,15.6000,500
TLP,20171225,15.5000,15.6000,15.5000,15.5000,8400
TLP,20171226,15.5000,15.5000,15.0000,15.2000,46200
TLP,20171227,15.5000,15.5000,14.9000,15.1000,22700
TLP,20171228,15.0000,15.5000,15.0000,15.3000,6100
TLP,20171229,17.3000,17.4000,15.4000,17.4000,90000
TLP,20180102,19.3000,19.3000,17.0000,17.3000,26700
TLP,20180103,17.6000,17.6000,16.3000,16.3000,52600
TLP,20180104,16.3000,16.3000,16.1000,16.1000,1100
TLP,20180105,15.5000,18.0000,15.5000,15.5000,36700
TLP,20180108,15.8000,15.9000,15.5000,15.7000,70700
TLP,20180109,15.9000,16.0000,15.9000,16.0000,400
TLP,20180110,15.9000,17.5000,15.9000,16.5000,123300
TLP,20180111,16.5000,18.0000,16.5000,17.3000,200100
TLP,20180112,18.0000,18.3000,16.9000,17.0000,130900
TLP,20180115,17.1000,17.2000,16.8000,16.8000,65910
TLP,20180116,16.9000,16.9000,16.2000,16.2000,68800
TLP,20180117,16.2000,17.0000,15.9000,16.9000,126100
TLP,20180118,16.1000,16.4000,15.9000,16.4000,20800
TLP,20180119,16.0000,16.7000,16.0000,16.2000,19200
TLP,20180122,16.0000,16.6000,16.0000,16.4000,70700
TLP,20180123,16.8000,16.8000,16.4000,16.4000,85380
TLP,20180124,16.3000,16.7000,16.3000,16.5000,51400
TLP,20180125,16.6000,16.6000,16.2000,16.3000,73300
TLP,20180126,16.3000,16.4000,16.2000,16.3000,14808
TLP,20180129,16.2000,16.2000,16.2000,16.2000,6200
TLP,20180130,16.3000,16.3000,15.8000,15.8000,32000
TLP,20180131,16.0000,16.0000,15.8000,15.9000,13300
TLP,20180201,15.8000,16.0000,15.8000,15.9000,18900
TLP,20180202,16.0000,16.0000,15.8000,15.9000,19800
TLP,20180205,15.9000,15.9000,15.7000,15.7000,17900
TLP,20180206,13.6000,15.4000,13.6000,14.7000,8900
TLP,20180207,16.0000,16.0000,15.3000,15.3000,7300
TLP,20180208,15.7000,15.7000,15.4000,15.4000,200
TLP,20180209,15.5000,15.6000,14.2000,15.0000,3500
TLP,20180212,15.1000,15.2000,14.8000,15.2000,10400
TLP,20180213,15.9000,16.0000,15.0000,15.0000,9300
TLP,20180221,15.0000,15.9000,14.9000,15.0000,3900
TLP,20180222,15.4000,15.5000,15.0000,15.3000,4500
TLP,20180223,15.0000,15.8000,14.8000,14.8000,6400
TLP,20180226,15.4000,15.4000,14.5000,15.0000,42800
TLP,20180227,15.2000,15.6000,14.9000,14.9000,9818
TLP,20180228,15.0000,15.5000,15.0000,15.0000,5800
TLP,20180301,15.0000,15.2000,14.7000,14.9000,12700
TLP,20180302,14.8000,15.3000,14.6000,15.0000,6300
TLP,20180305,14.9000,15.5000,14.9000,15.0000,12500
TLP,20180306,15.0000,15.4000,14.8000,15.3000,13800
TLP,20180307,15.0000,15.0000,14.8000,14.8000,1100
TLP,20180308,15.1000,15.1000,14.8000,15.0000,28800
TLP,20180309,15.2000,15.2000,14.7000,14.8000,40390
TLP,20180312,14.9000,14.9000,14.7000,14.9000,11900
TLP,20180313,14.9000,14.9000,14.6000,14.9000,9000
TLP,20180314,15.0000,15.0000,14.7000,14.8000,15200
TLP,20180315,15.0000,15.0000,14.6000,14.6000,6000
TLP,20180316,14.6000,14.6000,14.5000,14.5000,22600
TLP,20180319,14.3000,14.4000,14.3000,14.3000,14300
TLP,20180320,14.8000,15.2000,14.8000,14.8000,4900
TLP,20180321,15.0000,15.0000,14.4000,14.4000,6000
TLP,20180322,15.3000,16.7000,15.3000,15.9000,11400
TLP,20180323,16.0000,16.0000,15.2000,15.5000,2200
TLP,20180326,16.0000,16.0000,16.0000,16.0000,100
TLP,20180327,15.7000,15.7000,15.0000,15.0000,2800
TLP,20180328,14.5000,15.4000,14.5000,15.4000,3100
TLP,20180329,15.5000,15.5000,15.5000,15.5000,100
TLP,20180330,15.5000,15.5000,15.5000,15.5000,0
TLP,20180402,15.5000,16.5000,15.5000,15.7000,8500
TLP,20180403,15.2000,15.2000,15.0000,15.0000,1000
TLP,20180404,16.0000,17.0000,15.8000,15.9000,382323
TLP,20180405,15.5000,16.0000,15.5000,15.9000,8700
TLP,20180406,15.7000,15.7000,15.7000,15.7000,0
TLP,20180409,15.0000,15.0000,15.0000,15.0000,200
TLP,20180410,15.7000,15.7000,15.7000,15.7000,100
TLP,20180411,15.6000,15.6000,15.2000,15.2000,610
TLP,20180412,15.3000,15.3000,15.2000,15.2000,600
TLP,20180413,15.0000,15.0000,14.5000,14.7000,6500
TLP,20180416,14.7000,14.7000,14.7000,14.7000,400
TLP,20180417,14.8000,14.8000,14.5000,14.5000,5500
TLP,20180418,14.0000,14.3000,14.0000,14.3000,500
TLP,20180419,14.2000,14.2000,14.0000,14.2000,8600
TLP,20180420,13.6000,13.6000,13.2000,13.3000,2800
TLP,20180423,13.7000,13.7000,13.7000,13.7000,122
TLP,20180424,13.2000,14.3000,13.2000,14.3000,7900
TLP,20180426,13.6000,13.6000,13.6000,13.6000,0
TLP,20180427,13.9000,13.9000,13.9000,13.9000,1000
TLP,20180502,13.9000,13.9000,13.9000,13.9000,0
TLP,20180503,14.7000,14.7000,14.7000,14.7000,127
TLP,20180504,14.7000,14.7000,14.7000,14.7000,0
TLP,20180507,14.7000,14.7000,14.7000,14.7000,0
TLP,20180508,14.5000,14.5000,14.5000,14.5000,1030
TLP,20180509,14.5000,14.5000,14.5000,14.5000,0
TLP,20180510,14.5000,14.5000,14.5000,14.5000,0
TLP,20180511,14.5000,14.5000,14.5000,14.5000,0
TLP,20180514,14.5000,14.5000,14.5000,14.5000,0
TLP,20180515,14.5000,14.5000,14.5000,14.5000,0
TLP,20180516,14.5000,14.5000,14.5000,14.5000,0
TLP,20180517,14.5000,14.5000,14.5000,14.5000,100
TLP,20180518,14.5000,14.5000,14.5000,14.5000,0
TLP,20180521,12.5000,14.5000,12.4000,14.5000,600
TLP,20180522,13.9000,13.9000,13.9000,13.9000,200
TLP,20180523,13.9000,13.9000,13.9000,13.9000,0
TLP,20180524,13.9000,13.9000,13.9000,13.9000,0
TLP,20180525,13.9000,13.9000,13.9000,13.9000,0
TLP,20180528,13.9000,13.9000,13.9000,13.9000,0
TLP,20180529,13.9000,13.9000,13.9000,13.9000,0
TLP,20180530,13.9000,13.9000,13.9000,13.9000,0
TLP,20180531,13.9000,13.9000,13.9000,13.9000,0
TLP,20180601,13.9000,13.9000,13.9000,13.9000,0
TLP,20180604,14.3000,14.3000,14.3000,14.3000,500
TLP,20180605,14.3000,14.3000,14.3000,14.3000,0
TLP,20180606,14.3000,14.3000,14.3000,14.3000,0
TLP,20180607,14.3000,14.3000,14.3000,14.3000,0
TLP,20180608,14.3000,14.3000,14.3000,14.3000,0
TLP,20180611,14.3000,14.3000,14.3000,14.3000,0
TLP,20180612,14.3000,14.3000,14.3000,14.3000,0
TLP,20180613,14.3000,14.3000,14.3000,14.3000,100
TLP,20180614,14.3000,14.3000,14.3000,14.3000,200
TLP,20180615,14.3000,14.3000,14.3000,14.3000,0
TLP,20180618,14.3000,14.3000,14.3000,14.3000,0
TLP,20180619,14.3000,14.3000,14.3000,14.3000,0
TLP,20180620,14.3000,14.3000,14.3000,14.3000,0
TLP,20180621,14.3000,14.3000,14.3000,14.3000,0
TLP,20180622,14.3000,14.3000,14.3000,14.3000,0
TLP,20180625,14.3000,14.3000,14.3000,14.3000,0
TLP,20180626,14.3000,14.3000,14.3000,14.3000,0
TLP,20180627,14.3000,14.3000,14.3000,14.3000,0
TLP,20180628,13.0000,13.0000,13.0000,13.0000,1000
TLP,20180629,13.0000,14.9000,13.0000,14.9000,4000
TLP,20180702,13.0000,13.0000,13.0000,13.0000,200
TLP,20180703,13.0000,13.0000,13.0000,13.0000,0
TLP,20180704,13.0000,13.0000,13.0000,13.0000,0
TLP,20180705,13.9000,13.9000,13.9000,13.9000,1200
TLP,20180706,11.9000,13.8000,11.9000,13.8000,300
TLP,20180709,12.5000,12.5000,12.5000,12.5000,100
TLP,20180710,12.9000,12.9000,12.9000,12.9000,100
TLP,20180711,12.9000,12.9000,12.9000,12.9000,0
TLP,20180712,12.9000,12.9000,12.9000,12.9000,0
TLP,20180713,12.9000,12.9000,12.9000,12.9000,0
TLP,20180716,12.9000,12.9000,12.9000,12.9000,0
TLP,20180717,12.9000,12.9000,12.9000,12.9000,0
TLP,20180718,12.9000,12.9000,12.9000,12.9000,800
TLP,20180719,14.0000,14.5000,14.0000,14.5000,200
TLP,20180720,12.2000,13.0000,12.2000,13.0000,500
TLP,20180723,11.0000,13.0000,10.6000,13.0000,1200
TLP,20180724,10.7000,10.7000,10.7000,10.7000,800
TLP,20180725,10.7000,11.0000,10.7000,11.0000,3500
TLP,20180726,11.0000,11.0000,11.0000,11.0000,0
TLP,20180727,11.8000,11.8000,11.8000,11.8000,100
TLP,20180730,11.8000,11.8000,11.8000,11.8000,0
