<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TLT,20061208,35.0000,35.0000,35.0000,35.0000,2800
TLT,20061211,35.0000,35.0000,33.5000,34.6000,800
TLT,20061212,31.3000,31.3000,31.3000,31.3000,600
TLT,20061213,30.5000,30.5000,30.5000,30.5000,1000
TLT,20061214,29.5000,29.5000,29.5000,29.5000,600
TLT,20061215,29.5000,29.5000,29.5000,29.5000,0
TLT,20061218,30.0000,30.0000,30.0000,30.0000,100
TLT,20061219,31.0000,31.0000,31.0000,31.0000,400
TLT,20061220,31.5000,31.5000,31.5000,31.5000,100
TLT,20061221,31.5000,31.5000,31.5000,31.5000,0
TLT,20061222,31.5000,31.5000,31.5000,31.5000,0
TLT,20061225,28.4000,28.4000,28.4000,28.4000,7500
TLT,20061226,26.5000,26.5000,26.5000,26.5000,100
TLT,20061227,29.0000,29.0000,29.0000,29.0000,200
TLT,20061228,26.1000,26.1000,26.1000,26.1000,100
TLT,20061229,28.7000,28.7000,28.5000,28.5000,600
TLT,20070102,31.4000,31.4000,31.4000,31.4000,6900
TLT,20070103,34.5000,34.5000,33.6000,34.3000,4000
TLT,20070104,37.0000,37.5000,37.0000,37.5000,4300
TLT,20070105,38.0000,38.5000,38.0000,38.2000,3600
TLT,20070108,36.0000,40.0000,36.0000,39.3000,2900
TLT,20070109,41.0000,43.0000,41.0000,43.0000,1900
TLT,20070110,43.0000,43.0000,40.0000,40.0000,5200
TLT,20070111,43.0000,43.0000,39.9000,41.5000,2800
TLT,20070112,40.0000,40.0000,40.0000,40.0000,1400
TLT,20070115,40.0000,43.0000,40.0000,43.0000,8300
TLT,20070116,45.0000,45.1000,42.0000,45.1000,15500
TLT,20070117,47.0000,49.2000,47.0000,49.0000,8700
TLT,20070118,50.0000,52.0000,49.5000,50.0000,5800
TLT,20070119,49.3000,49.3000,49.0000,49.0000,3600
TLT,20070122,46.0000,46.5000,46.0000,46.3000,1100
TLT,20070123,45.9000,47.5000,45.9000,46.2000,1700
TLT,20070124,47.0000,47.0000,46.3000,47.0000,6100
TLT,20070125,47.0000,47.0000,46.5000,46.5000,2500
TLT,20070126,47.0000,48.0000,47.0000,48.0000,1200
TLT,20070129,50.0000,51.0000,50.0000,51.0000,3700
TLT,20070130,55.6000,55.6000,52.0000,54.0000,18700
TLT,20070131,57.0000,58.9000,55.0000,58.5000,18600
TLT,20070201,61.0000,62.5000,58.5000,58.5000,1900
TLT,20070202,60.7000,61.5000,58.5000,60.0000,17700
TLT,20070205,66.5000,66.5000,58.0000,58.0000,10800
TLT,20070206,57.0000,59.0000,55.2000,55.5000,10300
TLT,20070207,59.0000,59.0000,55.0000,56.5000,10000
TLT,20070208,57.8000,57.8000,56.8000,56.8000,5500
TLT,20070209,55.2000,58.0000,55.2000,58.0000,3800
TLT,20070212,58.0000,59.4000,58.0000,58.0000,3200
TLT,20070213,58.9000,59.4000,58.9000,59.2000,11000
TLT,20070214,60.0000,60.0000,58.0000,58.0000,3500
TLT,20070215,60.0000,62.0000,59.7000,61.0000,9600
TLT,20070226,66.7000,66.7000,63.0000,65.4000,51600
TLT,20070227,70.6000,70.6000,68.0000,70.6000,30700
TLT,20070228,77.4000,77.4000,77.4000,77.4000,33400
TLT,20070301,85.1000,85.1000,80.0000,84.0000,28900
TLT,20070302,86.0000,86.0000,80.0000,81.5000,16700
TLT,20070305,84.0000,89.0000,84.0000,86.1000,7600
TLT,20070306,89.1000,92.3000,87.0000,90.1000,17600
TLT,20070307,92.0000,97.0000,92.0000,92.0000,9800
TLT,20070308,94.0000,94.0000,92.0000,93.5000,5000
TLT,20070309,90.0000,92.0000,84.1000,89.9000,8900
TLT,20070312,89.9000,92.0000,88.0000,90.0000,15000
TLT,20070313,99.8000,99.8000,91.0000,93.0000,18100
TLT,20070314,92.0000,93.5000,87.6000,87.6000,19600
TLT,20070315,82.6000,86.5000,82.6000,82.6000,7000
TLT,20070316,84.0000,92.1000,84.0000,92.1000,11400
TLT,20070319,100.8000,100.8000,100.8000,100.8000,16400
TLT,20070320,108.0000,110.8000,102.0000,107.0000,21200
TLT,20070321,114.0000,114.0000,110.0000,111.0000,19500
TLT,20070322,115.0000,115.0000,105.0000,108.0000,17000
TLT,20070323,110.1000,113.0000,103.0000,109.0000,26400
TLT,20070326,117.0000,120.4000,112.0000,120.4000,24500
TLT,20070327,129.5000,130.1000,115.0000,117.0000,12800
TLT,20070328,117.0000,120.0000,111.7000,120.0000,12800
TLT,20070329,125.0000,127.5000,120.0000,120.0000,9800
TLT,20070330,130.0000,132.0000,120.0000,120.0000,11200
TLT,20070402,128.0000,128.0000,124.0000,125.0000,2600
TLT,20070403,120.0000,124.5000,120.0000,123.0000,3900
TLT,20070404,111.4000,120.0000,111.4000,120.0000,5500
TLT,20070405,115.0000,117.3000,115.0000,115.0000,4700
TLT,20070406,112.0000,115.0000,110.0000,110.0000,2800
TLT,20070409,110.0000,110.0000,108.0000,109.0000,7500
TLT,20070410,110.0000,110.0000,106.0000,107.0000,6900
TLT,20070411,104.1000,105.0000,100.3000,105.0000,14300
TLT,20070412,102.5000,103.0000,100.0000,101.7000,10800
TLT,20070413,105.0000,105.0000,102.0000,105.0000,2200
TLT,20070416,103.0000,105.0000,103.0000,103.5000,5700
TLT,20070417,104.0000,104.5000,97.0000,102.0000,7800
TLT,20070418,25.0865,25.0865,24.7906,24.8202,2000
TLT,20070419,26.0331,26.6248,26.0331,26.3289,3100
TLT,20070420,26.3289,26.5064,23.9623,23.9623,3300
TLT,20070423,23.6073,23.6073,23.6073,23.6073,300
TLT,20070424,22.0394,22.1873,22.0394,22.0394,1500
TLT,20070425,21.8915,22.1577,21.8915,22.0394,1700
TLT,20070502,22.0690,22.0690,22.0690,22.0690,200
TLT,20070503,22.0690,23.0748,22.0690,23.0748,200
TLT,20070504,22.1873,22.3944,22.1873,22.3944,1200
TLT,20070507,24.2285,24.2285,24.2285,24.2285,100
TLT,20070508,24.5540,24.8498,24.5540,24.5540,500
TLT,20070509,24.1102,24.2581,23.6665,23.6665,1100
TLT,20070510,22.1873,22.1873,22.1873,22.1873,400
TLT,20070511,22.1873,22.7790,19.9686,22.7790,4900
TLT,20070514,22.4240,22.4240,21.8915,21.8915,700
TLT,20070515,22.1873,22.2465,22.1873,22.1873,3200
TLT,20070516,22.1873,22.2169,22.1873,22.2169,600
TLT,20070517,22.7790,22.7790,22.7790,22.7790,500
TLT,20070518,23.3706,23.3706,22.1873,22.7790,5100
TLT,20070521,24.2581,25.1752,23.6665,25.1752,6000
TLT,20070522,26.0331,26.9502,26.0331,26.9502,16800
TLT,20070523,29.4352,29.4352,26.0331,26.9206,14800
TLT,20070524,26.3289,26.3289,24.5540,25.2344,3300
TLT,20070525,25.1456,25.2935,24.5540,25.1456,6200
TLT,20070528,26.5656,27.4827,26.5656,26.5656,10700
TLT,20070529,26.9206,27.1869,26.0331,26.0331,12800
TLT,20070530,25.7373,25.7373,25.4415,25.4415,2800
TLT,20070531,25.7373,25.7373,25.7373,25.7373,1700
TLT,20070601,26.0331,26.2994,26.0331,26.2994,3600
TLT,20070604,26.0627,26.3289,25.9148,25.9148,4900
TLT,20070605,25.7373,25.7373,25.7373,25.7373,1600
TLT,20070606,25.7373,25.7373,25.7373,25.7373,3400
TLT,20070607,25.4415,26.0331,25.4415,25.7373,4300
TLT,20070608,25.7373,25.7373,25.6190,25.6190,2000
TLT,20070611,25.7373,25.7373,25.1456,25.1456,5800
TLT,20070612,25.4415,25.4415,25.3527,25.3527,1400
TLT,20070613,25.1456,25.4415,25.1456,25.4415,3400
TLT,20070614,25.2935,25.2935,25.2048,25.2048,800
TLT,20070615,25.0865,25.0865,24.8794,24.8794,1800
TLT,20070618,25.1456,25.1456,25.1160,25.1160,700
TLT,20070619,25.1456,25.1456,24.8498,24.8498,400
TLT,20070620,25.0865,25.0865,25.0865,25.0865,0
TLT,20070621,25.0865,25.0865,25.0865,25.0865,0
TLT,20070622,24.2581,24.7906,24.2581,24.7906,400
TLT,20070625,24.2581,24.2581,23.9623,23.9623,1300
TLT,20070626,23.9623,23.9623,23.9623,23.9623,200
TLT,20070627,23.3706,23.3706,22.1873,22.1873,1800
TLT,20070628,22.6311,22.6311,21.9506,21.9506,1200
TLT,20070629,21.3590,21.3590,21.2998,21.3294,1200
