<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TMC,20061226,60.0000,60.0000,60.0000,60.0000,7400
TMC,20061227,60.0000,60.0000,57.0000,57.0000,18820
TMC,20061228,57.0000,57.0000,54.5000,54.5000,110
TMC,20061229,52.0000,52.0000,52.0000,52.0000,9100
TMC,20070102,49.4000,49.4000,49.4000,49.4000,50
TMC,20070103,47.0000,47.0000,47.0000,47.0000,10
TMC,20070104,44.7000,44.7000,44.7000,44.7000,51200
TMC,20070105,46.8000,46.8000,46.7000,46.7000,31780
TMC,20070108,49.0000,49.0000,48.5000,49.0000,4030
TMC,20070109,48.0000,51.0000,47.0000,51.0000,8600
TMC,20070110,51.0000,51.0000,48.5000,49.0000,17270
TMC,20070111,48.0000,49.0000,48.0000,48.6000,8500
TMC,20070112,49.5000,49.5000,48.6000,49.5000,13730
TMC,20070115,48.6000,48.6000,47.5000,47.5000,8400
TMC,20070116,45.3000,48.0000,45.3000,47.9000,12700
TMC,20070117,5.7953,5.7953,5.5152,5.5152,12630
TMC,20070118,5.6503,5.7732,5.6503,5.7732,3200
TMC,20070119,5.7732,5.7732,5.6503,5.6503,3780
TMC,20070122,5.6503,5.6503,5.5275,5.5275,7150
TMC,20070123,5.5275,5.5275,5.3678,5.3678,9200
TMC,20070124,5.3678,5.5275,5.3678,5.3924,7100
TMC,20070125,5.3924,5.5889,5.3924,5.5275,5750
TMC,20070126,23.3384,23.3384,5.3924,5.7977,38300
TMC,20070129,5.8960,5.8960,5.8346,5.8960,20600
TMC,20070130,6.0188,6.0803,6.0188,6.0803,16190
TMC,20070131,6.0066,6.0188,5.8960,6.0188,14530
TMC,20070201,6.0188,6.0188,6.0188,6.0188,5150
TMC,20070202,6.2645,6.2645,6.2645,6.2645,14740
TMC,20070205,6.5716,6.5716,6.5716,6.5716,14200
TMC,20070206,6.8787,6.8787,6.8787,6.8787,28360
TMC,20070207,6.6944,6.8787,6.6944,6.6944,25820
