<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TMT,20100122,55.0000,55.0000,54.0000,55.0000,122430
TMT,20100125,55.0000,55.0000,52.5000,52.5000,49540
TMT,20100126,49.9000,54.0000,49.9000,54.0000,181020
TMT,20100127,54.0000,54.0000,52.5000,52.5000,56900
TMT,20100128,52.5000,54.0000,50.0000,52.0000,31430
TMT,20100129,52.0000,52.0000,49.9000,50.0000,40080
TMT,20100201,51.5000,51.5000,50.0000,51.5000,48070
TMT,20100202,53.0000,54.0000,53.0000,54.0000,179950
TMT,20100203,56.0000,56.0000,54.5000,56.0000,100470
TMT,20100204,56.5000,57.0000,56.0000,57.0000,113970
TMT,20100205,56.5000,57.0000,54.5000,56.0000,232190
TMT,20100208,56.0000,58.5000,55.5000,58.5000,249430
TMT,20100209,58.5000,58.5000,57.0000,58.5000,104720
TMT,20100210,13.1030,13.7189,13.1030,13.5789,9010
TMT,20100211,13.0190,13.9989,13.0190,13.9989,43010
TMT,20100212,13.7469,14.4189,13.4389,13.4389,40420
TMT,20100222,13.9709,13.9709,13.2990,13.2990,22940
TMT,20100223,13.0190,13.1590,12.7670,12.7670,24320
TMT,20100224,12.7670,13.3829,12.5990,12.9070,36320
TMT,20100225,12.7390,12.9070,12.7390,12.9070,9080
TMT,20100226,13.2990,13.4389,13.2710,13.4389,1110
TMT,20100301,13.5789,13.5789,12.7670,13.2990,19020
TMT,20100302,12.8790,12.8790,12.7670,12.7670,10550
TMT,20100303,12.9910,12.9910,12.7110,12.8790,21820
TMT,20100304,13.3549,13.3549,12.8790,13.2150,13110
TMT,20100305,12.8230,13.2150,12.8230,12.9910,25360
TMT,20100308,12.6830,13.2710,12.6830,12.8790,64140
TMT,20100309,12.6550,12.9910,12.6550,12.8790,23550
TMT,20100310,12.7950,12.9910,12.7670,12.9910,25640
TMT,20100311,12.8790,12.9910,12.8230,12.8790,37700
TMT,20100312,12.3470,13.0190,12.3470,13.0190,45660
TMT,20100315,13.0190,13.1310,12.5990,13.1310,41620
TMT,20100316,12.6270,13.1310,12.6270,13.1310,16610
TMT,20100317,12.7670,13.1590,12.7110,13.1310,79760
TMT,20100318,13.1310,13.1590,12.9070,13.1590,38600
