<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TN1,20190530,36.0000,36.0000,36.0000,36.0000,30
TN1,20190531,38.5000,38.5000,38.5000,38.5000,30
TN1,20190603,41.1500,41.1500,41.1500,41.1500,30
TN1,20190604,41.1500,41.1500,41.1500,41.1500,0
TN1,20190605,44.0000,44.0000,44.0000,44.0000,30
TN1,20190606,47.0500,47.0500,47.0500,47.0500,30
TN1,20190607,48.0000,48.0000,48.0000,48.0000,3000
TN1,20190610,51.3000,51.3000,51.3000,51.3000,40
TN1,20190611,54.8000,54.8000,53.0000,53.0000,470
TN1,20190612,56.7000,56.7000,56.7000,56.7000,380
TN1,20190613,60.6000,60.6000,60.6000,60.6000,430
TN1,20190614,64.8000,64.8000,58.0000,58.0000,1000
TN1,20190617,56.0000,56.0000,54.0000,54.0000,440
TN1,20190618,50.3000,54.5000,50.3000,54.5000,590
TN1,20190619,50.7000,54.5000,50.7000,54.5000,1030
TN1,20190620,50.7000,50.7000,50.7000,50.7000,1340
TN1,20190621,47.2000,54.2000,47.2000,54.2000,1120
TN1,20190624,54.0000,55.0000,54.0000,55.0000,1320
TN1,20190625,55.0000,55.0000,54.9000,55.0000,2030
TN1,20190626,55.5000,56.0000,55.5000,56.0000,330
TN1,20190627,56.0000,56.0000,53.5000,55.5000,570
TN1,20190628,55.4000,55.5000,55.4000,55.5000,680
TN1,20190701,52.0000,59.3000,51.7000,55.0000,1630
TN1,20190702,54.0000,54.0000,51.2000,54.0000,1410
TN1,20190703,53.5000,53.5000,53.5000,53.5000,1530
TN1,20190704,53.0000,53.0000,50.0000,50.0000,1310
TN1,20190705,53.5000,53.5000,46.5000,53.0000,810
TN1,20190708,52.0000,55.8000,50.1000,55.8000,1600
TN1,20190709,53.2000,55.8000,53.2000,55.8000,1100
TN1,20190710,55.0000,56.0000,52.8000,52.8000,920
TN1,20190711,54.8000,54.8000,54.0000,54.8000,1360
TN1,20190712,55.1000,55.1000,55.1000,55.1000,680
TN1,20190715,52.1000,55.1000,52.1000,55.1000,1930
TN1,20190716,55.1000,55.5000,55.1000,55.5000,1680
TN1,20190717,55.5000,56.0000,55.5000,56.0000,1010
TN1,20190718,52.1000,55.5000,52.1000,55.5000,1250
TN1,20190719,55.5000,56.0000,55.5000,56.0000,670
TN1,20190722,56.0000,56.5000,56.0000,56.5000,2000
TN1,20190723,52.7000,56.5000,52.7000,56.5000,1500
TN1,20190724,52.6000,56.5000,52.6000,56.0000,1130
TN1,20190725,57.0000,57.0000,57.0000,57.0000,750
TN1,20190726,57.0000,57.0000,57.0000,57.0000,1010
TN1,20190729,57.1000,57.1000,57.1000,57.1000,1280
TN1,20190730,53.4000,58.0000,53.4000,58.0000,1200
TN1,20190731,54.0000,56.5000,54.0000,56.5000,1350
TN1,20190801,56.5000,56.5000,56.5000,56.5000,1090
TN1,20190802,55.0000,55.5000,54.0000,55.5000,1730
TN1,20190805,55.9000,57.5000,55.9000,56.0000,3410
TN1,20190806,56.0000,56.0000,56.0000,56.0000,2330
TN1,20190807,58.0000,58.0000,52.1000,56.0000,1960
TN1,20190808,56.0000,57.0000,55.0000,57.0000,2220
TN1,20190809,57.3000,57.5000,54.5000,57.5000,4250
TN1,20190812,60.0000,60.0000,53.6000,57.0000,1220
TN1,20190813,53.4000,56.0000,53.4000,56.0000,2380
TN1,20190814,57.0000,57.0000,56.0000,56.0000,1150
TN1,20190815,52.3000,59.0000,52.3000,56.0000,2040
TN1,20190816,56.0000,56.5000,52.2000,56.5000,1320
TN1,20190819,53.0000,56.5000,53.0000,55.0000,2010
TN1,20190820,57.5000,57.5000,55.5000,55.5000,990
TN1,20190821,55.5000,55.5000,54.0000,54.0000,2300
TN1,20190822,53.1000,57.0000,53.1000,56.5000,2170
TN1,20190823,57.0000,59.0000,56.5000,56.5000,1500
TN1,20190826,53.0000,56.5000,53.0000,56.5000,2610
TN1,20190827,56.0000,56.5000,56.0000,56.4000,2830
TN1,20190828,56.2000,56.2000,56.2000,56.2000,2310
TN1,20190829,55.0000,55.3000,55.0000,55.0000,2010
TN1,20190830,51.6000,54.8000,51.6000,54.5000,1290
TN1,20190903,51.5000,54.0000,51.5000,54.0000,2100
TN1,20190904,54.0000,54.0000,54.0000,54.0000,2220
TN1,20190905,53.5000,54.0000,53.0000,53.9000,2260
TN1,20190906,53.4000,53.5000,51.0000,53.5000,2560
TN1,20190909,56.0000,56.0000,56.0000,56.0000,2200
TN1,20190910,56.0000,56.0000,56.0000,56.0000,1760
TN1,20190911,55.5000,56.5000,55.5000,55.8000,2280
TN1,20190912,55.5000,58.0000,55.5000,58.0000,2050
TN1,20190913,58.0000,61.0000,58.0000,61.0000,2060
TN1,20190916,60.0000,60.0000,60.0000,60.0000,1450
TN1,20190917,59.1000,59.1000,59.1000,59.1000,2580
TN1,20190918,59.0000,59.0000,58.9000,59.0000,2180
TN1,20190919,59.0000,59.0000,55.0000,59.0000,2040
TN1,20190920,63.0000,63.0000,60.0000,60.0000,2300
TN1,20190923,61.0000,61.0000,61.0000,61.0000,2310
TN1,20190924,60.0000,60.9000,58.3000,60.9000,1910
TN1,20190925,60.9000,60.9000,60.9000,60.9000,0
TN1,20190926,21.5886,23.2583,21.5886,21.7439,1550
TN1,20190927,23.2583,23.2583,23.2583,23.2583,1100
TN1,20190930,24.0736,24.4231,24.0736,24.4231,2590
TN1,20191001,24.4619,24.4619,24.4619,24.4619,1680
TN1,20191002,26.1704,26.1704,26.0927,26.0927,1040
TN1,20191003,25.9374,25.9374,25.9374,25.9374,1290
TN1,20191004,25.9374,25.9374,25.9374,25.9374,1600
TN1,20191007,25.2385,25.2385,25.2385,25.2385,1500
TN1,20191008,25.2385,25.2385,25.2385,25.2385,0
TN1,20191009,25.0444,25.0444,24.4619,25.0444,1600
TN1,20191010,24.4231,24.4231,24.4231,24.4231,1400
TN1,20191011,24.4231,24.4231,24.4231,24.4231,0
TN1,20191014,24.3843,24.3843,24.3843,24.3843,1050
TN1,20191015,24.3843,24.3843,24.3843,24.3843,0
TN1,20191016,25.6268,25.6268,25.6268,25.6268,2020
TN1,20191017,25.6268,25.6268,25.6268,25.6268,1670
TN1,20191018,25.6268,25.6268,25.6268,25.6268,0
TN1,20191021,25.2385,25.2385,25.2385,25.2385,1680
TN1,20191022,23.4912,24.8502,23.4912,24.8502,1650
TN1,20191023,24.8502,24.8502,24.8502,24.8502,0
TN1,20191024,24.4619,24.4619,24.4619,24.4619,1100
TN1,20191025,24.4619,24.4619,24.4619,24.4619,500
TN1,20191028,24.4619,24.4619,24.4619,24.4619,0
TN1,20191029,23.2971,24.0348,23.2971,24.0348,1000
TN1,20191030,23.2971,24.4619,23.2971,24.4619,1390
TN1,20191031,24.0736,24.0736,24.0736,24.0736,1500
TN1,20191101,24.0736,24.0736,24.0736,24.0736,0
TN1,20191104,25.0444,25.0444,25.0444,25.0444,2390
TN1,20191105,25.4326,25.4326,25.4326,25.4326,1600
TN1,20191106,25.6268,25.6268,25.6268,25.6268,1590
TN1,20191107,25.4326,25.4326,25.4326,25.4326,1560
TN1,20191108,24.4619,24.4619,24.4619,24.4619,1630
TN1,20191111,24.4619,24.6949,24.4619,24.6949,1630
